"Muni_ID","ID","Muni","Does","Other_caprine"
1601,"1111601","Arcos de Valdevez",29.81,110.11
1602,"1111602","Caminha",0,11.44
1603,"1111603","Melgaço",0,47.96
1604,"1111604","Monção",0,19.36
1605,"1111605","Paredes de Coura",0,22.22
1606,"1111606","Ponte da Barca",0,49.94
1607,"1111607","Ponte de Lima",0,113.41
1608,"1111608","Valença",0,16.5
1609,"1111609","Viana do Castelo",0,30.91
1610,"1111610","Vila Nova de Cerveira",0,19.8
301,"1120301","Amares",0,17.71
302,"1120302","Barcelos",0,35.42
303,"1120303","Braga",0,9.24
306,"1120306","Esposende",0,6.05
310,"1120310","Terras de Bouro",26.4,28.38
313,"1120313","Vila Verde",107.91,36.74
307,"1130307","Fafe",0,17.6
308,"1130308","Guimarães",0,5.94
309,"1130309","Póvoa de Lanhoso",0,16.83
1314,"1131314","Santo Tirso",0,10.12
1318,"1131318","Trofa",0,3.96
311,"1130311","Vieira do Minho",0,18.37
312,"1130312","Vila Nova de Famalicão",16.06,9.79
314,"1130314","Vizela",0,0.33
107,"1140107","Espinho",0,0.11
1304,"1141304","Gondomar",0,3.63
1306,"1141306","Maia",0,2.86
1308,"1141308","Matosinhos",0,2.64
1312,"1141312","Porto",0,0.66
1313,"1141313","Póvoa de Varzim",56.98,6.05
1315,"1141315","Valongo",0,1.65
1316,"1141316","Vila do Conde",0,7.92
1317,"1141317","Vila Nova de Gaia",0,3.08
1301,"1151301","Amarante",0,64.9
1302,"1151302","Baião",0,51.59
304,"1150304","Cabeceiras de Basto",0,31.46
106,"1150106","Castelo de Paiva",0.44,19.8
305,"1150305","Celorico de Basto",0.99,34.87
1804,"1151804","Cinfães",0,84.59
1303,"1151303","Felgueiras",0,7.04
1305,"1151305","Lousada",0,3.41
1307,"1151307","Marco de Canaveses",5.17,16.06
1705,"1151705","Mondim de Basto",0,155.32
1309,"1151309","Paços de Ferreira",0,9.68
1310,"1151310","Paredes",0,9.79
1311,"1151311","Penafiel",0,9.13
1813,"1151813","Resende",0,4.73
1709,"1151709","Ribeira de Pena",0,142.78
104,"1160104","Arouca",0,73.37
113,"1160113","Oliveira de Azeméis",40.81,33.77
109,"1160109","Santa Maria da Feira",0.66,7.04
116,"1160116","São João da Madeira",0,0
119,"1160119","Vale de Cambra",0,72.71
1701,"1171701","Alijó",97.79,3.63
1801,"1171801","Armamar",13.53,0.55
403,"1170403","Carrazeda de Ansiães",51.26,7.15
404,"1170404","Freixo de Espada à Cinta",53.57,1.87
1805,"1171805","Lamego",12.76,8.25
1704,"1171704","Mesão Frio",0,0
1807,"1171807","Moimenta da Beira",39.93,21.12
1812,"1171812","Penedono",39.38,4.51
1708,"1171708","Peso da Régua",9.68,0.11
1710,"1171710","Sabrosa",4.18,5.72
1711,"1171711","Santa Marta de Penaguião",0,0.88
1815,"1171815","São João da Pesqueira",79.09,9.24
1818,"1171818","Sernancelhe",112.09,10.67
1819,"1171819","Tabuaço",0.66,1.1
1820,"1171820","Tarouca",41.91,8.03
409,"1170409","Torre de Moncorvo",125.62,8.03
410,"1170410","Vila Flor",102.52,8.25
914,"1170914","Vila Nova de Foz Côa",56.54,2.97
1714,"1171714","Vila Real",40.48,46.86
401,"1180401","Alfândega da Fé",115.94,15.18
1702,"1181702","Boticas",16.83,35.09
402,"1180402","Bragança",72.93,113.41
1703,"1181703","Chaves",18.04,42.68
405,"1180405","Macedo de Cavaleiros",197.34,91.74
406,"1180406","Miranda do Douro",7.04,19.91
407,"1180407","Mirandela",196.79,65.34
408,"1180408","Mogadouro",134.64,169.62
1706,"1181706","Montalegre",71.83,111.43
1707,"1181707","Murça",116.38,33
1712,"1181712","Valpaços",107.69,62.26
1713,"1181713","Vila Pouca de Aguiar",32.34,105.6
411,"1180411","Vimioso",121.88,45.1
412,"1180412","Vinhais",0.99,25.74
101,"1610101","Águeda",3.08,34.21
102,"1610102","Albergaria-a-Velha",17.27,7.15
103,"1610103","Anadia",5.17,24.31
105,"1610105","Aveiro",4.62,24.2
108,"1610108","Estarreja",17.16,20.68
110,"1610110","Ílhavo",0.44,7.26
111,"1610111","Mealhada",8.25,29.15
112,"1610112","Murtosa",0.11,5.06
114,"1610114","Oliveira do Bairro",1.65,7.04
115,"1610115","Ovar",2.64,5.5
117,"1610117","Sever do Vouga",0.55,40.92
118,"1610118","Vagos",8.25,11.99
602,"1620602","Cantanhede",30.91,47.52
603,"1620603","Coimbra",32.45,93.94
604,"1620604","Condeixa-a-Nova",133.87,69.96
605,"1620605","Figueira da Foz",17.05,11.99
608,"1620608","Mira",2.97,3.96
610,"1620610","Montemor-o-Velho",26.95,35.42
613,"1620613","Penacova",25.96,67.87
615,"1620615","Soure",143.33,40.59
1004,"1631004","Batalha",22.66,10.56
1009,"1631009","Leiria",73.7,33.77
1010,"1631010","Marinha Grande",0,0.55
1015,"1631015","Pombal",88.99,60.5
1016,"1631016","Porto de Mós",195.36,61.16
1002,"1641002","Alvaiázere",129.8,25.96
1003,"1641003","Ansião",149.6,32.56
601,"1640601","Arganil",68.09,88
1007,"1641007","Castanheira de Pêra",12.76,9.24
1008,"1641008","Figueiró dos Vinhos",2.64,15.73
606,"1640606","Góis",42.35,35.97
607,"1640607","Lousã",29.48,26.84
609,"1640609","Miranda do Corvo",36.52,20.57
611,"1640611","Oliveira do Hospital",93.5,38.28
612,"1640612","Pampilhosa da Serra",30.91,26.29
1013,"1641013","Pedrógão Grande",25.85,6.93
614,"1640614","Penela",86.13,16.61
616,"1640616","Tábua",89.65,39.49
617,"1640617","Vila Nova de Poiares",17.27,12.65
901,"1650901","Aguiar da Beira",5.39,19.91
1802,"1651802","Carregal do Sal",47.74,15.29
1803,"1651803","Castro Daire",183.04,98.45
1806,"1651806","Mangualde",57.09,17.05
1808,"1651808","Mortágua",3.96,16.72
1809,"1651809","Nelas",36.08,7.26
