"","Muni_ID","ID","Muni","furrow","other_grav","aspersion","cannon","pivot","drip","sum"
"97",117,"1610117","Sever do Vouga",403,0,63,0,0,0,466
"98",118,"1610118","Vagos",32,0,708,19,0,0,759
"99",602,"1620602","Cantanhede",147,0,874,0,0,0,1021
"100",603,"1620603","Coimbra",1907,0,169,111,170,0,2358
"101",604,"1620604","Condeixa-a-Nova",307,0,79,2,100,0,488
"102",605,"1620605","Figueira da Foz",264,0,369,15,109,0,756
"103",608,"1620608","Mira",24,0,198,2,0,0,225
"104",610,"1620610","Montemor-o-Velho",2241,0,472,3,162,0,2878
"105",613,"1620613","Penacova",156,0,63,0,0,0,219
"106",615,"1620615","Soure",735,0,341,44,0,0,1120
"107",1004,"1631004","Batalha",47,0,67,7,0,0,122
"108",1009,"1631009","Leiria",1321,0,368,53,18,0,1761
"109",1010,"1631010","Marinha Grande",71,0,22,0,0,0,93
"110",1015,"1631015","Pombal",805,0,849,60,0,0,1715
"111",1016,"1631016","Porto de Mós",6,0,5,0,0,0,11
"112",1002,"1641002","Alvaiázere",93,0,85,0,0,0,178
"113",1003,"1641003","Ansião",62,0,178,0,0,0,240
"114",601,"1640601","Arganil",118,0,279,0,0,0,397
"115",1007,"1641007","Castanheira de Pêra",9,0,9,0,0,0,19
"116",1008,"1641008","Figueiró dos Vinhos",87,0,126,0,0,0,213
"117",606,"1640606","Góis",83,0,17,0,0,0,100
"118",607,"1640607","Lousã",100,0,132,0,0,0,233
"119",609,"1640609","Miranda do Corvo",95,0,111,0,0,0,206
"120",611,"1640611","Oliveira do Hospital",275,0,184,0,0,0,460
"121",612,"1640612","Pampilhosa da Serra",67,0,19,0,0,0,86
"122",1013,"1641013","Pedrógão Grande",141,0,132,0,0,0,273
"123",614,"1640614","Penela",53,0,37,0,0,0,90
"124",616,"1640616","Tábua",110,0,308,0,0,0,418
"125",617,"1640617","Vila Nova de Poiares",60,0,66,0,0,0,126
"126",901,"1650901","Aguiar da Beira",170,0,593,0,0,0,763
"127",1802,"1651802","Carregal do Sal",175,0,513,0,0,0,688
"128",1803,"1651803","Castro Daire",1055,0,127,0,0,0,1182
"129",1806,"1651806","Mangualde",272,0,700,0,0,0,972
"130",1808,"1651808","Mortágua",300,0,98,0,0,0,399
"131",1809,"1651809","Nelas",173,0,197,0,0,0,369
"132",1810,"1651810","Oliveira de Frades",770,0,195,6,0,0,971
"133",1811,"1651811","Penalva do Castelo",779,0,242,0,0,0,1020
"134",1814,"1651814","Santa Comba Dão",181,0,166,0,0,0,348
"135",1816,"1651816","São Pedro do Sul",942,0,129,9,0,0,1080
"136",1817,"1651817","Sátão",696,0,162,0,0,0,858
"137",1821,"1651821","Tondela",959,0,574,6,0,0,1539
