"agrarian_region_id","agrarian_region","2009"
"Entre Douro e Minho",1,31.77
"Trás-os-Montes",2,29.014
"Beira Litoral",3,39.53
"Beira Interior",4,40.562
"Ribatejo e Oeste",5,45.532
"Alentejo",6,47.782
"Algarve",7,46.98
