"Muni_ID","ID","Muni","Rabbits","Other_rabbits"
1601,"1111601","Arcos de Valdevez",18967.104,43377.984
1602,"1111602","Caminha",42441.984,37612.224
1603,"1111603","Melgaço",7937.28,13545.792
1604,"1111604","Monção",21400.704,35156.16
1605,"1111605","Paredes de Coura",16810.56,74123.712
1606,"1111606","Ponte da Barca",16099.2,100503.936
1607,"1111607","Ponte de Lima",44695.872,215646.912
1608,"1111608","Valença",7637.76,14189.76
1609,"1111609","Viana do Castelo",16166.592,47264.256
1610,"1111610","Vila Nova de Cerveira",2560.896,6581.952
301,"1120301","Amares",8656.128,28035.072
302,"1120302","Barcelos",48574.656,195638.976
303,"1120303","Braga",25541.568,79148.16
306,"1120306","Esposende",12909.312,50192.064
310,"1120310","Terras de Bouro",7577.856,54310.464
313,"1120313","Vila Verde",25818.624,107797.248
307,"1130307","Fafe",43692.48,317753.28
308,"1130308","Guimarães",21116.16,60652.8
309,"1130309","Póvoa de Lanhoso",10071.36,32078.592
1314,"1131314","Santo Tirso",5578.56,18914.688
1318,"1131318","Trofa",3931.2,14534.208
311,"1130311","Vieira do Minho",8498.88,24725.376
312,"1130312","Vila Nova de Famalicão",14054.976,54684.864
314,"1130314","Vizela",2029.248,2972.736
107,"1140107","Espinho",179.712,1018.368
1304,"1141304","Gondomar",5541.12,16031.808
1306,"1141306","Maia",3407.04,11658.816
1308,"1141308","Matosinhos",2478.528,7735.104
1312,"1141312","Porto",142.272,82.368
1313,"1141313","Póvoa de Varzim",9240.192,26043.264
1315,"1141315","Valongo",32707.584,427766.976
1316,"1141316","Vila do Conde",11898.432,23122.944
1317,"1141317","Vila Nova de Gaia",4051.008,9008.064
1301,"1151301","Amarante",14601.6,41109.12
1302,"1151302","Baião",10438.272,29390.4
304,"1150304","Cabeceiras de Basto",19558.656,63460.8
106,"1150106","Castelo de Paiva",7023.744,19633.536
305,"1150305","Celorico de Basto",12647.232,27346.176
1804,"1151804","Cinfães",9517.248,24201.216
1303,"1151303","Felgueiras",14339.52,32902.272
1305,"1151305","Lousada",5046.912,17177.472
1307,"1151307","Marco de Canaveses",7907.328,17447.04
1705,"1151705","Mondim de Basto",5189.184,15747.264
1309,"1151309","Paços de Ferreira",3744,14167.296
1310,"1151310","Paredes",11958.336,27166.464
1311,"1151311","Penafiel",7270.848,26470.08
1813,"1151813","Resende",6379.776,14212.224
1709,"1151709","Ribeira de Pena",7263.36,24830.208
104,"1160104","Arouca",7053.696,21235.968
113,"1160113","Oliveira de Azeméis",4754.88,15724.8
109,"1160109","Santa Maria da Feira",5331.456,18046.08
116,"1160116","São João da Madeira",164.736,614.016
119,"1160119","Vale de Cambra",5144.256,14908.608
1701,"1171701","Alijó",2456.064,10213.632
1801,"1171801","Armamar",2710.656,4575.168
403,"1170403","Carrazeda de Ansiães",2373.696,7450.56
404,"1170404","Freixo de Espada à Cinta",1819.584,1347.84
1805,"1171805","Lamego",3998.592,9075.456
1704,"1171704","Mesão Frio",89.856,1362.816
1807,"1171807","Moimenta da Beira",17574.336,13118.976
1812,"1171812","Penedono",1407.744,4178.304
1708,"1171708","Peso da Régua",1602.432,5503.68
1710,"1171710","Sabrosa",21969.792,191842.56
1711,"1171711","Santa Marta de Penaguião",988.416,4155.84
1815,"1171815","São João da Pesqueira",2074.176,2261.376
1818,"1171818","Sernancelhe",10108.8,76916.736
1819,"1171819","Tabuaço",1490.112,4522.752
1820,"1171820","Tarouca",13006.656,61746.048
409,"1170409","Torre de Moncorvo",13530.816,96797.376
410,"1170410","Vila Flor",1797.12,3886.272
914,"1170914","Vila Nova de Foz Côa",494.208,456.768
1714,"1171714","Vila Real",28679.04,118969.344
401,"1180401","Alfândega da Fé",1497.6,4762.368
1702,"1181702","Boticas",17611.776,119830.464
402,"1180402","Bragança",18120.96,35186.112
1703,"1181703","Chaves",51861.888,331471.296
405,"1180405","Macedo de Cavaleiros",18757.44,140340.096
406,"1180406","Miranda do Douro",7008.768,35433.216
407,"1180407","Mirandela",27211.392,199060.992
408,"1180408","Mogadouro",12789.504,82660.032
1706,"1181706","Montalegre",21999.744,64973.376
1707,"1181707","Murça",3504.384,8446.464
1712,"1181712","Valpaços",18982.08,56504.448
1713,"1181713","Vila Pouca de Aguiar",26327.808,92327.04
411,"1180411","Vimioso",3968.64,14406.912
412,"1180412","Vinhais",17963.712,36017.28
101,"1610101","Águeda",13905.216,51345.216
102,"1610102","Albergaria-a-Velha",9607.104,25638.912
103,"1610103","Anadia",11149.632,56534.4
105,"1610105","Aveiro",4912.128,8364.096
108,"1610108","Estarreja",2283.84,6611.904
110,"1610110","Ílhavo",11419.2,131197.248
111,"1610111","Mealhada",5338.944,12280.32
112,"1610112","Murtosa",1437.696,4702.464
114,"1610114","Oliveira do Bairro",4193.28,11598.912
115,"1610115","Ovar",5046.912,16668.288
117,"1610117","Sever do Vouga",23063.04,81551.808
118,"1610118","Vagos",10475.712,14878.656
602,"1620602","Cantanhede",19835.712,91630.656
