"nuts2_ID","nuts2_name","Milk_production09","Dairy_cows","dairy_productivity"
11,"Norte",785274000,102976,7626
15,"Algarve",334000,126,2651
16,"Centro",331904000,45016,7373
17,"AML",85109000,6881,12369
18,"Alentejo",237992000,30646,7766
