"","Lat","Long","Prec..mm."
"12643",19991031,NA,NA
"12644",42,-8.6,238.94
"12645",42,-8.4,331.78
"12646",42,-8.2,280.55
"12647",42,-7.2,286.67
"12648",42,-7,296.31
"12649",42,-6.8,354.11
"12650",41.8,-8.8,295.16
"12651",41.8,-8.6,273.28
"12652",41.8,-8.4,310.2
"12653",41.8,-8.2,286
"12654",41.8,-8,237.42
"12655",41.8,-7.8,237.88
"12656",41.8,-7.6,194.08
"12657",41.8,-7.4,234.2
"12658",41.8,-7.2,256.11
"12659",41.8,-7,229.78
"12660",41.8,-6.8,208.12
"12661",41.8,-6.6,218.72
"12662",41.6,-8.8,174.22
"12663",41.6,-8.6,313.44
"12664",41.6,-8.4,347.8
"12665",41.6,-8.2,393.62
"12666",41.6,-8,372.02
"12667",41.6,-7.8,370.61
"12668",41.6,-7.6,281.58
"12669",41.6,-7.4,189.41
"12670",41.6,-7.2,153.44
"12671",41.6,-7,180.48
"12672",41.6,-6.8,189.05
"12673",41.6,-6.6,227.56
"12674",41.6,-6.4,192.02
"12675",41.6,-6.2,141.11
"12676",41.4,-8.8,237.38
"12677",41.4,-8.6,299.8
"12678",41.4,-8.4,301.41
"12679",41.4,-8.2,323.7
"12680",41.4,-8,338.47
"12681",41.4,-7.8,297.09
"12682",41.4,-7.6,259.36
"12683",41.4,-7.4,179.39
"12684",41.4,-7.2,114.17
"12685",41.4,-7,98.83
"12686",41.4,-6.8,130.16
"12687",41.4,-6.6,176.31
"12688",41.4,-6.4,194.25
"12689",41.2,-8.6,238.25
"12690",41.2,-8.4,328.16
"12691",41.2,-8.2,293.11
"12692",41.2,-8,261.41
"12693",41.2,-7.8,191.48
"12694",41.2,-7.6,130.5
"12695",41.2,-7.4,125.38
"12696",41.2,-7.2,105.5
"12697",41.2,-7,88.34
"12698",41.2,-6.8,114.39
"12699",41,-8.6,234.88
"12700",41,-8.4,261.03
"12701",41,-8.2,276.94
"12702",41,-8,289.92
"12703",41,-7.8,231.78
"12704",41,-7.6,133.73
"12705",41,-7.4,109.67
"12706",41,-7.2,105.2
"12707",41,-7,101.97
"12708",40.8,-8.6,198.81
"12709",40.8,-8.4,229.5
"12710",40.8,-8.2,315.66
"12711",40.8,-8,315.67
"12712",40.8,-7.8,245.31
"12713",40.8,-7.6,187
"12714",40.8,-7.4,130.81
"12715",40.8,-7.2,135.22
