"","Lat","Long","Prec..mm."
"12643",19990831,NA,NA
"12644",42,-8.6,88.52
"12645",42,-8.4,115.48
"12646",42,-8.2,65.3
"12647",42,-7.2,83.12
"12648",42,-7,89.8
"12649",42,-6.8,81.3
"12650",41.8,-8.8,97.84
"12651",41.8,-8.6,93.17
"12652",41.8,-8.4,82.3
"12653",41.8,-8.2,79.8
"12654",41.8,-8,76.56
"12655",41.8,-7.8,86.72
"12656",41.8,-7.6,64.23
"12657",41.8,-7.4,76.69
"12658",41.8,-7.2,66.19
"12659",41.8,-7,69.94
"12660",41.8,-6.8,58.3
"12661",41.8,-6.6,47.11
"12662",41.6,-8.8,57.36
"12663",41.6,-8.6,69.39
"12664",41.6,-8.4,88.72
"12665",41.6,-8.2,123.11
"12666",41.6,-8,120.17
"12667",41.6,-7.8,139.5
"12668",41.6,-7.6,102.84
"12669",41.6,-7.4,65.12
"12670",41.6,-7.2,48.7
"12671",41.6,-7,39.12
"12672",41.6,-6.8,45.11
"12673",41.6,-6.6,36.81
"12674",41.6,-6.4,27.42
"12675",41.6,-6.2,21.62
"12676",41.4,-8.8,73.75
"12677",41.4,-8.6,71.83
"12678",41.4,-8.4,107.58
"12679",41.4,-8.2,113.11
"12680",41.4,-8,100.92
"12681",41.4,-7.8,100.62
"12682",41.4,-7.6,75.78
"12683",41.4,-7.4,50.53
"12684",41.4,-7.2,37.64
"12685",41.4,-7,39.03
"12686",41.4,-6.8,35.23
"12687",41.4,-6.6,32.92
"12688",41.4,-6.4,25.48
"12689",41.2,-8.6,88.69
"12690",41.2,-8.4,87.2
"12691",41.2,-8.2,88.95
"12692",41.2,-8,79.17
"12693",41.2,-7.8,56.41
"12694",41.2,-7.6,42.42
"12695",41.2,-7.4,37.3
"12696",41.2,-7.2,29.55
"12697",41.2,-7,24.45
"12698",41.2,-6.8,24.42
"12699",41,-8.6,98.31
"12700",41,-8.4,87.27
"12701",41,-8.2,83.5
"12702",41,-8,80.77
"12703",41,-7.8,60.47
"12704",41,-7.6,35.23
"12705",41,-7.4,32.62
"12706",41,-7.2,22.66
"12707",41,-7,16.3
"12708",40.8,-8.6,82.84
"12709",40.8,-8.4,75.56
"12710",40.8,-8.2,78.5
"12711",40.8,-8,75.2
"12712",40.8,-7.8,62.86
"12713",40.8,-7.6,45.47
"12714",40.8,-7.4,36.25
"12715",40.8,-7.2,27.33
"12716",40.8,-7,23.11
"12717",40.8,-6.8,16.36
"12718",40.6,-8.8,52.59
