"","Lat","Long","Preci..mm."
"12775",39.6,-8.2,86.8
"12776",39.6,-8,52.39
"12777",39.6,-7.8,34.42
"12778",39.6,-7.6,35.92
"12779",39.6,-7.4,39.42
"12780",39.4,-9.4,46.7
"12781",39.4,-9.2,49.42
"12782",39.4,-9,48.48
"12783",39.4,-8.8,44.66
"12784",39.4,-8.6,58.75
"12785",39.4,-8.4,42.77
"12786",39.4,-8.2,48.33
"12787",39.4,-8,49.16
"12788",39.4,-7.8,56.8
"12789",39.4,-7.6,52.67
"12790",39.4,-7.4,80.31
"12791",39.2,-9.4,53.48
"12792",39.2,-9.2,50.58
"12793",39.2,-9,45.09
"12794",39.2,-8.8,37.89
"12795",39.2,-8.6,34.27
"12796",39.2,-8.4,37.31
"12797",39.2,-8.2,37.25
"12798",39.2,-8,39.09
"12799",39.2,-7.8,32.59
"12800",39.2,-7.6,49.48
"12801",39.2,-7.4,47.64
"12802",39.2,-7.2,55.22
"12803",39,-9.4,51.86
"12804",39,-9.2,52.02
"12805",39,-9,36.59
"12806",39,-8.8,41.08
"12807",39,-8.6,48.62
"12808",39,-8.4,47.05
"12809",39,-8.2,38.64
"12810",39,-8,37.06
"12811",39,-7.8,27.05
"12812",39,-7.6,32
"12813",39,-7.4,29.78
"12814",39,-7.2,26.75
"12815",39,-7,37.62
"12816",38.8,-9.4,40.89
"12817",38.8,-9.2,42.55
"12818",38.8,-9,55.33
"12819",38.8,-8.8,48.67
"12820",38.8,-8.6,61.84
"12821",38.8,-8.4,43.83
"12822",38.8,-8.2,30.86
"12823",38.8,-8,19.17
"12824",38.8,-7.8,27.33
"12825",38.8,-7.6,39.53
"12826",38.8,-7.4,37.09
"12827",38.8,-7.2,26.61
"12828",38.6,-9.2,52.36
"12829",38.6,-9,72
"12830",38.6,-8.8,54.45
"12831",38.6,-8.6,54.98
"12832",38.6,-8.4,39.23
"12833",38.6,-8.2,29.25
"12834",38.6,-8,26.34
"12835",38.6,-7.8,26.36
"12836",38.6,-7.6,25.95
"12837",38.6,-7.4,28.44
"12838",38.4,-9.2,73.38
"12839",38.4,-9,68.28
"12840",38.4,-8.8,32.36
"12841",38.4,-8.6,25.61
"12842",38.4,-8.4,36.83
"12843",38.4,-8.2,36.92
"12844",38.4,-8,32.67
"12845",38.4,-7.8,36.59
"12846",38.4,-7.6,34.56
"12847",38.4,-7.4,30.08
"12848",38.2,-8.8,26.58
"12849",38.2,-8.6,25.28
