"","Lat","Long","Prec..mm."
"12643",19991231,NA,NA
"12644",42,-8.6,286.42
"12645",42,-8.4,284.56
"12646",42,-8.2,191.42
"12647",42,-7.2,112.97
"12648",42,-7,131.36
"12649",42,-6.8,146.69
"12650",41.8,-8.8,251.64
"12651",41.8,-8.6,354.39
"12652",41.8,-8.4,286.19
"12653",41.8,-8.2,335.09
"12654",41.8,-8,183.44
"12655",41.8,-7.8,202.09
"12656",41.8,-7.6,113.28
"12657",41.8,-7.4,147.06
"12658",41.8,-7.2,96.22
"12659",41.8,-7,119.03
"12660",41.8,-6.8,96.8
"12661",41.8,-6.6,112.38
"12662",41.6,-8.8,138.73
"12663",41.6,-8.6,233.27
"12664",41.6,-8.4,289.36
"12665",41.6,-8.2,331.77
"12666",41.6,-8,356.62
"12667",41.6,-7.8,354.08
"12668",41.6,-7.6,248.73
"12669",41.6,-7.4,100.62
"12670",41.6,-7.2,63.11
"12671",41.6,-7,83.78
"12672",41.6,-6.8,77.06
"12673",41.6,-6.6,56.98
"12674",41.6,-6.4,63.84
"12675",41.6,-6.2,45.48
"12676",41.4,-8.8,137.73
"12677",41.4,-8.6,204.16
"12678",41.4,-8.4,250.02
"12679",41.4,-8.2,252.88
"12680",41.4,-8,238.22
"12681",41.4,-7.8,255.89
"12682",41.4,-7.6,208.36
"12683",41.4,-7.4,112.62
"12684",41.4,-7.2,55.31
"12685",41.4,-7,56.45
"12686",41.4,-6.8,62.47
"12687",41.4,-6.6,68.69
"12688",41.4,-6.4,55
"12689",41.2,-8.6,180.47
"12690",41.2,-8.4,260.41
"12691",41.2,-8.2,231.25
"12692",41.2,-8,195.5
"12693",41.2,-7.8,149.09
"12694",41.2,-7.6,104.84
"12695",41.2,-7.4,88.36
"12696",41.2,-7.2,61.98
"12697",41.2,-7,50.36
"12698",41.2,-6.8,53.17
"12699",41,-8.6,182.94
"12700",41,-8.4,292.61
"12701",41,-8.2,261.06
"12702",41,-8,199.53
"12703",41,-7.8,147.52
"12704",41,-7.6,77.05
"12705",41,-7.4,61.89
"12706",41,-7.2,38.95
"12707",41,-7,39.89
"12708",40.8,-8.6,146.58
"12709",40.8,-8.4,273.02
"12710",40.8,-8.2,299.95
"12711",40.8,-8,217.14
"12712",40.8,-7.8,150.42
"12713",40.8,-7.6,122.05
"12714",40.8,-7.4,66.78
"12715",40.8,-7.2,49.97
"12716",40.8,-7,38.31
"12717",40.8,-6.8,34.06
"12718",40.6,-8.8,126.23
"12719",40.6,-8.6,134.11
"12720",40.6,-8.4,163.47
"12721",40.6,-8.2,291.48
"12722",40.6,-8,226.73
"12723",40.6,-7.8,165.88
"12724",40.6,-7.6,176.17
"12725",40.6,-7.4,117.7
"12726",40.6,-7.2,68.47
"12727",40.6,-7,42.5
"12728",40.6,-6.8,41.8
"12729",40.4,-8.8,132.14
"12730",40.4,-8.6,139.34
"12731",40.4,-8.4,140.69
"12732",40.4,-8.2,188.16
"12733",40.4,-8,218.84
"12734",40.4,-7.8,174.14
"12735",40.4,-7.6,235.69
"12736",40.4,-7.4,155
"12737",40.4,-7.2,65.47
"12738",40.4,-7,31.89
"12739",40.4,-6.8,17.98
"12740",40.2,-8.8,138.23
"12741",40.2,-8.6,149.69
"12742",40.2,-8.4,152.86
"12743",40.2,-8.2,143.78
"12744",40.2,-8,170.61
"12745",40.2,-7.8,162.8
"12746",40.2,-7.6,132.28
"12747",40.2,-7.4,103.62
"12748",40.2,-7.2,54.28
"12749",40.2,-7,115.27
"12750",40,-8.8,112.77
"12751",40,-8.6,149.22
"12752",40,-8.4,160
"12753",40,-8.2,141.86
"12754",40,-8,137.83
"12755",40,-7.8,108.23
"12756",40,-7.6,73.22
"12757",40,-7.4,49.95
"12758",40,-7.2,28.88
"12759",40,-7,99.61
"12760",39.8,-9,65.67
"12761",39.8,-8.8,93.09
"12762",39.8,-8.6,111.81
"12763",39.8,-8.4,104.31
"12764",39.8,-8.2,109.17
"12765",39.8,-8,95.02
"12766",39.8,-7.8,78.69
"12767",39.8,-7.6,47.75
"12768",39.8,-7.4,26.75
"12769",39.8,-7.2,28.42
"12770",39.8,-7,32.16
"12771",39.6,-9,71.34
"12772",39.6,-8.8,88.38
"12773",39.6,-8.6,84.36
"12774",39.6,-8.4,59.69
"12775",39.6,-8.2,69.52
"12776",39.6,-8,66.8
"12777",39.6,-7.8,61.7
"12778",39.6,-7.6,47.67
"12779",39.6,-7.4,31.7
"12780",39.4,-9.4,37.39
"12781",39.4,-9.2,50.28
"12782",39.4,-9,81.39
"12783",39.4,-8.8,67.48
"12784",39.4,-8.6,49.64
"12785",39.4,-8.4,42.23
"12786",39.4,-8.2,47
"12787",39.4,-8,48.25
"12788",39.4,-7.8,57.53
"12789",39.4,-7.6,60.61
"12790",39.4,-7.4,68.91
"12791",39.2,-9.4,43.78
"12792",39.2,-9.2,57.08
"12793",39.2,-9,52.09
"12794",39.2,-8.8,31.8
"12795",39.2,-8.6,36.45
"12796",39.2,-8.4,28.73
"12797",39.2,-8.2,38.83
"12798",39.2,-8,34.55
"12799",39.2,-7.8,29.5
"12800",39.2,-7.6,47.75
"12801",39.2,-7.4,68.78
"12802",39.2,-7.2,64.22
"12803",39,-9.4,63.75
"12804",39,-9.2,87.47
"12805",39,-9,43.14
"12806",39,-8.8,36.36
"12807",39,-8.6,41.62
"12808",39,-8.4,37.95
"12809",39,-8.2,29.33
"12810",39,-8,35.83
"12811",39,-7.8,29.72
"12812",39,-7.6,38.55
"12813",39,-7.4,36.2
"12814",39,-7.2,28.5
"12815",39,-7,41
"12816",38.8,-9.4,82.59
"12817",38.8,-9.2,101.66
"12818",38.8,-9,62.47
"12819",38.8,-8.8,33.36
"12820",38.8,-8.6,38.12
"12821",38.8,-8.4,48.48
"12822",38.8,-8.2,40.73
"12823",38.8,-8,32.28
"12824",38.8,-7.8,30.72
"12825",38.8,-7.6,40.19
"12826",38.8,-7.4,46.92
"12827",38.8,-7.2,39.86
"12828",38.6,-9.2,61.56
"12829",38.6,-9,57.05
"12830",38.6,-8.8,43.45
"12831",38.6,-8.6,44.45
"12832",38.6,-8.4,53.56
"12833",38.6,-8.2,57.28
"12834",38.6,-8,45.66
"12835",38.6,-7.8,26.16
"12836",38.6,-7.6,30.09
"12837",38.6,-7.4,29.7
"12838",38.4,-9.2,49.28
"12839",38.4,-9,46.83
"12840",38.4,-8.8,37.03
"12841",38.4,-8.6,45.22
"12842",38.4,-8.4,55.5
"12843",38.4,-8.2,60.75
"12844",38.4,-8,61.28
"12845",38.4,-7.8,44.88
"12846",38.4,-7.6,35.64
"12847",38.4,-7.4,34.05
"12848",38.2,-8.8,37.55
"12849",38.2,-8.6,52.19
"12850",38.2,-8.4,47.3
"12851",38.2,-8.2,45.72
"12852",38.2,-8,57.03
"12853",38.2,-7.8,65.64
"12854",38.2,-7.6,44.38
"12855",38.2,-7.4,37.16
"12856",38.2,-7.2,54.28
"12857",38.2,-7,61.69
"12858",38,-8.8,42.73
"12859",38,-8.6,59.78
"12860",38,-8.4,58.78
"12861",38,-8.2,43.23
"12862",38,-8,46.53
"12863",38,-7.8,69.62
"12864",38,-7.6,45.41
"12865",38,-7.4,38.34
"12866",38,-7.2,59.09
"12867",37.8,-8.8,47.02
"12868",37.8,-8.6,64.61
"12869",37.8,-8.4,76.19
"12870",37.8,-8.2,59.28
"12871",37.8,-8,50.34
"12872",37.8,-7.8,49.97
"12873",37.8,-7.6,43.17
"12874",37.8,-7.4,37.3
"12875",37.6,-8.8,52.5
"12876",37.6,-8.6,77
