"","Lat","Long","Prec..mm."
"12643",19990331,NA,NA
"12644",42,-8.6,117.7
"12645",42,-8.4,136.22
"12646",42,-8.2,86.45
"12647",42,-7.2,108.2
"12648",42,-7,104.58
"12649",42,-6.8,128.97
"12650",41.8,-8.8,114.58
"12651",41.8,-8.6,122.55
"12652",41.8,-8.4,114.61
"12653",41.8,-8.2,109.78
"12654",41.8,-8,90.33
"12655",41.8,-7.8,99.19
"12656",41.8,-7.6,81.7
"12657",41.8,-7.4,92.88
"12658",41.8,-7.2,94.89
"12659",41.8,-7,79.59
"12660",41.8,-6.8,76.95
"12661",41.8,-6.6,80.28
"12662",41.6,-8.8,76.16
"12663",41.6,-8.6,92.94
"12664",41.6,-8.4,97.39
"12665",41.6,-8.2,110.89
"12666",41.6,-8,124.59
"12667",41.6,-7.8,138.41
"12668",41.6,-7.6,79.25
"12669",41.6,-7.4,47.67
"12670",41.6,-7.2,39.98
"12671",41.6,-7,67.86
"12672",41.6,-6.8,58.73
"12673",41.6,-6.6,49.91
"12674",41.6,-6.4,49.27
"12675",41.6,-6.2,35.78
"12676",41.4,-8.8,60
"12677",41.4,-8.6,68.5
"12678",41.4,-8.4,83.95
"12679",41.4,-8.2,107.47
"12680",41.4,-8,104.3
"12681",41.4,-7.8,102.44
"12682",41.4,-7.6,77.34
"12683",41.4,-7.4,47.98
"12684",41.4,-7.2,34.73
"12685",41.4,-7,57.48
"12686",41.4,-6.8,42.83
"12687",41.4,-6.6,38.17
"12688",41.4,-6.4,47
"12689",41.2,-8.6,82.27
"12690",41.2,-8.4,94.17
"12691",41.2,-8.2,114.52
"12692",41.2,-8,99.08
"12693",41.2,-7.8,68.91
"12694",41.2,-7.6,49.52
"12695",41.2,-7.4,45.91
"12696",41.2,-7.2,38.97
"12697",41.2,-7,34.19
"12698",41.2,-6.8,28.45
"12699",41,-8.6,100.2
"12700",41,-8.4,119.14
"12701",41,-8.2,124.98
"12702",41,-8,124.17
"12703",41,-7.8,100.25
"12704",41,-7.6,70.45
"12705",41,-7.4,52.72
"12706",41,-7.2,40.64
"12707",41,-7,31.84
"12708",40.8,-8.6,79.08
"12709",40.8,-8.4,115.77
"12710",40.8,-8.2,135.05
"12711",40.8,-8,128.16
"12712",40.8,-7.8,103.8
"12713",40.8,-7.6,81.95
"12714",40.8,-7.4,52.22
"12715",40.8,-7.2,42.17
"12716",40.8,-7,30.61
"12717",40.8,-6.8,25.27
"12718",40.6,-8.8,64.94
"12719",40.6,-8.6,72.5
"12720",40.6,-8.4,79.2
"12721",40.6,-8.2,141.56
"12722",40.6,-8,107.33
"12723",40.6,-7.8,97.23
"12724",40.6,-7.6,107.19
"12725",40.6,-7.4,70.75
"12726",40.6,-7.2,59.66
"12727",40.6,-7,46.16
"12728",40.6,-6.8,46.25
"12729",40.4,-8.8,60.53
"12730",40.4,-8.6,72.25
"12731",40.4,-8.4,90.95
"12732",40.4,-8.2,99.33
"12733",40.4,-8,103.95
"12734",40.4,-7.8,103.98
"12735",40.4,-7.6,159.78
"12736",40.4,-7.4,99.67
"12737",40.4,-7.2,67.66
"12738",40.4,-7,62.33
"12739",40.4,-6.8,66.92
"12740",40.2,-8.8,64.83
"12741",40.2,-8.6,76.66
"12742",40.2,-8.4,89.06
"12743",40.2,-8.2,115.11
"12744",40.2,-8,144.22
"12745",40.2,-7.8,144.5
"12746",40.2,-7.6,138.16
"12747",40.2,-7.4,73.52
"12748",40.2,-7.2,53.77
"12749",40.2,-7,74.61
"12750",40,-8.8,75.58
