"","Lat","Long","Lat.1"
"12643",19990630,NA,NA
"12644",42,-8.6,36.02
"12645",42,-8.4,23.11
"12646",42,-8.2,23.66
"12647",42,-7.2,11.03
"12648",42,-7,21.52
"12649",42,-6.8,24.09
"12650",41.8,-8.8,37.73
"12651",41.8,-8.6,25.88
"12652",41.8,-8.4,27.75
"12653",41.8,-8.2,29.47
"12654",41.8,-8,16.91
"12655",41.8,-7.8,18.12
"12656",41.8,-7.6,10.23
"12657",41.8,-7.4,10.36
"12658",41.8,-7.2,15.92
"12659",41.8,-7,12.3
"12660",41.8,-6.8,17.84
"12661",41.8,-6.6,30.41
"12662",41.6,-8.8,23.36
"12663",41.6,-8.6,24.77
"12664",41.6,-8.4,28.05
"12665",41.6,-8.2,28.56
"12666",41.6,-8,23.16
"12667",41.6,-7.8,19.89
"12668",41.6,-7.6,7.62
"12669",41.6,-7.4,3.05
"12670",41.6,-7.2,7.23
"12671",41.6,-7,11.64
"12672",41.6,-6.8,25.2
"12673",41.6,-6.6,32.3
"12674",41.6,-6.4,33.3
"12675",41.6,-6.2,21.23
"12676",41.4,-8.8,10.62
"12677",41.4,-8.6,15.16
"12678",41.4,-8.4,24.06
"12679",41.4,-8.2,19.5
"12680",41.4,-8,12.06
"12681",41.4,-7.8,10.73
"12682",41.4,-7.6,4.02
"12683",41.4,-7.4,3.41
"12684",41.4,-7.2,6.25
"12685",41.4,-7,18.02
"12686",41.4,-6.8,31.55
"12687",41.4,-6.6,33
"12688",41.4,-6.4,24.7
"12689",41.2,-8.6,23.69
"12690",41.2,-8.4,21.03
"12691",41.2,-8.2,19.77
"12692",41.2,-8,11.14
"12693",41.2,-7.8,4.75
"12694",41.2,-7.6,2.2
"12695",41.2,-7.4,7.95
"12696",41.2,-7.2,13.84
"12697",41.2,-7,18.28
"12698",41.2,-6.8,35.38
"12699",41,-8.6,27.83
"12700",41,-8.4,23.8
"12701",41,-8.2,18.16
"12702",41,-8,13.78
"12703",41,-7.8,8.56
"12704",41,-7.6,5.66
"12705",41,-7.4,14.22
"12706",41,-7.2,27.19
"12707",41,-7,20.16
"12708",40.8,-8.6,20.2
"12709",40.8,-8.4,20.5
"12710",40.8,-8.2,15.83
"12711",40.8,-8,12.09
"12712",40.8,-7.8,8.58
"12713",40.8,-7.6,8
"12714",40.8,-7.4,11.59
"12715",40.8,-7.2,16.83
"12716",40.8,-7,16.58
"12717",40.8,-6.8,22.91
"12718",40.6,-8.8,4.44
"12719",40.6,-8.6,4.92
"12720",40.6,-8.4,4.73
