"","Lat","Long","Prec..mm."
"12643",19990930,NA,NA
"12644",42,-8.6,281.45
"12645",42,-8.4,410.16
"12646",42,-8.2,323.8
"12647",42,-7.2,230.05
"12648",42,-7,202.19
"12649",42,-6.8,196.69
"12650",41.8,-8.8,360.33
"12651",41.8,-8.6,318
"12652",41.8,-8.4,340.95
"12653",41.8,-8.2,272.8
"12654",41.8,-8,236.8
"12655",41.8,-7.8,247.67
"12656",41.8,-7.6,187.73
"12657",41.8,-7.4,206.34
"12658",41.8,-7.2,188.97
"12659",41.8,-7,146.89
"12660",41.8,-6.8,150.25
"12661",41.8,-6.6,134.64
"12662",41.6,-8.8,217.17
"12663",41.6,-8.6,264.75
"12664",41.6,-8.4,294.62
"12665",41.6,-8.2,378.56
"12666",41.6,-8,325.23
"12667",41.6,-7.8,296.78
"12668",41.6,-7.6,215.48
"12669",41.6,-7.4,136.3
"12670",41.6,-7.2,107.73
"12671",41.6,-7,119.7
"12672",41.6,-6.8,120.61
"12673",41.6,-6.6,107.95
"12674",41.6,-6.4,95.75
"12675",41.6,-6.2,84.58
"12676",41.4,-8.8,193.83
"12677",41.4,-8.6,232.56
"12678",41.4,-8.4,227.8
"12679",41.4,-8.2,236.89
"12680",41.4,-8,228.02
"12681",41.4,-7.8,214.06
"12682",41.4,-7.6,179.88
"12683",41.4,-7.4,115.8
"12684",41.4,-7.2,76.98
"12685",41.4,-7,74.39
"12686",41.4,-6.8,94.3
"12687",41.4,-6.6,100.81
"12688",41.4,-6.4,93.53
"12689",41.2,-8.6,188.66
"12690",41.2,-8.4,198.72
"12691",41.2,-8.2,186.56
"12692",41.2,-8,175.23
"12693",41.2,-7.8,132.48
"12694",41.2,-7.6,108.94
"12695",41.2,-7.4,89.19
"12696",41.2,-7.2,67.61
"12697",41.2,-7,67.73
"12698",41.2,-6.8,87.23
"12699",41,-8.6,136.56
"12700",41,-8.4,198.31
"12701",41,-8.2,201.14
"12702",41,-8,186.62
"12703",41,-7.8,144.31
"12704",41,-7.6,87.34
"12705",41,-7.4,77.83
"12706",41,-7.2,49.48
"12707",41,-7,48.22
"12708",40.8,-8.6,133.39
"12709",40.8,-8.4,166.7
"12710",40.8,-8.2,200.44
"12711",40.8,-8,184.56
"12712",40.8,-7.8,153.38
"12713",40.8,-7.6,128.09
"12714",40.8,-7.4,89.58
"12715",40.8,-7.2,61.86
"12716",40.8,-7,58.41
"12717",40.8,-6.8,43.91
"12718",40.6,-8.8,126.02
"12719",40.6,-8.6,123.23
"12720",40.6,-8.4,113.27
"12721",40.6,-8.2,108.41
"12722",40.6,-8,132.56
"12723",40.6,-7.8,127.28
"12724",40.6,-7.6,138.25
"12725",40.6,-7.4,107.84
"12726",40.6,-7.2,82.48
"12727",40.6,-7,68.66
"12728",40.6,-6.8,85.7
"12729",40.4,-8.8,106.84
"12730",40.4,-8.6,107.11
"12731",40.4,-8.4,116.27
"12732",40.4,-8.2,99.03
"12733",40.4,-8,135.66
"12734",40.4,-7.8,125.8
"12735",40.4,-7.6,152.77
"12736",40.4,-7.4,115.77
"12737",40.4,-7.2,96.28
"12738",40.4,-7,77.91
"12739",40.4,-6.8,93.58
"12740",40.2,-8.8,90.72
"12741",40.2,-8.6,94.81
"12742",40.2,-8.4,144.42
"12743",40.2,-8.2,131.09
"12744",40.2,-8,138.44
"12745",40.2,-7.8,127.8
"12746",40.2,-7.6,87.06
"12747",40.2,-7.4,75.95
"12748",40.2,-7.2,81.19
"12749",40.2,-7,106.22
"12750",40,-8.8,100.45
"12751",40,-8.6,140.95
"12752",40,-8.4,149.88
"12753",40,-8.2,130.86
"12754",40,-8,117.45
"12755",40,-7.8,117.2
"12756",40,-7.6,97.14
"12757",40,-7.4,78.78
"12758",40,-7.2,80.39
"12759",40,-7,81.84
"12760",39.8,-9,84.91
"12761",39.8,-8.8,101.38
"12762",39.8,-8.6,130.69
"12763",39.8,-8.4,133.66
"12764",39.8,-8.2,110.56
"12765",39.8,-8,91.22
"12766",39.8,-7.8,83.8
"12767",39.8,-7.6,80.2
"12768",39.8,-7.4,65.36
"12769",39.8,-7.2,66.78
"12770",39.8,-7,59.69
"12771",39.6,-9,98.92
"12772",39.6,-8.8,107.06
"12773",39.6,-8.6,115.08
"12774",39.6,-8.4,101.62
"12775",39.6,-8.2,97.52
"12776",39.6,-8,67.53
"12777",39.6,-7.8,59.47
"12778",39.6,-7.6,78.34
"12779",39.6,-7.4,69.17
"12780",39.4,-9.4,55.31
"12781",39.4,-9.2,72.59
"12782",39.4,-9,91.14
"12783",39.4,-8.8,106.45
"12784",39.4,-8.6,77.38
"12785",39.4,-8.4,105.36
"12786",39.4,-8.2,85.42
"12787",39.4,-8,82.25
"12788",39.4,-7.8,77.69
"12789",39.4,-7.6,61.23
"12790",39.4,-7.4,74.8
"12791",39.2,-9.4,48.67
"12792",39.2,-9.2,63.06
"12793",39.2,-9,85.12
"12794",39.2,-8.8,85.95
"12795",39.2,-8.6,89.56
"12796",39.2,-8.4,91.03
"12797",39.2,-8.2,85.36
"12798",39.2,-8,79.08
"12799",39.2,-7.8,62.2
"12800",39.2,-7.6,58.64
"12801",39.2,-7.4,71.84
"12802",39.2,-7.2,70.09
"12803",39,-9.4,57.28
"12804",39,-9.2,93.73
"12805",39,-9,73.73
"12806",39,-8.8,89.14
"12807",39,-8.6,88.39
"12808",39,-8.4,84.72
"12809",39,-8.2,74.31
"12810",39,-8,73.17
"12811",39,-7.8,38.06
"12812",39,-7.6,52.52
"12813",39,-7.4,45.61
"12814",39,-7.2,40.58
"12815",39,-7,60.53
"12816",38.8,-9.4,89.47
"12817",38.8,-9.2,109.27
"12818",38.8,-9,98.73
"12819",38.8,-8.8,102.55
"12820",38.8,-8.6,100.7
"12821",38.8,-8.4,90.03
"12822",38.8,-8.2,70.66
"12823",38.8,-8,40.25
"12824",38.8,-7.8,48.86
"12825",38.8,-7.6,58.52
"12826",38.8,-7.4,65.92
"12827",38.8,-7.2,66.83
"12828",38.6,-9.2,93.28
"12829",38.6,-9,87.2
"12830",38.6,-8.8,80.02
"12831",38.6,-8.6,71.36
"12832",38.6,-8.4,83.66
"12833",38.6,-8.2,71.03
"12834",38.6,-8,66.06
"12835",38.6,-7.8,71.97
"12836",38.6,-7.6,80.89
"12837",38.6,-7.4,84.16
"12838",38.4,-9.2,75.08
"12839",38.4,-9,85.81
"12840",38.4,-8.8,75.22
"12841",38.4,-8.6,58.19
"12842",38.4,-8.4,73.34
"12843",38.4,-8.2,86.69
"12844",38.4,-8,94.72
"12845",38.4,-7.8,88.67
"12846",38.4,-7.6,85.42
"12847",38.4,-7.4,80.84
"12848",38.2,-8.8,100.53
"12849",38.2,-8.6,97.08
"12850",38.2,-8.4,83.94
"12851",38.2,-8.2,82.19
"12852",38.2,-8,95.53
"12853",38.2,-7.8,101.16
"12854",38.2,-7.6,101.98
"12855",38.2,-7.4,81.77
"12856",38.2,-7.2,83.91
"12857",38.2,-7,78.64
"12858",38,-8.8,101.62
"12859",38,-8.6,93.48
"12860",38,-8.4,85.47
"12861",38,-8.2,68.55
"12862",38,-8,86.11
"12863",38,-7.8,105.11
"12864",38,-7.6,94.84
"12865",38,-7.4,73.5
"12866",38,-7.2,87.12
"12867",37.8,-8.8,88.12
"12868",37.8,-8.6,88.38
"12869",37.8,-8.4,81.59
"12870",37.8,-8.2,64.78
"12871",37.8,-8,56.42
"12872",37.8,-7.8,66.16
"12873",37.8,-7.6,67.91
"12874",37.8,-7.4,73.19
"12875",37.6,-8.8,61.5
"12876",37.6,-8.6,79.89
"12877",37.6,-8.4,80.23
"12878",37.6,-8.2,71.62
"12879",37.6,-8,42.22
"12880",37.6,-7.8,67.41
"12881",37.6,-7.6,58.44
"12882",37.4,-8.8,67.67
"12883",37.4,-8.6,80.27
"12884",37.4,-8.4,79.44
"12885",37.4,-8.2,54.06
"12886",37.4,-8,32.41
"12887",37.4,-7.8,33.42
"12888",37.4,-7.6,36.38
"12889",37.2,-8.8,57.33
"12890",37.2,-8.6,43.06
"12891",37.2,-8.4,41.34
"12892",37.2,-8.2,24.8
"12893",37.2,-8,32.64
"12894",37.2,-7.8,37.31
"12895",37.2,-7.6,34.55
"12896",37.2,-7.4,50.36
"12897",37,-9,61.58
"12898",37,-8.8,48.17
"12899",37,-8,31.73
"12900",37,-7.8,31.84
