"","Lat","Long","Prec..mm."
"12725",40.6,-7.4,48.78
"12726",40.6,-7.2,60.22
"12727",40.6,-7,64.45
"12728",40.6,-6.8,63.72
"12729",40.4,-8.8,71.14
"12730",40.4,-8.6,63.94
"12731",40.4,-8.4,64.53
"12732",40.4,-8.2,69.64
"12733",40.4,-8,95.11
"12734",40.4,-7.8,102.16
"12735",40.4,-7.6,119.12
"12736",40.4,-7.4,88.48
"12737",40.4,-7.2,78.84
"12738",40.4,-7,88.17
"12739",40.4,-6.8,103.39
"12740",40.2,-8.8,61.58
"12741",40.2,-8.6,71.72
"12742",40.2,-8.4,76.23
"12743",40.2,-8.2,78.42
"12744",40.2,-8,109.03
"12745",40.2,-7.8,121.59
"12746",40.2,-7.6,126.66
"12747",40.2,-7.4,99.06
"12748",40.2,-7.2,94.5
"12749",40.2,-7,154.86
"12750",40,-8.8,71.03
"12751",40,-8.6,82.97
"12752",40,-8.4,89.94
"12753",40,-8.2,84.44
"12754",40,-8,102.77
"12755",40,-7.8,124.47
"12756",40,-7.6,113.94
"12757",40,-7.4,100.14
"12758",40,-7.2,103.8
"12759",40,-7,113.2
"12760",39.8,-9,92.89
"12761",39.8,-8.8,86.31
"12762",39.8,-8.6,82.25
"12763",39.8,-8.4,82.25
"12764",39.8,-8.2,72.62
"12765",39.8,-8,77.66
"12766",39.8,-7.8,86.34
"12767",39.8,-7.6,92.31
"12768",39.8,-7.4,91.19
"12769",39.8,-7.2,85.91
"12770",39.8,-7,87.33
"12771",39.6,-9,108.41
"12772",39.6,-8.8,119.53
"12773",39.6,-8.6,109.88
"12774",39.6,-8.4,90.84
"12775",39.6,-8.2,76.75
"12776",39.6,-8,61.95
"12777",39.6,-7.8,53.5
"12778",39.6,-7.6,74.31
"12779",39.6,-7.4,68.69
"12780",39.4,-9.4,97.92
"12781",39.4,-9.2,103.83
"12782",39.4,-9,133.12
"12783",39.4,-8.8,115
"12784",39.4,-8.6,104.89
"12785",39.4,-8.4,82.5
"12786",39.4,-8.2,86.95
"12787",39.4,-8,91.31
"12788",39.4,-7.8,84.41
"12789",39.4,-7.6,63.67
"12790",39.4,-7.4,93.62
"12791",39.2,-9.4,100.3
"12792",39.2,-9.2,110.25
"12793",39.2,-9,125.55
"12794",39.2,-8.8,102.59
"12795",39.2,-8.6,84.59
"12796",39.2,-8.4,71.61
"12797",39.2,-8.2,88.39
"12798",39.2,-8,79.14
"12799",39.2,-7.8,69.72
"12800",39.2,-7.6,79.23
"12801",39.2,-7.4,82.3
"12802",39.2,-7.2,50.48
"12803",39,-9.4,102.05
"12804",39,-9.2,114.7
"12805",39,-9,89.56
"12806",39,-8.8,93.38
"12807",39,-8.6,87.34
"12808",39,-8.4,84.41
"12809",39,-8.2,70.17
"12810",39,-8,63.5
"12811",39,-7.8,52.02
"12812",39,-7.6,73.62
"12813",39,-7.4,69.8
"12814",39,-7.2,59.83
"12815",39,-7,36.39
"12816",38.8,-9.4,102.53
"12817",38.8,-9.2,112.16
"12818",38.8,-9,99.42
"12819",38.8,-8.8,96.55
"12820",38.8,-8.6,85.55
"12821",38.8,-8.4,95.02
"12822",38.8,-8.2,82.2
"12823",38.8,-8,48.84
"12824",38.8,-7.8,64.45
"12825",38.8,-7.6,70.45
"12826",38.8,-7.4,75.3
"12827",38.8,-7.2,42.83
"12828",38.6,-9.2,91.09
"12829",38.6,-9,85.42
"12830",38.6,-8.8,102.75
"12831",38.6,-8.6,94.02
"12832",38.6,-8.4,82.78
"12833",38.6,-8.2,78.98
"12834",38.6,-8,68.58
"12835",38.6,-7.8,65.8
"12836",38.6,-7.6,68.02
"12837",38.6,-7.4,65.73
"12838",38.4,-9.2,96.39
"12839",38.4,-9,97.97
"12840",38.4,-8.8,104.3
"12841",38.4,-8.6,91.89
"12842",38.4,-8.4,79.8
"12843",38.4,-8.2,82.84
"12844",38.4,-8,79.67
"12845",38.4,-7.8,77.98
"12846",38.4,-7.6,83.75
"12847",38.4,-7.4,65.75
"12848",38.2,-8.8,101.55
"12849",38.2,-8.6,93.52
"12850",38.2,-8.4,72.3
"12851",38.2,-8.2,69.61
"12852",38.2,-8,78.59
"12853",38.2,-7.8,83.38
"12854",38.2,-7.6,74.36
"12855",38.2,-7.4,66.98
"12856",38.2,-7.2,69.19
"12857",38.2,-7,62.19
"12858",38,-8.8,91.69
"12859",38,-8.6,80.8
"12860",38,-8.4,69.19
"12861",38,-8.2,40.41
"12862",38,-8,68.66
"12863",38,-7.8,79.11
"12864",38,-7.6,53.22
"12865",38,-7.4,59.95
"12866",38,-7.2,65.69
"12867",37.8,-8.8,79.16
"12868",37.8,-8.6,76.02
"12869",37.8,-8.4,70.5
"12870",37.8,-8.2,48.64
"12871",37.8,-8,62.67
"12872",37.8,-7.8,63.11
"12873",37.8,-7.6,54.33
"12874",37.8,-7.4,49.41
"12875",37.6,-8.8,67.19
"12876",37.6,-8.6,69.95
"12877",37.6,-8.4,68.44
"12878",37.6,-8.2,54.45
"12879",37.6,-8,55.77
"12880",37.6,-7.8,63.02
"12881",37.6,-7.6,44.89
"12882",37.4,-8.8,71.08
"12883",37.4,-8.6,78.31
"12884",37.4,-8.4,67.59
"12885",37.4,-8.2,69.09
"12886",37.4,-8,75.47
"12887",37.4,-7.8,65.69
"12888",37.4,-7.6,64.2
"12889",37.2,-8.8,73.95
"12890",37.2,-8.6,73.7
"12891",37.2,-8.4,65.36
"12892",37.2,-8.2,64.73
"12893",37.2,-8,71.31
"12894",37.2,-7.8,68.45
"12895",37.2,-7.6,48.16
"12896",37.2,-7.4,53
"12897",37,-9,87.56
"12898",37,-8.8,73.78
"12899",37,-8,65.88
"12900",37,-7.8,58.28
