"","Lat","Long","Prec..mm."
"12643",19991130,NA,NA
"12644",42,-8.6,66.3
"12645",42,-8.4,91.11
"12646",42,-8.2,71.83
"12647",42,-7.2,33
"12648",42,-7,33.91
"12649",42,-6.8,45.47
"12650",41.8,-8.8,121.06
"12651",41.8,-8.6,75.77
"12652",41.8,-8.4,74.69
"12653",41.8,-8.2,55.73
"12654",41.8,-8,42.05
"12655",41.8,-7.8,35.97
"12656",41.8,-7.6,26.09
"12657",41.8,-7.4,33.84
"12658",41.8,-7.2,26.3
"12659",41.8,-7,24.28
"12660",41.8,-6.8,19.28
"12661",41.8,-6.6,25.45
"12662",41.6,-8.8,53.09
"12663",41.6,-8.6,54.22
"12664",41.6,-8.4,63.88
"12665",41.6,-8.2,86.48
"12666",41.6,-8,61.56
"12667",41.6,-7.8,44.23
"12668",41.6,-7.6,33.2
"12669",41.6,-7.4,12.23
"12670",41.6,-7.2,8.16
"12671",41.6,-7,15.86
"12672",41.6,-6.8,13.94
"12673",41.6,-6.6,13.8
"12674",41.6,-6.4,17.2
"12675",41.6,-6.2,11.95
"12676",41.4,-8.8,55.3
"12677",41.4,-8.6,50.94
"12678",41.4,-8.4,40.92
"12679",41.4,-8.2,49.34
"12680",41.4,-8,37.02
"12681",41.4,-7.8,32
"12682",41.4,-7.6,29.11
"12683",41.4,-7.4,12.62
"12684",41.4,-7.2,6.28
"12685",41.4,-7,9.39
"12686",41.4,-6.8,11.19
"12687",41.4,-6.6,14.88
"12688",41.4,-6.4,13.28
"12689",41.2,-8.6,55.5
"12690",41.2,-8.4,30.2
"12691",41.2,-8.2,35.23
"12692",41.2,-8,38.31
"12693",41.2,-7.8,27.77
"12694",41.2,-7.6,18.83
"12695",41.2,-7.4,16.31
"12696",41.2,-7.2,10.81
"12697",41.2,-7,5.55
"12698",41.2,-6.8,8.73
"12699",41,-8.6,76.41
"12700",41,-8.4,56.94
"12701",41,-8.2,49.94
"12702",41,-8,53.47
"12703",41,-7.8,43.23
"12704",41,-7.6,17.22
"12705",41,-7.4,9.91
"12706",41,-7.2,5.92
"12707",41,-7,3.23
"12708",40.8,-8.6,77.83
"12709",40.8,-8.4,60.05
"12710",40.8,-8.2,57.34
"12711",40.8,-8,51.2
"12712",40.8,-7.8,36.73
"12713",40.8,-7.6,22.34
"12714",40.8,-7.4,7.53
"12715",40.8,-7.2,4.8
"12716",40.8,-7,3.64
"12717",40.8,-6.8,2.81
"12718",40.6,-8.8,61.98
"12719",40.6,-8.6,54.92
"12720",40.6,-8.4,49.14
"12721",40.6,-8.2,53.31
"12722",40.6,-8,37.56
"12723",40.6,-7.8,30.44
"12724",40.6,-7.6,27.94
"12725",40.6,-7.4,17.11
"12726",40.6,-7.2,8.97
"12727",40.6,-7,3.73
"12728",40.6,-6.8,2.38
"12729",40.4,-8.8,51.36
"12730",40.4,-8.6,40.25
"12731",40.4,-8.4,41.47
"12732",40.4,-8.2,40.45
"12733",40.4,-8,34.39
"12734",40.4,-7.8,27.28
"12735",40.4,-7.6,40.66
"12736",40.4,-7.4,31.22
"12737",40.4,-7.2,11.67
"12738",40.4,-7,4.03
"12739",40.4,-6.8,1.8
"12740",40.2,-8.8,26.02
"12741",40.2,-8.6,19.11
"12742",40.2,-8.4,30.8
"12743",40.2,-8.2,44.83
"12744",40.2,-8,44.95
"12745",40.2,-7.8,42.48
"12746",40.2,-7.6,37.16
"12747",40.2,-7.4,24.86
"12748",40.2,-7.2,10.75
"12749",40.2,-7,3.27
"12750",40,-8.8,18.22
"12751",40,-8.6,25.8
"12752",40,-8.4,46.31
"12753",40,-8.2,47.53
"12754",40,-8,52.25
"12755",40,-7.8,54.64
"12756",40,-7.6,35.31
"12757",40,-7.4,17.61
"12758",40,-7.2,5.12
"12759",40,-7,4.27
"12760",39.8,-9,27.52
"12761",39.8,-8.8,25.45
"12762",39.8,-8.6,29.88
"12763",39.8,-8.4,49.27
"12764",39.8,-8.2,47.06
"12765",39.8,-8,45.5
"12766",39.8,-7.8,41.33
"12767",39.8,-7.6,27.47
"12768",39.8,-7.4,12.56
"12769",39.8,-7.2,4.67
"12770",39.8,-7,4.2
"12771",39.6,-9,34.17
"12772",39.6,-8.8,36.05
"12773",39.6,-8.6,37.77
"12774",39.6,-8.4,47.11
"12775",39.6,-8.2,42.41
"12776",39.6,-8,33.25
"12777",39.6,-7.8,27.59
"12778",39.6,-7.6,18.3
"12779",39.6,-7.4,7.61
"12780",39.4,-9.4,45.52
"12781",39.4,-9.2,31.5
"12782",39.4,-9,31.53
"12783",39.4,-8.8,36.3
"12784",39.4,-8.6,36.44
"12785",39.4,-8.4,40.31
"12786",39.4,-8.2,39.84
"12787",39.4,-8,30.75
"12788",39.4,-7.8,23.89
"12789",39.4,-7.6,18.64
"12790",39.4,-7.4,14.08
"12791",39.2,-9.4,46.06
"12792",39.2,-9.2,37.52
"12793",39.2,-9,32.3
"12794",39.2,-8.8,29.31
"12795",39.2,-8.6,38.38
"12796",39.2,-8.4,36.73
"12797",39.2,-8.2,33.69
"12798",39.2,-8,26.5
"12799",39.2,-7.8,20.8
"12800",39.2,-7.6,23.75
"12801",39.2,-7.4,18.39
"12802",39.2,-7.2,16.97
"12803",39,-9.4,47.06
"12804",39,-9.2,55.73
"12805",39,-9,36.52
"12806",39,-8.8,30.33
"12807",39,-8.6,29.2
"12808",39,-8.4,31.31
"12809",39,-8.2,23.31
"12810",39,-8,19.2
