dcpLatitude	dcpLongitude	dcpName	rcaNDischarged54	rcaNIncoming54	rcaPDischarged54	rcaPIncoming54	rcaPlants54	rcaPlantsCapacity54	ReportNetEnvelopeFileId	dcpWaterBodyType	TypeDescript	TypeOfReceivingArea	ReceivingAreaDescrp	repCode	rcaCode	rcaMethod54
54.8049	9.446058	Flensburg	77571	438290	5710	70876	8968	150792745	28148	CW	discharge into coastal water	A54	Art. 5(4) area	DE_UWWT_2016	DE	C
45.90085	8.42194	OMEGNA_ACQUE_CUSIO	23300	71125	2573	9487	7265	29891054	28830	CW	discharge into coastal water	SA	Sensitive area	IT006	ITCM99CSAQ15001	E
49.49984757	3.44653273	Rejet ANIZY LE CHATEAU	13784	55474	1009	6458	2003	24400323	28443	FW	discharge into freshwater	SA	Sensitive area	FR2016	FR_SA_CM_03207	M
#N/A	#N/A	#N/A	13784	55474	1009	6458	2003	24400323	28443	FW	discharge into freshwater	SA	Sensitive area	FR2016	FR_SA_RI_03207	M
47.53094683	16.66882917	DP_Nikitsch	9604	49493	741	7734	1883	22036446	28202	#N/A	#N/A	#N/A	#N/A	AT_UWWTD_2017_1	AT_RA_1_CM	M
53.0124	6.95683333	DISCHARGE POINT  UWWTP STADSKANAAL	14401	92967	1769	13401	327	21796072	27916	FW	discharge into freshwater	A58	Art. 5(8) area (entire Member State)	NL2018	NL2014	M
47.310736	21.096703	A-1.-csatorna [1.660 fkm] - Kibocsatasi Pont	9360	150362	1065	26873	781	12859978	28721	FW	discharge into freshwater	NA	Normal area	HU-91271CQ-2018k	HUCA2007	M
45.9236	12.7177	SCARICO_FIUME_VENETO_VIA_TAVELLA	5554	23110	643	2873	1249	9604273	28830	CW	discharge into coastal water	SA	Sensitive area	IT006	ITCM99CSA10000004	C
#N/A	#N/A	#N/A	5554	23110	643	2873	1249	9604273	28830	CW	discharge into coastal water	SA	Sensitive area	IT006	ITCA99SA10000002	C
#N/A	#N/A	#N/A	4977	20968	549	2406	2270	8800563	28830	CW	discharge into coastal water	SA	Sensitive area	IT006	ITCA99Q15SA001	E
