"Muni_ID","ID","Muni","AtmN","BNF","SludgeN","FertN","Gross_manureN","total_Ninputs"
1601,"1111601","Arcos de Valdevez",3.91,2.61,0,10.34,36.92,53.78
1602,"1111602","Caminha",6.44,2.45,0,0,47.94,56.83
1603,"1111603","Melgaço",5.95,2.6,0,0,10.19,18.74
1604,"1111604","Monção",6.02,2.12,0,12.33,46.82,67.29
1605,"1111605","Paredes de Coura",5.88,2.58,0,14.42,93.12,116
1606,"1111606","Ponte da Barca",5.43,2.38,0,5.24,78.17,91.22
1607,"1111607","Ponte de Lima",6.28,1.46,0,12.02,98.44,118.2
1608,"1111608","Valença",6.31,1.85,0,0.91,54.83,63.9
1609,"1111609","Viana do Castelo",5.44,1.72,0,9.6,81.98,98.74
1610,"1111610","Vila Nova de Cerveira",6.39,2.09,0.01,6.4,64.28,79.17
301,"1120301","Amares",5.18,0.75,0,5.51,236.79,248.23
302,"1120302","Barcelos",6.2,0.13,0,3.6,361.81,371.74
303,"1120303","Braga",5.09,0.29,0.01,85.63,181.2,272.22
306,"1120306","Esposende",5.94,0.14,0.01,65.48,258.22,329.79
310,"1120310","Terras de Bouro",5.65,2.7,0,24.74,28.15,61.24
313,"1120313","Vila Verde",5.47,1.46,0,26.82,119.03,152.78
307,"1130307","Fafe",6,1.76,0,71.68,210.58,290.02
308,"1130308","Guimarães",6.66,0.37,0.01,87.8,164.33,259.17
309,"1130309","Póvoa de Lanhoso",4.81,1,0,36.15,116.59,158.55
1314,"1131314","Santo Tirso",6.27,0.41,0,38.18,137.57,182.43
1318,"1131318","Trofa",3.4,0.13,0,13.38,420.59,437.5
311,"1130311","Vieira do Minho",3.34,2.51,0,0.65,46.58,53.08
312,"1130312","Vila Nova de Famalicão",3.68,0.24,0.02,5.65,283.46,293.05
314,"1130314","Vizela",4.4,0.27,0,187.04,70.64,262.35
107,"1140107","Espinho",3.15,0.65,0,91.86,339.1,434.76
1304,"1141304","Gondomar",3.31,0.37,0,114.84,74.66,193.18
1306,"1141306","Maia",3.45,0.16,0,27.45,269.73,300.79
1308,"1141308","Matosinhos",3.58,0.28,0,20.16,309.35,333.37
1312,"1141312","Porto",3.15,1,0,189.38,59.82,253.35
1313,"1141313","Póvoa de Varzim",3.78,0.07,0,76.03,450.93,530.81
1315,"1141315","Valongo",3.95,0.12,0,11.32,1048.4,1063.79
1316,"1141316","Vila do Conde",3.73,0.02,0,5.47,484.28,493.5
1317,"1141317","Vila Nova de Gaia",3.43,0.78,0,151.13,69.55,224.89
1301,"1151301","Amarante",3.38,1.71,0,50.06,24.18,79.33
1302,"1151302","Baião",6.67,1.82,0,16.88,30.4,55.77
304,"1150304","Cabeceiras de Basto",6.09,2.16,0,12.56,65.2,86.01
106,"1150106","Castelo de Paiva",6.93,0.93,0,79.15,74.98,161.99
305,"1150305","Celorico de Basto",5.08,0.84,0,93.14,77.21,176.27
1804,"1151804","Cinfães",5.41,1.86,0,41.76,55.23,104.26
1303,"1151303","Felgueiras",5.7,0.24,0,3.07,110.33,119.34
1305,"1151305","Lousada",6.45,0.2,0,131.99,74.08,212.72
1307,"1151307","Marco de Canaveses",7.05,1.22,0,75.87,38.95,123.09
1705,"1151705","Mondim de Basto",6.9,2.34,0,23.37,24.18,56.79
1309,"1151309","Paços de Ferreira",5.5,0.55,0.01,60.37,149.45,215.88
1310,"1151310","Paredes",5.82,0.3,0,70.91,87.48,164.51
1311,"1151311","Penafiel",6.62,0.21,0,106.83,64.52,178.18
1813,"1151813","Resende",6.42,0.87,0,3.64,25.18,36.11
1709,"1151709","Ribeira de Pena",6.84,2.34,0,14.9,33.62,57.7
104,"1160104","Arouca",3.53,1.78,0,10.38,106.3,121.99
113,"1160113","Oliveira de Azeméis",3.78,0.15,0,2.81,382.96,389.7
109,"1160109","Santa Maria da Feira",3.23,0.53,0,1.6,178.3,183.66
116,"1160116","São João da Madeira",0,0,0,0,0,0
119,"1160119","Vale de Cambra",3.58,1.85,0,0,96.19,101.62
1701,"1171701","Alijó",3.69,0.24,0,16.13,7.78,27.84
1801,"1171801","Armamar",3.54,0.04,0,21.71,4.21,29.5
403,"1170403","Carrazeda de Ansiães",3.6,0.27,0,13.58,11.33,28.78
404,"1170404","Freixo de Espada à Cinta",3.52,0.5,0,78.86,7.78,90.66
1805,"1171805","Lamego",3.41,0.65,0,2.35,10.39,16.8
1704,"1171704","Mesão Frio",3.65,0.01,0,57.48,2.53,63.67
1807,"1171807","Moimenta da Beira",3.94,0.63,0,1.01,70.72,76.3
1812,"1171812","Penedono",3.52,0.67,0,95.17,22.02,121.38
1708,"1171708","Peso da Régua",3.83,0.04,0,16.78,4.09,24.74
1710,"1171710","Sabrosa",3.86,0.69,0,0.6,60.24,65.39
1711,"1171711","Santa Marta de Penaguião",3.79,0.35,0,17.2,3.56,24.9
1815,"1171815","São João da Pesqueira",4.3,0.15,0,54.09,2.68,61.22
1818,"1171818","Sernancelhe",3.82,1.1,0,2.69,48.14,55.75
1819,"1171819","Tabuaço",4.22,0.2,0,31.54,6.38,42.34
1820,"1171820","Tarouca",4.87,0.39,0,0.22,79.85,85.33
409,"1170409","Torre de Moncorvo",4.94,0.51,0,52.75,17.98,76.18
410,"1170410","Vila Flor",3.95,0.3,0,59.28,8.38,71.91
914,"1170914","Vila Nova de Foz Côa",4.65,0.23,0,88.51,4.05,97.44
1714,"1171714","Vila Real",5.42,1.63,0,0.76,42.36,50.17
401,"1180401","Alfândega da Fé",6.2,0.38,0,98.88,8.91,114.37
1702,"1181702","Boticas",5.87,2.23,0,0,31.72,39.82
402,"1180402","Bragança",4.66,0.75,0,44.42,19.43,69.26
1703,"1181703","Chaves",4.62,0.75,0,0.85,56.39,62.61
405,"1180405","Macedo de Cavaleiros",5.29,0.55,0,12.78,25.95,44.57
406,"1180406","Miranda do Douro",4.26,1.04,0,0,27.66,32.96
407,"1180407","Mirandela",5.76,0.28,0,23.83,20.63,50.5
408,"1180408","Mogadouro",5.51,0.7,0,12.88,27.53,46.62
1706,"1181706","Montalegre",4.52,2.47,0,0.01,18.17,25.17
1707,"1181707","Murça",4.37,0.41,0,17.96,13.51,36.25
1712,"1181712","Valpaços",5.93,0.34,0,52.1,15.74,74.11
1713,"1181713","Vila Pouca de Aguiar",5.64,2.03,0,1,51.28,59.95
411,"1180411","Vimioso",5.75,0.88,0,17.63,18.07,42.33
412,"1180412","Vinhais",4.97,0.8,0,64.38,25.59,95.74
101,"1610101","Águeda",5.73,0.44,0,3,235.83,245
102,"1610102","Albergaria-a-Velha",3.8,0.5,0,1.59,338.39,344.28
103,"1610103","Anadia",4.36,0.4,0,8.64,83.62,97.02
105,"1610105","Aveiro",3.88,0.86,0.01,174.51,82.94,262.2
108,"1610108","Estarreja",3.99,0.64,0,38.13,225.86,268.62
110,"1610110","Ílhavo",3.95,0.16,0.02,19.13,271.53,294.79
111,"1610111","Mealhada",4.69,0.2,0,6.21,182.84,193.94
112,"1610112","Murtosa",4.7,0.27,0,62.47,285.5,352.94
114,"1610114","Oliveira do Bairro",3.76,0.35,0,26.1,82.41,112.62
115,"1610115","Ovar",3.52,0.12,0,7.17,410.91,421.72
117,"1610117","Sever do Vouga",3.93,1.42,0,1.92,676.05,683.32
118,"1610118","Vagos",3.64,0.45,0,37.61,152.03,193.73
602,"1620602","Cantanhede",4.94,0.56,0,21.97,126.6,154.07
603,"1620603","Coimbra",4.1,0.55,0.01,157.44,36.46,198.56
604,"1620604","Condeixa-a-Nova",3.75,1.42,0,59.26,30.91,95.34
605,"1620605","Figueira da Foz",3.33,0.48,0,19,103.22,126.03
608,"1620608","Mira",3.09,0.39,0,35.58,292.56,331.62
610,"1620610","Montemor-o-Velho",2.85,0.47,0,139.24,107.29,249.85
613,"1620613","Penacova",3.14,1.67,0,3.25,76.24,84.3
615,"1620615","Soure",3.2,0.79,0,9.66,229.76,243.41
1004,"1631004","Batalha",3.16,0.96,0,12.93,247.31,264.36
1009,"1631009","Leiria",2.49,0.95,0.01,19.27,639.49,662.21
1010,"1631010","Marinha Grande",3.35,1.12,0,70.81,66.75,142.03
1015,"1631015","Pombal",3.54,2.21,0.01,10.82,222.51,239.09
1016,"1631016","Porto de Mós",2.85,1.91,0,2.46,346.6,353.82
1002,"1641002","Alvaiázere",3.25,1.17,0,0.85,81.67,86.94
1003,"1641003","Ansião",3.22,2.02,0,0.56,107,112.8
601,"1640601","Arganil",3.59,1.42,0,0.86,61.92,67.79
1007,"1641007","Castanheira de Pêra",2.92,0.96,0,0,73.36,77.24
1008,"1641008","Figueiró dos Vinhos",1.98,0.48,0,0,52.22,54.68
606,"1640606","Góis",2.94,1.91,0,1.83,236.58,243.26
607,"1640607","Lousã",3.68,1.51,0,9.08,198.4,212.67
609,"1640609","Miranda do Corvo",3.63,1.04,0,5.46,38.78,48.91
611,"1640611","Oliveira do Hospital",3.6,1.38,0,52.66,342.21,399.85
612,"1640612","Pampilhosa da Serra",3.59,0.4,0,4.55,43.09,51.63
