"Muni_ID","ID","Muni","Crop_offake","Res_burnt","Res_removed","Fodder_offtake","total_Noutputs"
1601,"1111601","Arcos de Valdevez",55525.97,1224.33,159999.67,592413.53,809163.5
1602,"1111602","Caminha",18004.32,177.75,27650.73,51429.22,97262.02
1603,"1111603","Melgaço",12852.52,1132.22,97494.21,132222.46,243701.41
1604,"1111604","Monção",50137.28,2653.19,67478.33,239518.63,359787.43
1605,"1111605","Paredes de Coura",21181.75,150.61,56685.09,256103.84,334121.29
1606,"1111606","Ponte da Barca",25822.38,791.06,36568.79,153446.89,216629.12
1607,"1111607","Ponte de Lima",149405.93,3487.1,96186.54,525419.93,774499.5
1608,"1111608","Valença",36173.55,567.94,32048.31,98564.93,167354.73
1609,"1111609","Viana do Castelo",88605.76,1199.81,69323.88,364970.6,524100.05
1610,"1111610","Vila Nova de Cerveira",13157.81,123.18,15174.55,76406.86,104862.4
301,"1120301","Amares",42649.97,1658.3,23782.14,115368.04,183458.45
302,"1120302","Barcelos",83661.13,2111.09,39827.9,3727375.65,3852975.77
303,"1120303","Braga",101258.02,1549.48,47597.77,526166.11,676571.38
306,"1120306","Esposende",27480.07,241.44,12150.84,468739.39,508611.74
310,"1120310","Terras de Bouro",22519.55,309.72,67675.86,110874.81,201379.94
313,"1120313","Vila Verde",108537.99,1511.48,89201.88,418072.64,617323.99
307,"1130307","Fafe",72301.27,1051.3,63026.11,183658.98,320037.66
308,"1130308","Guimarães",107315.93,2314.17,49575.86,407176.75,566382.71
309,"1130309","Póvoa de Lanhoso",45179.23,878.97,28625.59,164585.92,239269.71
1314,"1131314","Santo Tirso",43433.48,1134.49,23945.73,255606.28,324119.98
1318,"1131318","Trofa",15181.66,200.3,8002.75,512267.05,535651.76
311,"1130311","Vieira do Minho",29172.07,490.72,50433.12,227209.97,307305.88
312,"1130312","Vila Nova de Famalicão",66334.33,1694.2,31523.29,1355231.07,1454782.89
314,"1130314","Vizela",14478.32,309.24,6095.16,22161.92,43044.64
107,"1140107","Espinho",2026.35,13.42,868.54,22519.61,25427.92
1304,"1141304","Gondomar",30932.83,486.92,14014.1,57665.51,103099.36
1306,"1141306","Maia",18933.27,188.63,10057.36,435616.67,464795.93
1308,"1141308","Matosinhos",7819.56,55.01,6242.8,349708.66,363826.03
1312,"1141312","Porto",524.6,6.47,558.72,1768.38,2858.17
1313,"1141313","Póvoa de Varzim",13740.83,113.32,4471.1,1456608.99,1474934.24
1315,"1141315","Valongo",21890.74,292.51,9704.27,103130.38,135017.9
1316,"1141316","Vila do Conde",18031.51,234.35,8090.82,2998181.37,3024538.05
1317,"1141317","Vila Nova de Gaia",28583.09,324.25,12878.83,44056.25,85842.42
1301,"1151301","Amarante",116297.28,3975.66,79193.09,124547.84,324013.87
1302,"1151302","Baião",50424.95,2810.31,44491.91,88240.57,185967.74
304,"1150304","Cabeceiras de Basto",49054.14,1426.16,62896.71,220926.32,334303.33
106,"1150106","Castelo de Paiva",32436.13,1018.01,14981.89,60500.03,108936.06
305,"1150305","Celorico de Basto",80517.86,2441.62,39199.68,163562.92,285722.08
1804,"1151804","Cinfães",55879.83,1210.07,40662.53,197026.66,294779.09
1303,"1151303","Felgueiras",74973,2512.8,31609.83,165419.8,274515.43
1305,"1151305","Lousada",55935.83,1748.43,23442.16,130793.81,211920.23
1307,"1151307","Marco de Canaveses",68080.87,2424.75,33823.06,84931.77,189260.45
1705,"1151705","Mondim de Basto",35320.75,1019.65,41487.77,94213.79,172041.96
1309,"1151309","Paços de Ferreira",23546.26,251.78,12815.5,125247.14,161860.68
1310,"1151310","Paredes",59677.12,1313.23,26399.68,113590.28,200980.31
1311,"1151311","Penafiel",105065.51,2951.57,44820.85,155810.18,308648.11
1813,"1151813","Resende",28750.73,3509.97,17230.41,54716.77,104207.88
1709,"1151709","Ribeira de Pena",35846.91,676.65,54971.35,197384.58,288879.49
104,"1160104","Arouca",49205.25,600.66,44235.83,417223.26,511265
113,"1160113","Oliveira de Azeméis",24329.04,190.65,10955.75,523983.4,559458.84
109,"1160109","Santa Maria da Feira",43406.55,195,19444.66,161128.68,224174.89
116,"1160116","São João da Madeira",0,0,0,0,0
119,"1160119","Vale de Cambra",31254.52,421.64,19894.35,101909.38,153479.89
1701,"1171701","Alijó",20685.85,13983.26,5679.98,49109.46,89458.55
1801,"1171801","Armamar",12944.24,10367.05,949.84,7234.79,31495.92
403,"1170403","Carrazeda de Ansiães",22585.19,9652.59,8172.19,61852.86,102262.83
404,"1170404","Freixo de Espada à Cinta",27418.4,9896.39,9671.68,54910.09,101896.56
1805,"1171805","Lamego",12061.62,8265.8,9138.04,35063.31,64528.77
1704,"1171704","Mesão Frio",4357.66,2075.47,18.67,184.33,6636.13
1807,"1171807","Moimenta da Beira",14867.81,4468.1,10726.46,193989.86,224052.23
1812,"1171812","Penedono",14114.63,6228.78,8525.93,52780.57,81649.91
1708,"1171708","Peso da Régua",9173,7756.25,320.67,6436.64,23686.56
1710,"1171710","Sabrosa",10658.4,6424.95,8859.78,42437.28,68380.41
1711,"1171711","Santa Marta de Penaguião",6928.69,5875.9,2717.32,4947.8,20469.71
1815,"1171815","São João da Pesqueira",36930.58,21639.22,6055.42,29280.74,93905.96
1818,"1171818","Sernancelhe",18625.9,5558.48,17271.44,83641.79,125097.61
1819,"1171819","Tabuaço",12184.23,5985.79,3327.41,17146.94,38644.37
1820,"1171820","Tarouca",6317.41,2866.28,3237.5,54490.44,66911.63
409,"1170409","Torre de Moncorvo",68889.59,23226.1,20438.03,133756.03,246309.75
410,"1170410","Vila Flor",25952.67,10291.26,8079.1,71680.95,116003.98
914,"1170914","Vila Nova de Foz Côa",49833.11,22563.1,7076.47,54492.83,133965.51
1714,"1171714","Vila Real",24397.28,6269.6,47305.06,258907.96,336879.9
401,"1180401","Alfândega da Fé",47661.33,15748.77,15710.96,100261.8,179382.86
1702,"1181702","Boticas",54994.25,1091.47,96874.25,258353.01,411312.98
402,"1180402","Bragança",121896.42,29284.06,116792.32,624482.25,892455.05
1703,"1181703","Chaves",190650.96,11448.84,136956.56,589201.05,928257.41
405,"1180405","Macedo de Cavaleiros",61044.56,14714.26,50602.84,366410.56,492772.22
406,"1180406","Miranda do Douro",56372.13,4750.56,76521.72,520897.24,658541.65
407,"1180407","Mirandela",79299.92,19018.05,28855.18,225354.69,352527.84
408,"1180408","Mogadouro",85076.92,17819.12,58460.68,815060.72,976417.44
