"Muni_ID","ID","Muni","Crop_offake","Res_burnt","Res_removed","Fodder_offtake","total_Noutputs"
1711,"1171711","Santa Marta de Penaguião",1.93,1.64,0.76,1.38,5.71
1815,"1171815","São João da Pesqueira",2.82,1.65,0.46,2.23,7.16
1818,"1171818","Sernancelhe",3.67,1.09,3.4,16.47,24.63
1819,"1171819","Tabuaço",2.98,1.46,0.81,4.19,9.44
1820,"1171820","Tarouca",3.35,1.52,1.72,28.94,35.53
409,"1170409","Torre de Moncorvo",4.81,1.62,1.43,9.35,17.21
410,"1170410","Vila Flor",2.8,1.11,0.87,7.74,12.52
914,"1170914","Vila Nova de Foz Côa",3.93,1.78,0.56,4.29,10.56
1714,"1171714","Vila Real",2.31,0.59,4.47,24.48,31.85
401,"1180401","Alfândega da Fé",4.05,1.34,1.34,8.52,15.25
1702,"1181702","Boticas",3.97,0.08,7,18.66,29.71
402,"1180402","Bragança",3.38,0.81,3.24,17.33,24.76
1703,"1181703","Chaves",9.79,0.59,7.03,30.25,47.66
405,"1180405","Macedo de Cavaleiros",2.8,0.67,2.32,16.81,22.6
406,"1180406","Miranda do Douro",2.58,0.22,3.51,23.88,30.19
407,"1180407","Mirandela",3.19,0.77,1.16,9.07,14.19
408,"1180408","Mogadouro",2.59,0.54,1.78,24.85,29.76
1706,"1181706","Montalegre",1.89,0.03,6.4,15.64,23.96
1707,"1181707","Murça",3.12,1.42,1.13,9.78,15.45
1712,"1181712","Valpaços",5.23,1.57,2.14,11.03,19.97
1713,"1181713","Vila Pouca de Aguiar",3.2,0.23,6.32,38.51,48.26
411,"1180411","Vimioso",2.77,0.48,2.83,16.31,22.39
412,"1180412","Vinhais",4.72,1.24,3.76,20.33,30.05
101,"1610101","Águeda",60.42,1.77,26.04,106.05,194.28
102,"1610102","Albergaria-a-Velha",57.79,0.21,24.51,124.56,207.07
103,"1610103","Anadia",22.02,1.09,8.93,19.13,51.17
105,"1610105","Aveiro",55.66,0.21,23.71,70.7,150.28
108,"1610108","Estarreja",28.25,0.63,13.22,224.58,266.68
110,"1610110","Ílhavo",67.33,0.22,28.4,60.8,156.75
111,"1610111","Mealhada",25.95,1.11,10.17,49.97,87.2
112,"1610112","Murtosa",28.74,0.09,12.09,286.95,327.87
114,"1610114","Oliveira do Bairro",37.07,2.39,16.67,59.92,116.05
115,"1610115","Ovar",26.4,0.09,10.97,308.2,345.66
117,"1610117","Sever do Vouga",64.66,0.38,32.81,74.89,172.74
118,"1610118","Vagos",40.22,0.15,16.96,119.09,176.42
602,"1620602","Cantanhede",22.76,0.83,8.98,92.97,125.54
603,"1620603","Coimbra",67.35,2.71,28.5,19.58,118.14
604,"1620604","Condeixa-a-Nova",27.58,0.93,12.71,23.33,64.55
605,"1620605","Figueira da Foz",49.92,13.13,28.48,74.14,165.67
608,"1620608","Mira",28,0.19,11.93,154.1,194.22
610,"1620610","Montemor-o-Velho",65.59,5.14,30.36,101.28,202.37
613,"1620613","Penacova",35.56,0.53,15.73,40.12,91.94
615,"1620615","Soure",54.4,6.53,26.29,19.72,106.94
1004,"1631004","Batalha",18.67,1.09,7.16,23.62,50.54
1009,"1631009","Leiria",38.13,0.82,16.17,65.89,121.01
1010,"1631010","Marinha Grande",47.13,0.57,19.96,34.14,101.8
1015,"1631015","Pombal",42.54,1.72,18.86,54.95,118.07
1016,"1631016","Porto de Mós",4.91,0.62,5.05,88.07,98.65
1002,"1641002","Alvaiázere",7.56,0.57,2.65,27.87,38.65
1003,"1641003","Ansião",11.78,0.55,6.38,27.96,46.67
601,"1640601","Arganil",21.38,0.28,13.11,25.73,60.5
1007,"1641007","Castanheira de Pêra",10.98,0.67,4.91,39.23,55.79
