"Muni_ID","ID","Muni","AtmN","BNF","SludgeN","FertN","Gross_manureN","total_Ninputs"
1601,"1111601","Arcos de Valdevez",72248.98,48157,0,191102.03,682129.049,993637.059
1602,"1111602","Caminha",21200.48,8061,8.63,0,157807.6836,187077.7936
1603,"1111603","Melgaço",94069.5,41094.9,2.05,0,161139.77,296306.22
1604,"1111604","Monção",40942.02,14411.7,4.27,83829.76,318428.4578,457616.2078
1605,"1111605","Paredes de Coura",23220.12,10188.1,2.28,56931.02,367746.0636,458087.5836
1606,"1111606","Ponte da Barca",20796.9,9131,2.73,20059.92,299383.3,349373.85
1607,"1111607","Ponte de Lima",55527.76,12914.7,4.17,106272.66,870409.1988,1045128.4888
1608,"1111608","Valença",17409.29,5091.3,3.94,2514.29,151280.9996,176299.8196
1609,"1111609","Viana do Castelo",38477.12,12157.6,21.23,67890.12,579869.8236,698415.8936
1610,"1111610","Vila Nova de Cerveira",8773.47,2863.2,7.32,8790.59,88260.6948,108695.2748
301,"1120301","Amares",9987.04,1446.8,0,10615.9,456524.5488,478574.2888
302,"1120302","Barcelos",68107,1404.3,37.17,39530.26,3974498.0668,4083576.7968
303,"1120303","Braga",18777.01,1052.3,22.67,315890.85,668460.1548,1004202.9848
306,"1120306","Esposende",12509.64,286.5,11.63,137898.06,543807.4446,694513.2746
310,"1120310","Terras de Bouro",38340.9,18323.2,0.74,167884.72,191038.64,415588.2
313,"1120313","Vila Verde",27918.88,7462.5,0.55,136893.23,607550.5732,779825.7332
307,"1130307","Fafe",18150,5332.8,4.48,216838.48,637008.534,877334.294
308,"1130308","Guimarães",28624.68,1569.1,40.3,377355.99,706295.1558,1113885.2258
309,"1130309","Póvoa de Lanhoso",9778.73,2033.2,0.34,73489.79,237025.4762,322327.5362
1314,"1131314","Santo Tirso",13630.98,882.9,6.49633191828071,83001.9,299074.5448,396596.821131918
1318,"1131318","Trofa",5443.4,200.3,4.78409724064739,21418.05,673366.3046,700432.838697241
311,"1130311","Vieira do Minho",19766.12,14831.5,0.06,3868.99,275662.4154,314129.0854
312,"1130312","Vila Nova de Famalicão",19603.36,1284.4,104.29,30093.9,1509993.5126,1561079.4626
314,"1130314","Vizela",1861.2,113.7,0,79118.2,29882.8,110975.9
107,"1140107","Espinho",220.5,45.7,0.209173520827806,6430.14,23736.7832,30433.3323735208
1304,"1141304","Gondomar",4015.03,443.3,3.62467829663041,139302.43,90559.5172,234323.901878297
1306,"1141306","Maia",5930.55,268.9,5.13670403289997,47181.77,463673.418,517059.774704033
1308,"1141308","Matosinhos",4106.26,326.7,3.42745754842133,23125.27,354824.9882,382386.645657548
1312,"1141312","Porto",129.15,41.1,0.122515919342001,7764.41,2452.5,10387.2825159193
1313,"1141313","Póvoa de Varzim",12572.28,226.7,9.93873043247546,252872.6,1499790.031,1765471.54973043
1315,"1141315","Valongo",2595.15,76.1,1.96324290262669,7434.24,688800.0626,698907.515842903
1316,"1141316","Vila do Conde",22730.62,122.3,18.2100490846378,33353.17,2951210.0918,3007434.39184908
1317,"1141317","Vila Nova de Gaia",3234.49,732.4,2.81786614486601,142519.34,65588.1572,212077.205066145
1301,"1151301","Amarante",29568.24,14975.5,5.24,437922.01,211512.1936,693983.1836
1302,"1151302","Baião",32349.5,8841.7,0,81879.02,147461.1996,270531.4196
304,"1150304","Cabeceiras de Basto",34091.82,12115.6,0,70331.91,364974.815,481514.145
106,"1150106","Castelo de Paiva",9327.78,1252.4,0,106530.4,100920.885,218031.465
305,"1150305","Celorico de Basto",16413.48,2700.5,1.33,300933.29,249449.5136,569498.1136
1804,"1151804","Cinfães",24101.55,8270.1,0,186056.43,246071.7696,464499.8496
1303,"1151303","Felgueiras",16609.8,701.7,2.82,8955.23,321497.9802,347767.5302
1305,"1151305","Lousada",15428.4,470.6,1.29,315713.67,177199.1386,508813.0986
1307,"1151307","Marco de Canaveses",22665.75,3929.4,9.58,243924.04,125236.1238,395764.8938
1705,"1151705","Mondim de Basto",36873.6,12478.4,0,124877.46,129200.2698,303429.7298
1309,"1151309","Paços de Ferreira",5659.5,565,9.26,62125.85,153779.987,222139.597
1310,"1151310","Paredes",11610.9,591.1,5.96144534359246,141474.79,174513.427,328196.178445344
1311,"1151311","Penafiel",21733.46,703.8,0,350719.44,211835.3694,584992.0694
1813,"1151813","Resende",21872.94,2956,0.94,12393.07,85777.7252,123000.6752
1709,"1151709","Ribeira de Pena",50171.4,17161.8,0.02,109318.79,246585.729,423237.739
104,"1160104","Arouca",15733.21,7928.8,13.3183768904219,46264.71,473778.2426,543718.28097689
113,"1160113","Oliveira de Azeméis",6059.34,244.5,4.79007362695675,4500.9,613889.6178,624699.147873627
109,"1160109","Santa Maria da Feira",4005.2,657.1,3.70535951180684,1986.6,221097.3382,227749.943559512
116,"1160116","São João da Madeira",0,0,0,0,936,936
119,"1160119","Vale de Cambra",6701.76,3471.9,5.59389758556646,0,180071.4558,190250.709697586
1701,"1171701","Alijó",31837.32,2100.9,0.74,139127.57,67142.2484,240208.7784
1801,"1171801","Armamar",16064.52,175.5,0.75,98509.66,19094.41,133844.84
403,"1170403","Carrazeda de Ansiães",24462,1804.8,0.06,92278.99,76976.4372,195522.2872
404,"1170404","Freixo de Espada à Cinta",25312.32,3568.3,0,567078.81,55977.5598,651936.9898
1805,"1171805","Lamego",18396.95,3531.5,2.54,12662.31,56069.97,90663.27
1704,"1171704","Mesão Frio",3920.1,8.1,0,61728.52,2715.07,68371.79
1807,"1171807","Moimenta da Beira",16654.38,2666.2,2.7,4252.57,298927.8012,322503.6512
1812,"1171812","Penedono",12168.64,2310.1,0,328993.94,76105.9016,419578.5816
1708,"1171708","Peso da Régua",16074.51,166.9,5.97,70416.91,17152.8798,103817.1698
1710,"1171710","Sabrosa",19620.38,3503.6,0.37,3026.46,306221.0206,332371.8306
1711,"1171711","Santa Marta de Penaguião",13575.78,1242,0,61621.98,12765.7794,89205.5394
1815,"1171815","São João da Pesqueira",56351.5,1971,1.32,708794.1,35065.6598,802183.5798
1818,"1171818","Sernancelhe",19394.14,5595.2,0,13657.88,244400.9796,283048.1996
1819,"1171819","Tabuaço",17259.8,827.2,0.55,128979.52,26107.44,173174.51
1820,"1171820","Tarouca",9170.21,738.8,1.75,419.05,150353.6756,160683.4856
409,"1170409","Torre de Moncorvo",70701.28,7368.4,5.21,755006.26,257297.2,1090378.35
410,"1170410","Vila Flor",36604.65,2775.9,0.01,549372.94,77681.6894,666435.1894
914,"1170914","Vila Nova de Foz Côa",59027.1,2919.7,3.47,1123496.69,51402.9296,1236849.8896
1714,"1171714","Vila Real",57321.92,17192.7,12.52,8024.01,448008.0642,530559.2142
401,"1180401","Alfândega da Fé",72918.2,4496,0,1162941.13,104734.1554,1345089.4854
