"Muni_ID","ID","Muni","avg_atmN_muni"
1601,"1111601","Arcos de Valdevez",3.91
1602,"1111602","Caminha",6.44
1603,"1111603","Melgaço",5.95
1604,"1111604","Monção",6.02
1605,"1111605","Paredes de Coura",5.88
1606,"1111606","Ponte da Barca",5.43
1607,"1111607","Ponte de Lima",6.28
1608,"1111608","Valença",6.31
1609,"1111609","Viana do Castelo",5.44
1610,"1111610","Vila Nova de Cerveira",6.39
301,"1120301","Amares",5.18
302,"1120302","Barcelos",6.2
303,"1120303","Braga",5.09
306,"1120306","Esposende",5.94
310,"1120310","Terras de Bouro",5.65
313,"1120313","Vila Verde",5.47
307,"1130307","Fafe",6
308,"1130308","Guimarães",6.66
309,"1130309","Póvoa de Lanhoso",4.81
1314,"1131314","Santo Tirso",6.27
1318,"1131318","Trofa",3.4
311,"1130311","Vieira do Minho",3.34
312,"1130312","Vila Nova de Famalicão",3.68
314,"1130314","Vizela",4.4
107,"1140107","Espinho",3.15
1304,"1141304","Gondomar",3.31
1306,"1141306","Maia",3.45
1308,"1141308","Matosinhos",3.58
1312,"1141312","Porto",3.15
1313,"1141313","Póvoa de Varzim",3.78
1315,"1141315","Valongo",3.95
1316,"1141316","Vila do Conde",3.73
1317,"1141317","Vila Nova de Gaia",3.43
1301,"1151301","Amarante",3.38
1302,"1151302","Baião",6.67
304,"1150304","Cabeceiras de Basto",6.09
106,"1150106","Castelo de Paiva",6.93
305,"1150305","Celorico de Basto",5.08
1804,"1151804","Cinfães",5.41
1303,"1151303","Felgueiras",5.7
1305,"1151305","Lousada",6.45
1307,"1151307","Marco de Canaveses",7.05
1705,"1151705","Mondim de Basto",6.9
1309,"1151309","Paços de Ferreira",5.5
1310,"1151310","Paredes",5.82
1311,"1151311","Penafiel",6.62
1813,"1151813","Resende",6.42
1709,"1151709","Ribeira de Pena",6.84
104,"1160104","Arouca",3.53
113,"1160113","Oliveira de Azeméis",3.78
109,"1160109","Santa Maria da Feira",3.23
116,"1160116","São João da Madeira",3.71
119,"1160119","Vale de Cambra",3.58
1701,"1171701","Alijó",3.69
1801,"1171801","Armamar",3.54
403,"1170403","Carrazeda de Ansiães",3.6
404,"1170404","Freixo de Espada à Cinta",3.52
1805,"1171805","Lamego",3.41
1704,"1171704","Mesão Frio",3.65
1807,"1171807","Moimenta da Beira",3.94
1812,"1171812","Penedono",3.52
1708,"1171708","Peso da Régua",3.83
1710,"1171710","Sabrosa",3.86
1711,"1171711","Santa Marta de Penaguião",3.79
1815,"1171815","São João da Pesqueira",4.3
1818,"1171818","Sernancelhe",3.82
1819,"1171819","Tabuaço",4.22
1820,"1171820","Tarouca",4.87
409,"1170409","Torre de Moncorvo",4.94
410,"1170410","Vila Flor",3.95
914,"1170914","Vila Nova de Foz Côa",4.65
1714,"1171714","Vila Real",5.42
401,"1180401","Alfândega da Fé",6.2
1702,"1181702","Boticas",5.87
402,"1180402","Bragança",4.66
1703,"1181703","Chaves",4.62
405,"1180405","Macedo de Cavaleiros",5.29
406,"1180406","Miranda do Douro",4.26
407,"1180407","Mirandela",5.76
408,"1180408","Mogadouro",5.51
1706,"1181706","Montalegre",4.52
1707,"1181707","Murça",4.37
1712,"1181712","Valpaços",5.93
1713,"1181713","Vila Pouca de Aguiar",5.64
411,"1180411","Vimioso",5.75
412,"1180412","Vinhais",4.97
101,"1610101","Águeda",5.73
102,"1610102","Albergaria-a-Velha",3.8
103,"1610103","Anadia",4.36
105,"1610105","Aveiro",3.88
108,"1610108","Estarreja",3.99
110,"1610110","Ílhavo",3.95
111,"1610111","Mealhada",4.69
112,"1610112","Murtosa",4.7
114,"1610114","Oliveira do Bairro",3.76
115,"1610115","Ovar",3.52
117,"1610117","Sever do Vouga",3.93
118,"1610118","Vagos",3.64
602,"1620602","Cantanhede",4.94
603,"1620603","Coimbra",4.1
604,"1620604","Condeixa-a-Nova",3.75
605,"1620605","Figueira da Foz",3.33
608,"1620608","Mira",3.09
610,"1620610","Montemor-o-Velho",2.85
613,"1620613","Penacova",3.14
615,"1620615","Soure",3.2
1004,"1631004","Batalha",3.16
1009,"1631009","Leiria",2.49
1010,"1631010","Marinha Grande",3.35
1015,"1631015","Pombal",3.54
1016,"1631016","Porto de Mós",2.85
1002,"1641002","Alvaiázere",3.25
1003,"1641003","Ansião",3.22
601,"1640601","Arganil",3.59
1007,"1641007","Castanheira de Pêra",2.92
1008,"1641008","Figueiró dos Vinhos",1.98
606,"1640606","Góis",2.94
607,"1640607","Lousã",3.68
609,"1640609","Miranda do Corvo",3.63
611,"1640611","Oliveira do Hospital",3.6
612,"1640612","Pampilhosa da Serra",3.59
1013,"1641013","Pedrógão Grande",3.8
614,"1640614","Penela",4.06
616,"1640616","Tábua",3.51
617,"1640617","Vila Nova de Poiares",3.83
901,"1650901","Aguiar da Beira",3.47
1802,"1651802","Carregal do Sal",3.29
1803,"1651803","Castro Daire",3.84
1806,"1651806","Mangualde",4.27
1808,"1651808","Mortágua",3.51
1809,"1651809","Nelas",3.42
1810,"1651810","Oliveira de Frades",5.61
1811,"1651811","Penalva do Castelo",5.49
1814,"1651814","Santa Comba Dão",5.89
1816,"1651816","São Pedro do Sul",5.83
1817,"1651817","Sátão",4.77
1821,"1651821","Tondela",4.94
1822,"1651822","Vila Nova de Paiva",5.02
1823,"1651823","Viseu",5.28
1824,"1651824","Vouzela",5.73
1413,"1661413","Mação",5.22
506,"1660506","Oleiros",5.43
508,"1660508","Proença-a-Nova",4.46
509,"1660509","Sertã",5.04
510,"1660510","Vila de Rei",3.54
905,"1670905","Fornos de Algodres",6.07
906,"1670906","Gouveia",5.95
912,"1670912","Seia",5.03
902,"1680902","Almeida",5.16
903,"1680903","Celorico da Beira",5.06
904,"1680904","Figueira de Castelo Rodrigo",4.98
907,"1680907","Guarda",4.84
908,"1680908","Manteigas",5.24
909,"1680909","Mêda",5.5
910,"1680910","Pinhel",4.29
911,"1680911","Sabugal",5.13
913,"1680913","Trancoso",5.2
502,"1690502","Castelo Branco",5.41
505,"1690505","Idanha-a-Nova",5.14
507,"1690507","Penamacor",4.72
511,"1690511","Vila Velha de Ródão",5.2
501,"16A0501","Belmonte",5.54
503,"16A0503","Covilhã",5.63
504,"16A0504","Fundão",4.32
1001,"16B1001","Alcobaça",3.77
1101,"16B1101","Alenquer",4.51
1102,"16B1102","Arruda dos Vinhos",3.46
1005,"16B1005","Bombarral",4.03
1104,"16B1104","Cadaval",4.17
1006,"16B1006","Caldas da Rainha",3.59
1108,"16B1108","Lourinhã",4
1011,"16B1011","Nazaré",4.36
1012,"16B1012","Óbidos",4.06
1014,"16B1014","Peniche",3.81
1112,"16B1112","Sobral de Monte Agraço",4.01
1113,"16B1113","Torres Vedras",4.64
1401,"16C1401","Abrantes",3.97
1402,"16C1402","Alcanena",4.18
1408,"16C1408","Constância",5.38
1410,"16C1410","Entroncamento",5.14
1411,"16C1411","Ferreira do Zêzere",6.4
1421,"16C1421","Ourém",7.66
1417,"16C1417","Sardoal",6.59
1418,"16C1418","Tomar",7.25
1419,"16C1419","Torres Novas",5.9
1420,"16C1420","Vila Nova da Barquinha",6.88
1115,"1711115","Amadora",6.96
1105,"1711105","Cascais",7.41
1106,"1711106","Lisboa",6.72
1107,"1711107","Loures",7.56
1109,"1711109","Mafra",5.45
1116,"1711116","Odivelas",7.04
1110,"1711110","Oeiras",7.79
1111,"1711111","Sintra",5.91
1114,"1711114","Vila Franca de Xira",7.26
1502,"1721502","Alcochete",6.88
1503,"1721503","Almada",4.67
1504,"1721504","Barreiro",5.55
1506,"1721506","Moita",4.76
1507,"1721507","Montijo",4.83
1508,"1721508","Palmela",5.19
1510,"1721510","Seixal",4.96
1511,"1721511","Sesimbra",4.7
1512,"1721512","Setúbal",4.68
1501,"1811501","Alcácer do Sal",4.78
1505,"1811505","Grândola",4.83
211,"1810211","Odemira",5.14
1509,"1811509","Santiago do Cacém",4.76
1513,"1811513","Sines",4.43
1201,"1821201","Alter do Chão",5.14
1202,"1821202","Arronches",4.74
1203,"1821203","Avis",5.23
1204,"1821204","Campo Maior",4.77
1205,"1821205","Castelo de Vide",5.12
1206,"1821206","Crato",5.17
1207,"1821207","Elvas",4.78
1208,"1821208","Fronteira",5.72
1209,"1821209","Gavião",4.55
1210,"1821210","Marvão",5.4
1211,"1821211","Monforte",4.48
707,"1820707","Mora",4.7
1212,"1821212","Nisa",4.76
1213,"1821213","Ponte de Sor",4.95
1214,"1821214","Portalegre",5.2
701,"1830701","Alandroal",5.28
702,"1830702","Arraiolos",4.48
703,"1830703","Borba",4.4
704,"1830704","Estremoz",3.66
705,"1830705","Évora",4.55
706,"1830706","Montemor-o-Novo",4.59
708,"1830708","Mourão",5.71
709,"1830709","Portel",5.98
710,"1830710","Redondo",5.34
711,"1830711","Reguengos de Monsaraz",6.45
1215,"1831215","Sousel",6.41
712,"1830712","Vendas Novas",5.5
713,"1830713","Viana do Alentejo",5.99
714,"1830714","Vila Viçosa",6.85
201,"1840201","Aljustrel",5.85
202,"1840202","Almodôvar",6.36
203,"1840203","Alvito",3.56
204,"1840204","Barrancos",4.14
205,"1840205","Beja",3.93
206,"1840206","Castro Verde",4.69
207,"1840207","Cuba",4.55
208,"1840208","Ferreira do Alentejo",4.49
209,"1840209","Mértola",3.67
210,"1840210","Moura",4.35
212,"1840212","Ourique",4.44
213,"1840213","Serpa",3.88
214,"1840214","Vidigueira",4.46
1403,"1851403","Almeirim",3.74
1404,"1851404","Alpiarça",4.06
1103,"1851103","Azambuja",4.31
1405,"1851405","Benavente",4.08
