"Muni_ID","ID","Muni","TOTAL"
1601,"1111601","Arcos de Valdevez",57199.9
1602,"1111602","Caminha",18014.54
1603,"1111603","Melgaço",17520.28
1604,"1111604","Monção",34300.64
1605,"1111605","Paredes de Coura",68497.82
1606,"1111606","Ponte da Barca",20707.54
1607,"1111607","Ponte de Lima",229298.82
1608,"1111608","Valença",39077.46
1609,"1111609","Viana do Castelo",173308.58
1610,"1111610","Vila Nova de Cerveira",33000.54
301,"1120301","Amares",138761.84
302,"1120302","Barcelos",2231643.54
303,"1120303","Braga",240038.58
306,"1120306","Esposende",288511.36
310,"1120310","Terras de Bouro",11883.42
313,"1120313","Vila Verde",143032.78
307,"1130307","Fafe",41899.1
308,"1130308","Guimarães",185870.38
309,"1130309","Póvoa de Lanhoso",60362.78
1314,"1131314","Santo Tirso",156233.16
1318,"1131318","Trofa",314442.26
311,"1130311","Vieira do Minho",32791
312,"1130312","Vila Nova de Famalicão",936666.4
314,"1130314","Vizela",10900
107,"1140107","Espinho",13939.56
1304,"1141304","Gondomar",28182.42
1306,"1141306","Maia",259496.06
1308,"1141308","Matosinhos",212131.86
1312,"1141312","Porto",764.74
1313,"1141313","Póvoa de Varzim",957090.58
1315,"1141315","Valongo",58695.32
1316,"1141316","Vila do Conde",1859000.24
1317,"1141317","Vila Nova de Gaia",21822.48
1301,"1151301","Amarante",53261.78
1302,"1151302","Baião",27039.52
304,"1150304","Cabeceiras de Basto",40056.2
106,"1150106","Castelo de Paiva",22166.34
305,"1150305","Celorico de Basto",54460.04
1804,"1151804","Cinfães",35022.74
1303,"1151303","Felgueiras",171739.48
1305,"1151305","Lousada",72168.1
1307,"1151307","Marco de Canaveses",25831.38
1705,"1151705","Mondim de Basto",18698.76
1309,"1151309","Paços de Ferreira",63496.68
1310,"1151310","Paredes",62915.52
1311,"1151311","Penafiel",91242.82
1813,"1151813","Resende",18372.66
1709,"1151709","Ribeira de Pena",44479.18
104,"1160104","Arouca",201275.4
113,"1160113","Oliveira de Azeméis",364352.66
109,"1160109","Santa Maria da Feira",132908.98
116,"1160116","São João da Madeira",0
119,"1160119","Vale de Cambra",46864.98
