"Muni_ID","ID","Muni","cereals","citrus","dried_fruits","forage","fresh_fruits","horticulture","industry","olive_grove","pastures","potato","pulses","vineyard","total_municipality"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0,2405.65,0,0,188696.38,0,0,0,191102.03
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",0,0,0,0,0,729.46,0,0,83100.3,0,0,0,83829.76
1605,"1111605","Paredes de Coura",0,0,0,0,0,419.05,0,0,56511.97,0,0,0,56931.02
1606,"1111606","Ponte da Barca",0,0,0,0,0,5028.58,0,0,15031.34,0,0,0,20059.92
1607,"1111607","Ponte de Lima",0,0,0,97581.28,0,8691.38,0,0,0,0,0,0,106272.66
1608,"1111608","Valença",0,0,0,0,0,2514.29,0,0,0,0,0,0,2514.29
1609,"1111609","Viana do Castelo",0,0,0,57444.95,0,10445.17,0,0,0,0,0,0,67890.12
1610,"1111610","Vila Nova de Cerveira",8371.54,0,0,0,0,419.05,0,0,0,0,0,0,8790.59
301,"1120301","Amares",0,0,0,0,0,10615.9,0,0,0,0,0,0,10615.9
302,"1120302","Barcelos",0,0,0,0,0,39530.26,0,0,0,0,0,0,39530.26
303,"1120303","Braga",88986.01,0,0,206914.66,0,19990.18,0,0,0,0,0,0,315890.85
306,"1120306","Esposende",0,0,0,0,0,137898.06,0,0,0,0,0,0,137898.06
310,"1120310","Terras de Bouro",0,0,0,0,0,1257.15,0,0,166627.57,0,0,0,167884.72
313,"1120313","Vila Verde",0,0,0,121574.68,0,15318.55,0,0,0,0,0,0,136893.23
307,"1130307","Fafe",0,0,0,102375.49,0,3243.75,0,0,111219.24,0,0,0,216838.48
308,"1130308","Guimarães",0,0,0,301663.38,0,75692.61,0,0,0,0,0,0,377355.99
309,"1130309","Póvoa de Lanhoso",0,0,0,72232.64,0,1257.15,0,0,0,0,0,0,73489.79
1314,"1131314","Santo Tirso",42332.73,0,0,16721.31,0,23947.86,0,0,0,0,0,0,83001.9
1318,"1131318","Trofa",0,0,0,0,0,21418.05,0,0,0,0,0,0,21418.05
311,"1130311","Vieira do Minho",0,0,0,3139.53,0,729.46,0,0,0,0,0,0,3868.99
312,"1130312","Vila Nova de Famalicão",0,0,0,0,0,30093.9,0,0,0,0,0,0,30093.9
314,"1130314","Vizela",48785.68,0,0,25940.27,0,4392.25,0,0,0,0,0,0,79118.2
107,"1140107","Espinho",4862.58,0,0,0,0,1567.56,0,0,0,0,0,0,6430.14
1304,"1141304","Gondomar",52168.95,0,0,9190.43,0,77943.05,0,0,0,0,0,0,139302.43
1306,"1141306","Maia",0,0,0,0,0,47181.77,0,0,0,0,0,0,47181.77
1308,"1141308","Matosinhos",0,0,0,0,0,23125.27,0,0,0,0,0,0,23125.27
1312,"1141312","Porto",1121.96,0,0,5693.94,0,838.1,0,0,110.41,0,0,0,7764.41
1313,"1141313","Póvoa de Varzim",0,0,0,0,0,252872.6,0,0,0,0,0,0,252872.6
1315,"1141315","Valongo",0,0,0,0,0,7434.24,0,0,0,0,0,0,7434.24
1316,"1141316","Vila do Conde",0,0,0,0,0,33353.17,0,0,0,0,0,0,33353.17
1317,"1141317","Vila Nova de Gaia",67511.04,0,0,11949.23,0,63059.07,0,0,0,0,0,0,142519.34
1301,"1151301","Amarante",286056.16,0,0,142895.11,0,8970.74,0,0,0,0,0,0,437922.01
1302,"1151302","Baião",35816.87,0,0,13312.79,0,3538.63,0,0,29210.73,0,0,0,81879.02
304,"1150304","Cabeceiras de Basto",0,0,0,14058.95,0,419.05,0,0,55853.91,0,0,0,70331.91
106,"1150106","Castelo de Paiva",33983.2,0,0,71709.1,0,838.1,0,0,0,0,0,0,106530.4
305,"1150305","Celorico de Basto",143041.96,0,0,157472.28,0,419.05,0,0,0,0,0,0,300933.29
1804,"1151804","Cinfães",116195.77,0,0,68603.51,0,1257.15,0,0,0,0,0,0,186056.43
1303,"1151303","Felgueiras",0,0,0,0,0,8955.23,0,0,0,0,0,0,8955.23
1305,"1151305","Lousada",138052.48,0,0,174215.68,0,3445.51,0,0,0,0,0,0,315713.67
1307,"1151307","Marco de Canaveses",176501.53,0,0,61090.22,0,6332.29,0,0,0,0,0,0,243924.04
