EMEP50_i,EMEP50_j,LON,LAT,Unit,1990,1999,2009
50,11,-9.011282,41.3196487,mg N/m2,145.4,83.83,109.18
50,12,-8.8014107,41.6882591,mg N/m3,353.1,164.47,296.75
50,13,-8.587883,42.0573502,mg N/m4,407.6,293.14,363.05
51,6,-9.5367889,39.335537,mg N/m5,120,59.69,72.45
51,8,-9.1412392,40.064476,mg N/m6,112.5,76.96,76.43
51,9,-8.9384804,40.4297714,mg N/m7,175,101.67,143.78
51,10,-8.7322922,40.7955894,mg N/m8,238.8,120.06,264.7
51,11,-8.5225983,41.1619034,mg N/m9,477.4,245.97,354.13
51,12,-8.3093109,41.5286942,mg N/m10,420.9,299.53,369.75
51,13,-8.0923386,41.8959465,mg N/m11,274.6,337.04,224.08
52,4,-9.4569378,38.460434,mg N/m12,129,79.2,68.82
52,5,-9.2639961,38.8217697,mg N/m13,355.5,150.68,206.33
52,6,-9.0679016,39.1836853,mg N/m14,372.9,190.1,251.1
52,7,-8.868578,39.5461655,mg N/m15,392.6,208.02,288.95
52,8,-8.6659603,39.9091797,mg N/m16,401.7,243.95,284.18
52,9,-8.4599628,40.2727089,mg N/m17,392.8,246.58,283.47
52,10,-8.2505054,40.6367455,mg N/m18,438.1,271.55,378.44
52,11,-8.0375118,41.0012474,mg N/m19,275.5,300.64,231.11
52,12,-7.8208942,41.3661957,mg N/m20,249.6,325.34,202.79
52,13,-7.600565,41.7315712,mg N/m21,232.2,333.3,195.9
52,14,-7.3764343,42.0973549,mg N/m22,292.5,287.89,279.93
53,4,-8.9974022,38.3092117,mg N/m23,163.3,104.42,98.92
53,5,-8.8014088,38.6688652,mg N/m24,524.4,312.25,245.07
53,6,-8.6022377,39.0290756,mg N/m25,349.6,258.58,225.88
53,7,-8.3998089,39.3898239,mg N/m26,296.7,298.78,211.61
53,8,-8.1940575,39.7510796,mg N/m27,294.8,302.76,218.73
53,9,-7.9848976,40.1128273,mg N/m28,220.7,327.39,172.11
53,10,-7.772253,40.4750481,mg N/m29,261.9,309.39,203.39
53,11,-7.5560436,40.8377151,mg N/m30,239.7,314.92,178.63
53,12,-7.3361855,41.2008018,mg N/m31,206.7,314.45,147.34
53,13,-7.112587,41.5642967,mg N/m32,241.9,278.25,175.95
53,14,-6.8851662,41.9281578,mg N/m33,258.9,319.99,213.24
54,1,-9.1193619,37.0848541,mg N/m34,146.1,0,58.24
54,2,-8.9295864,37.4410934,mg N/m35,157.9,100.08,96.77
54,3,-8.7368145,37.7979202,mg N/m36,273.1,235.94,176.4
54,4,-8.5409737,38.155323,mg N/m37,392.8,236.6,230.82
54,5,-8.3420029,38.5132675,mg N/m38,360.4,241.18,229
54,6,-8.1398258,38.8717461,mg N/m39,371,264.02,260.89
54,7,-7.9343662,39.2307434,mg N/m40,319.4,267.05,235.59
54,8,-7.7255573,39.5902176,mg N/m41,257.4,276.87,182.61
54,9,-7.5133171,39.950161,mg N/m42,253,285.73,172.55
54,10,-7.2975674,40.3105583,mg N/m43,227.4,292.76,172.89
54,11,-7.078228,40.6713676,mg N/m44,221.8,263.51,166.98
54,12,-6.8552132,41.0325699,mg N/m45,259.5,325.62,213.58
54,13,-6.628437,41.3941574,mg N/m46,266.9,266.9,193.74
54,14,-6.39781,41.7560806,mg N/m47,287.4,301.21,205.8
55,1,-8.6746502,36.9333572,mg N/m48,136.2,0,54.62
55,2,-8.4820404,37.287941,mg N/m49,241.4,136.52,142.99
55,3,-8.2864056,37.6430893,mg N/m50,265.6,148.42,157.87
55,4,-8.0876827,37.9987946,mg N/m51,224.8,152.75,147.31
55,5,-7.8858013,38.3550148,mg N/m52,281,181.7,188.41
55,6,-7.6806927,38.7117462,mg N/m53,307.7,233.51,227.4
55,7,-7.4722786,39.0689621,mg N/m54,265,220.48,213.66
55,8,-7.2604923,39.4266472,mg N/m55,254.6,253.17,231.27
55,9,-7.0452518,39.7847633,mg N/m56,263.6,252.79,216.75
55,10,-6.8264751,40.1433067,mg N/m57,270.8,280.47,248.05
55,11,-6.6040897,40.502243,mg N/m58,319.1,337.49,313.7
55,13,-6.1481361,41.2212029,mg N/m59,296.9,299.1,260.98
55,14,-5.9144001,41.5811691,mg N/m60,269.4,262.17,206.96
56,2,-8.0375099,37.1322327,mg N/m61,226.5,113.65,138.6
56,3,-7.8390846,37.4856834,mg N/m62,215,164.84,127.55
56,4,-7.6375465,37.8396683,mg N/m63,237.7,159.45,160.07
56,5,-7.4328289,38.1941452,mg N/m64,259.8,209.51,186.91
56,6,-7.2248592,38.5491066,mg N/m65,252.3,212.34,234.89
56,7,-7.013567,38.9045372,mg N/m66,219.9,234.73,196.25
57,2,-7.5960274,36.9740105,mg N/m67,141.7,104.5,90.16
57,3,-7.3948765,37.3257484,mg N/m68,223.1,196.68,160.51
57,4,-7.1905899,37.67799,mg N/m69,287,293.22,247.75
57,5,-6.9831047,38.0307083,mg N/m70,300,293.25,285.98
