"Muni_ID","ID","Muni","cereals","industry","potato","pulses","pastures","total_municipality"
1601,"1111601","Arcos de Valdevez",16006.27,0,2044.95,6584.93,189643.33,214279.48
1602,"1111602","Caminha",5381.48,0,451.79,804.55,27358.67,33996.49
1603,"1111603","Melgaço",3212.34,0,665.8,923.16,126628,131429.3
1604,"1111604","Monção",13616.16,0,1379.15,3972.57,66862,85829.88
1605,"1111605","Paredes de Coura",6220.64,0,1616.94,1448.01,67252,76537.59
1606,"1111606","Ponte da Barca",7186.33,0,1260.26,3704.3,36108.67,48259.56
1607,"1111607","Ponte de Lima",43320.22,0,3733.22,9332.74,46734.67,103120.85
1608,"1111608","Valença",10756.39,0,594.46,674.26,23292,35317.11
1609,"1111609","Viana do Castelo",26029.25,0,3471.66,2831.18,43255.33,75587.42
1610,"1111610","Vila Nova de Cerveira",3936.25,0,285.34,1053.44,13314.67,18589.7
301,"1120301","Amares",11952.81,0,118.89,866.14,9789.33,22727.17
302,"1120302","Barcelos",23959.8,0,2449.19,2068.97,7328.67,35806.63
303,"1120303","Braga",29954.46,0,1521.82,551.68,6750.67,38778.63
306,"1120306","Esposende",7404.08,0,1260.26,923.16,1738.67,11326.17
310,"1120310","Terras de Bouro",6710.95,0,190.23,2256.28,81207.33,90364.79
313,"1120313","Vila Verde",32108.38,0,2401.63,6321.23,61674.67,102505.91
307,"1130307","Fafe",21298.78,0,2044.95,7374.07,46203.33,76921.13
308,"1130308","Guimarães",31085.79,0,1521.82,2129.98,7186.67,41924.26
309,"1130309","Póvoa de Lanhoso",13302.24,0,451.79,2256.28,13806,29816.31
1314,"1131314","Santo Tirso",12265.47,0,2187.62,1053.44,8379.33,23885.86
1318,"1131318","Trofa",4340.02,0,951.14,134.01,2235.33,7660.5
311,"1130311","Vieira do Minho",8507.74,0,784.69,3949.47,52620.67,65862.57
312,"1130312","Vila Nova de Famalicão",19117.93,0,951.14,536.99,5980.67,26586.73
314,"1130314","Vizela",4239.55,0,23.78,15.4,163.33,4442.06
107,"1140107","Espinho",605.65,0,71.34,260.57,4.67,942.23
1304,"1141304","Gondomar",8388.28,0,3138.76,938.56,1473.33,13938.93
1306,"1141306","Maia",5047.09,0,3186.32,134.01,2562.67,10930.09
1308,"1141308","Matosinhos",2105.36,0,1141.37,0,4128.67,7375.4
1312,"1141312","Porto",144.2,0,23.78,0,457.33,625.31
1313,"1141313","Póvoa de Varzim",2653.33,0,808.47,528.58,583.33,4573.71
1315,"1141315","Valongo",6364.42,0,1545.6,134.01,285.33,8329.36
1316,"1141316","Vila do Conde",4989.41,0,1783.39,134.01,588.67,7495.48
1317,"1141317","Vila Nova de Gaia",8129.26,0,737.13,1371.62,1551.33,11789.34
1301,"1151301","Amarante",32757.98,0,927.36,15433.84,44564.67,93683.85
1302,"1151302","Baião",13423.95,0,332.9,13430.42,35382.67,62569.94
304,"1150304","Cabeceiras de Basto",14201.23,0,856.03,2256.28,59678.67,76992.21
106,"1150106","Castelo de Paiva",9261.52,0,190.23,5029.73,2473.33,16954.81
305,"1150305","Celorico de Basto",22916.41,0,475.57,10155.22,9262.67,42809.87
1804,"1151804","Cinfães",16328.78,0,1117.59,3294.32,23324.67,44065.36
1303,"1151303","Felgueiras",21318.16,0,1260.26,2650.86,1412.67,26641.95
1305,"1151305","Lousada",16072.79,0,737.13,1463.41,640,18913.33
1307,"1151307","Marco de Canaveses",19285.67,0,404.23,12790.68,8698,41178.58
1705,"1151705","Mondim de Basto",10112.19,0,23.78,5401.2,37109.33,52646.5
1309,"1151309","Paços de Ferreira",6964.5,0,737.13,1448.01,3868.67,13018.31
1310,"1151310","Paredes",17245.95,0,2782.08,1601.4,1431.33,23060.76
1311,"1151311","Penafiel",30421.01,0,1260.26,938.56,1914,34533.83
1813,"1151813","Resende",7065.6,0,1712.05,1183.72,9107.33,19068.7
1709,"1151709","Ribeira de Pena",10642.26,0,142.67,1712.3,54594,67091.23
104,"1160104","Arouca",14817.86,0,546.91,1053.44,32137.33,48555.54
113,"1160113","Oliveira de Azeméis",7365.47,0,118.89,275.97,714.67,8475
109,"1160109","Santa Maria da Feira",13157.34,0,1117.59,2658.56,621.33,17554.82
116,"1160116","São João da Madeira",0,0,0,0,0,0
119,"1160119","Vale de Cambra",9341,0,0,2765.74,9030,21136.74
1701,"1171701","Alijó",778.96,0,594.63,465.34,5946.67,7785.6
1801,"1171801","Armamar",96.16,0,1235,157.05,537.33,2025.54
403,"1170403","Carrazeda de Ansiães",2361.13,0,3636.38,634.82,4806.67,11439
404,"1170404","Freixo de Espada à Cinta",1364.59,0,343.05,157.05,10374,12238.69
1805,"1171805","Lamego",687.54,0,1303.61,773.63,10500.67,13265.45
1704,"1171704","Mesão Frio",0,0,0,0,23.33,23.33
1807,"1171807","Moimenta da Beira",3003.31,0,3156.1,654.01,7224.67,14038.09
1812,"1171812","Penedono",2149.28,0,1509.44,157.05,6678,10493.77
1708,"1171708","Peso da Régua",51.54,0,68.61,308.29,294,722.44
1710,"1171710","Sabrosa",905.19,0,640.37,175.29,9992.67,11713.52
1711,"1171711","Santa Marta de Penaguião",25.77,0,0,0,3644.67,3670.44
1815,"1171815","São João da Pesqueira",1031.25,0,891.94,0,5782,7705.19
1818,"1171818","Sernancelhe",3518.42,0,4642.67,2536.11,14374,25071.2
1819,"1171819","Tabuaço",929.62,0,3087.49,1717.7,1182,6916.81
1820,"1171820","Tarouca",886.75,0,891.94,465.34,2212,4456.03
409,"1170409","Torre de Moncorvo",2690.18,0,1120.64,943.11,22184.67,26938.6
410,"1170410","Vila Flor",1296.94,0,365.92,157.05,8340,10159.91
914,"1170914","Vila Nova de Foz Côa",545.08,0,68.61,30.39,8579.33,9223.41
1714,"1171714","Vila Real",5009.2,0,4939.98,4987.09,52506.67,67442.94
401,"1180401","Alfândega da Fé",318.92,0,68.61,30.39,21378,21795.92
1702,"1181702","Boticas",19259.16,0,7592.94,0,90617.33,117469.43
402,"1180402","Bragança",35122.47,0,8553.49,758.94,87864.67,132299.57
1703,"1181703","Chaves",64017.75,0,35311.74,3181.5,44967.33,147478.32
405,"1180405","Macedo de Cavaleiros",13019.92,0,1692.4,1425.74,43784.67,59922.73
406,"1180406","Miranda do Douro",24107.07,0,3361.93,720.48,56670,84859.48
407,"1180407","Mirandela",11259.2,0,1852.49,1528.12,16655.33,31295.14
408,"1180408","Mogadouro",19002.53,0,1875.36,2816.78,42186.67,65881.34
1706,"1181706","Montalegre",36766.53,0,17312.82,616.58,399895.33,454591.26
1707,"1181707","Murça",1079.5,0,1463.7,2006.8,4444,8994
1712,"1181712","Valpaços",19523.46,0,13745.05,2691.2,19306,55265.71
1713,"1181713","Vila Pouca de Aguiar",11330.6,0,8164.7,2006.8,73680.67,95182.77
411,"1180411","Vimioso",12650.31,0,2950.27,1640.09,30110,47350.67
412,"1180412","Vinhais",21850.66,0,6083.5,338.68,44517.33,72790.17
101,"1610101","Águeda",34191.08,41.9,2061.96,1380.61,1036.67,38712.22
102,"1610102","Albergaria-a-Velha",35167.52,0,1522.68,1216.65,2162,40068.85
103,"1610103","Anadia",19141.7,586.65,7549.93,769.87,990,29038.15
105,"1610105","Aveiro",37882.18,0,2728.13,4801.58,4520,49931.89
108,"1610108","Estarreja",26545.99,0,126.89,507.46,6318,33498.34
110,"1610110","Ílhavo",15819.73,0,2474.35,447.3,183.33,18924.71
111,"1610111","Mealhada",11662.48,41.9,1776.45,605.8,482,14568.63
112,"1610112","Murtosa",11753.57,0,31.72,152.61,1186,13123.9
114,"1610114","Oliveira do Bairro",19386.62,41.9,4377.69,916.7,938.67,25661.58
115,"1610115","Ovar",12678.95,0,63.44,294.69,732.67,13769.75
117,"1610117","Sever do Vouga",11938.66,0,380.67,1189.3,6156.67,19665.3
118,"1610118","Vagos",27759.72,0,9040.88,3050.24,93.33,39944.17
602,"1620602","Cantanhede",33861.47,921.87,7169.26,6091.03,1509.33,49552.96
603,"1620603","Coimbra",102873.41,0,3362.57,1131.48,2850.67,110218.13
