"Muni_ID","ID","Muni","extensive_pasture","intensive_pasture","total"
1601,"1111601","Arcos de Valdevez",126373.33,63270,189643.33
1602,"1111602","Caminha",22138.67,5220,27358.67
1603,"1111603","Melgaço",118678,7950,126628
1604,"1111604","Monção",33922,32940,66862
1605,"1111605","Paredes de Coura",20482,46770,67252
1606,"1111606","Ponte da Barca",22278.67,13830,36108.67
1607,"1111607","Ponte de Lima",26604.67,20130,46734.67
1608,"1111608","Valença",12432,10860,23292
1609,"1111609","Viana do Castelo",31285.33,11970,43255.33
1610,"1111610","Vila Nova de Cerveira",6654.67,6660,13314.67
301,"1120301","Amares",1269.33,8520,9789.33
302,"1120302","Barcelos",788.67,6540,7328.67
303,"1120303","Braga",1530.67,5220,6750.67
306,"1120306","Esposende",88.67,1650,1738.67
310,"1120310","Terras de Bouro",45957.33,35250,81207.33
313,"1120313","Vila Verde",7074.67,54600,61674.67
307,"1130307","Fafe",4293.33,41910,46203.33
308,"1130308","Guimarães",2356.67,4830,7186.67
309,"1130309","Póvoa de Lanhoso",2646,11160,13806
1314,"1131314","Santo Tirso",639.33,7740,8379.33
1318,"1131318","Trofa",135.33,2100,2235.33
311,"1130311","Vieira do Minho",39120.67,13500,52620.67
312,"1130312","Vila Nova de Famalicão",760.67,5220,5980.67
314,"1130314","Vizela",163.33,0,163.33
107,"1140107","Espinho",4.67,0,4.67
1304,"1141304","Gondomar",513.33,960,1473.33
1306,"1141306","Maia",312.67,2250,2562.67
1308,"1141308","Matosinhos",228.67,3900,4128.67
1312,"1141312","Porto",37.33,420,457.33
1313,"1141313","Póvoa de Varzim",373.33,210,583.33
1315,"1141315","Valongo",135.33,150,285.33
1316,"1141316","Vila do Conde",228.67,360,588.67
1317,"1141317","Vila Nova de Gaia",681.33,870,1551.33
1301,"1151301","Amarante",34304.67,10260,44564.67
1302,"1151302","Baião",15852.67,19530,35382.67
304,"1150304","Cabeceiras de Basto",28508.67,31170,59678.67
106,"1150106","Castelo de Paiva",583.33,1890,2473.33
305,"1150305","Celorico de Basto",1432.67,7830,9262.67
1804,"1151804","Cinfães",22544.67,780,23324.67
1303,"1151303","Felgueiras",452.67,960,1412.67
1305,"1151305","Lousada",490,150,640
1307,"1151307","Marco de Canaveses",4438,4260,8698
1705,"1151705","Mondim de Basto",33329.33,3780,37109.33
1309,"1151309","Paços de Ferreira",298.67,3570,3868.67
1310,"1151310","Paredes",471.33,960,1431.33
1311,"1151311","Penafiel",1344,570,1914
1813,"1151813","Resende",7877.33,1230,9107.33
1709,"1151709","Ribeira de Pena",48384,6210,54594
104,"1160104","Arouca",20617.33,11520,32137.33
113,"1160113","Oliveira de Azeméis",354.67,360,714.67
