"Muni_ID","ID","Muni","Ewes","Other_ovine"
1601,"1111601","Arcos de Valdevez",41333,13512
1602,"1111602","Caminha",7135,5884
1603,"1111603","Melgaço",23138,8709
1604,"1111604","Monção",55091,16217
1605,"1111605","Paredes de Coura",35588,7527
1606,"1111606","Ponte da Barca",6908,1409
1607,"1111607","Ponte de Lima",34583,11212
1608,"1111608","Valença",16799,5498
1609,"1111609","Viana do Castelo",13575,4247
1610,"1111610","Vila Nova de Cerveira",7995,3470
301,"1120301","Amares",7717,1618
302,"1120302","Barcelos",11446,4279
303,"1120303","Braga",10175,1732
306,"1120306","Esposende",1852,815
310,"1120310","Terras de Bouro",2882,613
313,"1120313","Vila Verde",32491,6194
307,"1130307","Fafe",18119,3912
308,"1130308","Guimarães",5764,771
309,"1130309","Póvoa de Lanhoso",9366,1820
1314,"1131314","Santo Tirso",7786,2996
1318,"1131318","Trofa",2010,733
311,"1130311","Vieira do Minho",17721,3868
312,"1130312","Vila Nova de Famalicão",4095,1403
314,"1130314","Vizela",474,95
107,"1140107","Espinho",126,13
1304,"1141304","Gondomar",6845,1909
1306,"1141306","Maia",2749,961
1308,"1141308","Matosinhos",1612,847
1312,"1141312","Porto",139,44
1313,"1141313","Póvoa de Varzim",1163,145
1315,"1141315","Valongo",2718,379
1316,"1141316","Vila do Conde",3558,1036
1317,"1141317","Vila Nova de Gaia",4494,1150
1301,"1151301","Amarante",18360,6048
1302,"1151302","Baião",21039,12065
304,"1150304","Cabeceiras de Basto",20572,3059
106,"1150106","Castelo de Paiva",12912,6554
305,"1150305","Celorico de Basto",14877,2970
1804,"1151804","Cinfães",30488,14517
1303,"1151303","Felgueiras",2237,575
1305,"1151305","Lousada",4620,967
1307,"1151307","Marco de Canaveses",19959,7805
1705,"1151705","Mondim de Basto",2307,657
1309,"1151309","Paços de Ferreira",6175,3830
1310,"1151310","Paredes",9562,2142
1311,"1151311","Penafiel",11673,1460
1813,"1151813","Resende",8090,3495
1709,"1151709","Ribeira de Pena",3899,967
104,"1160104","Arouca",14277,5941
113,"1160113","Oliveira de Azeméis",2452,1283
109,"1160109","Santa Maria da Feira",6023,2452
116,"1160116","São João da Madeira",0,0
119,"1160119","Vale de Cambra",5631,2237
1701,"1171701","Alijó",9063,714
1801,"1171801","Armamar",2958,278
403,"1170403","Carrazeda de Ansiães",25223,1365
404,"1170404","Freixo de Espada à Cinta",29192,1947
1805,"1171805","Lamego",12078,2206
1704,"1171704","Mesão Frio",107,25
1807,"1171807","Moimenta da Beira",14940,2294
1812,"1171812","Penedono",14504,1915
1708,"1171708","Peso da Régua",3147,253
1710,"1171710","Sabrosa",4968,518
1711,"1171711","Santa Marta de Penaguião",2446,379
1815,"1171815","São João da Pesqueira",11218,1150
1818,"1171818","Sernancelhe",15503,1858
1819,"1171819","Tabuaço",6724,746
1820,"1171820","Tarouca",3236,664
409,"1170409","Torre de Moncorvo",74696,6111
410,"1170410","Vila Flor",30380,3988
914,"1170914","Vila Nova de Foz Côa",31771,1492
1714,"1171714","Vila Real",32485,3666
401,"1180401","Alfândega da Fé",42186,2819
1702,"1181702","Boticas",19244,1504
402,"1180402","Bragança",214438,39860
1703,"1181703","Chaves",99319,19630
405,"1180405","Macedo de Cavaleiros",118007,13304
406,"1180406","Miranda do Douro",98725,22828
407,"1180407","Mirandela",103465,11515
408,"1180408","Mogadouro",126255,22904
1706,"1181706","Montalegre",45896,7489
1707,"1181707","Murça",7704,461
1712,"1181712","Valpaços",66594,9265
1713,"1181713","Vila Pouca de Aguiar",36315,6427
411,"1180411","Vimioso",61051,8747
412,"1180412","Vinhais",97499,21918
101,"1610101","Águeda",13221,4873
102,"1610102","Albergaria-a-Velha",3280,360
103,"1610103","Anadia",6080,1814
105,"1610105","Aveiro",3021,1485
108,"1610108","Estarreja",3659,645
110,"1610110","Ílhavo",278,101
111,"1610111","Mealhada",2452,720
112,"1610112","Murtosa",967,310
114,"1610114","Oliveira do Bairro",1896,404
115,"1610115","Ovar",1112,259
117,"1610117","Sever do Vouga",2288,815
118,"1610118","Vagos",2180,594
602,"1620602","Cantanhede",4828,1681
603,"1620603","Coimbra",13601,2920
604,"1620604","Condeixa-a-Nova",9341,2945
605,"1620605","Figueira da Foz",11787,1687
608,"1620608","Mira",190,76
610,"1620610","Montemor-o-Velho",29337,4184
613,"1620613","Penacova",12412,4860
615,"1620615","Soure",20338,3173
1004,"1631004","Batalha",4190,1517
1009,"1631009","Leiria",21703,8140
1010,"1631010","Marinha Grande",1251,310
1015,"1631015","Pombal",39020,12356
1016,"1631016","Porto de Mós",20211,5309
1002,"1641002","Alvaiázere",13329,2041
1003,"1641003","Ansião",28510,3950
601,"1640601","Arganil",13759,3337
1007,"1641007","Castanheira de Pêra",1087,341
1008,"1641008","Figueiró dos Vinhos",3078,961
606,"1640606","Góis",948,240
607,"1640607","Lousã",2452,531
609,"1640609","Miranda do Corvo",3090,1043
611,"1640611","Oliveira do Hospital",50446,5233
612,"1640612","Pampilhosa da Serra",1770,234
1013,"1641013","Pedrógão Grande",3324,600
614,"1640614","Penela",14037,1473
616,"1640616","Tábua",30191,4260
617,"1640617","Vila Nova de Poiares",885,379
901,"1650901","Aguiar da Beira",25836,3192
1802,"1651802","Carregal do Sal",15996,1428
1803,"1651803","Castro Daire",21595,4317
1806,"1651806","Mangualde",49119,3350
1808,"1651808","Mortágua",24907,6402
1809,"1651809","Nelas",21994,1390
1810,"1651810","Oliveira de Frades",7268,1864
1811,"1651811","Penalva do Castelo",17797,803
1814,"1651814","Santa Comba Dão",16034,1700
1816,"1651816","São Pedro do Sul",19813,5833
1817,"1651817","Sátão",11938,2206
1821,"1651821","Tondela",51578,10706
1822,"1651822","Vila Nova de Paiva",10049,1770
1823,"1651823","Viseu",48070,11894
1824,"1651824","Vouzela",16963,3331
1413,"1661413","Mação",7508,777
506,"1660506","Oleiros",1852,322
508,"1660508","Proença-a-Nova",8797,3773
509,"1660509","Sertã",11123,2844
510,"1660510","Vila de Rei",1030,126
905,"1670905","Fornos de Algodres",30336,3053
906,"1670906","Gouveia",59414,6920
912,"1670912","Seia",77401,4715
902,"1680902","Almeida",84012,5758
903,"1680903","Celorico da Beira",93410,10877
904,"1680904","Figueira de Castelo Rodrigo",132398,4336
907,"1680907","Guarda",90092,11534
908,"1680908","Manteigas",5682,240
909,"1680909","Mêda",37762,2661
910,"1680910","Pinhel",70082,5005
911,"1680911","Sabugal",72111,6105
913,"1680913","Trancoso",78267,4531
502,"1690502","Castelo Branco",346083,27878
505,"1690505","Idanha-a-Nova",407337,31132
507,"1690507","Penamacor",63446,5043
511,"1690511","Vila Velha de Ródão",54573,3982
501,"16A0501","Belmonte",52759,4860
503,"16A0503","Covilhã",66038,3685
