"Muni_ID","ID","Muni","Pregnant_sows","Non_pregnant_sows","Boars","Pigs_20-50","Pigs_+50","Other_swine"
1601,"1111601","Arcos de Valdevez",0,9,4,37,117,39
1602,"1111602","Caminha",0,3,2,17,53,15
1603,"1111603","Melgaço",0,7,2,22,90,8
1604,"1111604","Monção",0,5,4,38,159,18
1605,"1111605","Paredes de Coura",0,5,3,26,94,20
1606,"1111606","Ponte da Barca",0,4,2,15,59,12
1607,"1111607","Ponte de Lima",0,57,13,123,235,102
1608,"1111608","Valença",0,35,11,100,196,61
1609,"1111609","Viana do Castelo",0,7,9,75,278,70
1610,"1111610","Vila Nova de Cerveira",0,2,1,9,28,5
301,"1120301","Amares",0,104,57,507,2257,27
302,"1120302","Barcelos",0,7,9,83,276,109
303,"1120303","Braga",0,11,6,59,163,74
306,"1120306","Esposende",0,3,3,25,53,53
310,"1120310","Terras de Bouro",0,8,4,34,40,37
313,"1120313","Vila Verde",0,82,14,125,161,102
307,"1130307","Fafe",0,16,7,61,204,45
308,"1130308","Guimarães",0,19,8,68,135,97
309,"1130309","Póvoa de Lanhoso",0,28,11,102,195,131
1314,"1131314","Santo Tirso",0,18,10,93,271,94
1318,"1131318","Trofa",0,0,2,17,72,17
311,"1130311","Vieira do Minho",0,8,6,47,94,54
312,"1130312","Vila Nova de Famalicão",0,184,110,995,1529,1045
314,"1130314","Vizela",0,0,1,4,15,4
107,"1140107","Espinho",0,0,0,1,6,0
1304,"1141304","Gondomar",0,1,1,9,51,5
1306,"1141306","Maia",0,0,1,9,35,6
1308,"1141308","Matosinhos",0,4,1,9,15,8
1312,"1141312","Porto",0,0,0,0,1,0
1313,"1141313","Póvoa de Varzim",0,81,34,307,843,297
1315,"1141315","Valongo",0,0,0,2,8,1
1316,"1141316","Vila do Conde",0,1,2,20,88,17
1317,"1141317","Vila Nova de Gaia",0,13,2,20,60,13
1301,"1151301","Amarante",0,11,8,71,279,62
1302,"1151302","Baião",0,2,6,47,238,26
304,"1150304","Cabeceiras de Basto",0,26,8,70,184,79
106,"1150106","Castelo de Paiva",0,3,3,29,125,26
305,"1150305","Celorico de Basto",0,14,8,68,205,69
1804,"1151804","Cinfães",0,3,5,42,143,62
1303,"1151303","Felgueiras",0,123,63,566,1065,742
1305,"1151305","Lousada",0,6,4,38,149,27
1307,"1151307","Marco de Canaveses",0,3,4,34,148,31
1705,"1151705","Mondim de Basto",0,3,3,31,72,61
1309,"1151309","Paços de Ferreira",0,3,2,13,49,13
1310,"1151310","Paredes",0,8,6,49,185,33
1311,"1151311","Penafiel",0,7,8,70,292,59
1813,"1151813","Resende",0,0,3,26,115,26
1709,"1151709","Ribeira de Pena",0,4,3,28,61,35
104,"1160104","Arouca",0,11,9,78,271,77
113,"1160113","Oliveira de Azeméis",0,122,35,319,384,387
109,"1160109","Santa Maria da Feira",0,43,26,231,681,306
116,"1160116","São João da Madeira",0,0,0,0,0,0
119,"1160119","Vale de Cambra",0,2,5,40,138,63
1701,"1171701","Alijó",0,8,2,16,45,15
1801,"1171801","Armamar",0,2,2,13,50,11
403,"1170403","Carrazeda de Ansiães",0,19,4,37,86,32
404,"1170404","Freixo de Espada à Cinta",0,0,1,7,24,6
1805,"1171805","Lamego",0,1,2,22,103,15
1704,"1171704","Mesão Frio",0,0,0,1,6,1
1807,"1171807","Moimenta da Beira",0,43,23,208,449,185
1812,"1171812","Penedono",0,0,2,17,52,26
1708,"1171708","Peso da Régua",0,0,0,3,20,0
1710,"1171710","Sabrosa",0,3,2,15,63,9
1711,"1171711","Santa Marta de Penaguião",0,0,0,1,2,2
1815,"1171815","São João da Pesqueira",0,1,1,7,22,9
1818,"1171818","Sernancelhe",0,1,3,27,82,47
1819,"1171819","Tabuaço",0,0,1,6,22,8
1820,"1171820","Tarouca",0,0,2,19,87,15
409,"1170409","Torre de Moncorvo",0,4,2,14,38,15
410,"1170410","Vila Flor",0,4,2,15,28,20
914,"1170914","Vila Nova de Foz Côa",0,0,0,1,3,1
1714,"1171714","Vila Real",0,8,4,39,113,41
401,"1180401","Alfândega da Fé",0,7,2,17,22,19
1702,"1181702","Boticas",0,8,6,52,169,73
402,"1180402","Bragança",0,84,20,187,402,224
1703,"1181703","Chaves",0,97,45,402,1272,311
405,"1180405","Macedo de Cavaleiros",0,20,9,83,246,95
406,"1180406","Miranda do Douro",0,57,11,102,161,75
407,"1180407","Mirandela",0,43,20,183,497,221
408,"1180408","Mogadouro",0,74,9,86,92,32
1706,"1181706","Montalegre",0,13,14,131,508,161
1707,"1181707","Murça",0,9,3,26,50,25
