Muni_ID,ID,Muni,fodder,crop,res_remov,res_burnt,other_manure
111,1610111,Mealhada,47.3,14.1,2.9,1.5,1.5
112,1610112,Murtosa,280.7,16.4,3.5,0.0,0.3
114,1610114,Oliveira do Bairro,60.9,22.6,4.6,0.9,0.3
115,1610115,Ovar,309.1,12.9,3.3,0.0,1.0
117,1610117,Sever do Vouga,76.0,29.3,8.0,0.3,7.2
118,1610118,Vagos,118.0,24.0,4.7,0.1,0.5
602,1620602,Cantanhede,91.8,14.5,2.5,1.0,0.5
603,1620603,Coimbra,19.1,36.2,8.5,1.2,0.2
604,1620604,Condeixa-a-Nova,23.2,16.4,3.3,1.6,0.2
605,1620605,Figueira da Foz,74.6,38.0,8.0,2.9,0.5
608,1620608,Mira,151.6,19.5,3.1,0.2,1.8
610,1620610,Montemor-o-Velho,99.1,36.6,8.8,1.2,0.5
613,1620613,Penacova,40.1,8.8,2.2,0.1,0.1
615,1620615,Soure,19.5,33.6,7.5,2.3,0.7
1004,1631004,Batalha,24.2,12.3,2.0,2.1,7.6
1009,1631009,Leiria,67.1,21.4,4.6,1.0,9.8
1010,1631010,Marinha Grande,34.5,24.9,5.7,0.7,0.3
1015,1631015,Pombal,55.0,7.0,1.3,0.4,1.1
1016,1631016,Porto de Mós,89.4,4.1,0.3,2.0,1.5
1002,1641002,Alvaiázere,27.8,5.7,0.4,3.3,0.3
1003,1641003,Ansião,28.0,7.8,1.0,3.0,2.6
601,1640601,Arganil,25.8,10.7,2.5,1.1,0.2
1007,1641007,Castanheira de Pêra,39.1,7.0,0.9,2.7,1.0
1008,1641008,Figueiró dos Vinhos,18.5,10.1,1.7,2.6,0.3
606,1640606,Góis,42.8,12.9,2.9,1.3,0.8
607,1640607,Lousã,29.4,12.4,2.5,0.8,1.2
609,1640609,Miranda do Corvo,17.5,8.4,1.2,1.8,0.2
611,1640611,Oliveira do Hospital,30.1,6.7,1.2,1.3,5.2
612,1640612,Pampilhosa da Serra,13.3,6.0,0.7,3.2,0.5
1013,1641013,Pedrógão Grande,16.6,9.9,1.7,2.8,0.3
614,1640614,Penela,28.4,6.1,0.8,2.4,0.2
616,1640616,Tábua,29.8,8.4,1.8,1.0,0.1
617,1640617,Vila Nova de Poiares,21.9,14.1,2.9,1.4,0.3
901,1650901,Aguiar da Beira,41.3,12.4,2.9,0.8,1.0
1802,1651802,Carregal do Sal,21.9,7.9,1.6,1.3,0.6
1803,1651803,Castro Daire,37.7,14.0,3.7,0.2,0.6
1806,1651806,Mangualde,21.8,9.7,2.1,1.1,0.2
1808,1651808,Mortágua,64.1,21.0,5.1,0.6,2.6
1809,1651809,Nelas,13.5,5.4,0.7,1.8,0.2
1810,1651810,Oliveira de Frades,75.9,26.6,7.2,0.2,12.6
1811,1651811,Penalva do Castelo,13.9,12.1,2.7,1.7,0.1
1814,1651814,Santa Comba Dão,33.3,8.9,1.8,0.7,2.8
1816,1651816,São Pedro do Sul,45.3,17.4,4.4,0.3,0.9
1817,1651817,Sátão,33.6,16.0,4.0,0.7,1.3
1821,1651821,Tondela,34.7,12.7,2.8,1.1,1.5
1822,1651822,Vila Nova de Paiva,50.9,11.3,3.2,0.1,1.4
1823,1651823,Viseu,21.8,14.3,3.2,1.5,0.3
1824,1651824,Vouzela,54.4,19.4,5.1,0.6,1.2
1413,1661413,Mação,23.3,1.9,0.1,3.0,0.3
506,1660506,Oleiros,16.1,2.6,0.7,0.3,0.3
508,1660508,Proença-a-Nova,16.4,1.8,0.2,2.7,0.0
509,1660509,Sertã,25.4,3.6,0.6,3.0,0.2
510,1660510,Vila de Rei,15.7,3.0,0.4,3.3,3.7
905,1670905,Fornos de Algodres,19.8,6.2,1.6,0.9,0.1
906,1670906,Gouveia,17.5,1.5,0.3,0.2,0.1
912,1670912,Seia,24.6,2.2,0.3,1.5,0.1
902,1680902,Almeida,28.6,0.2,0.1,0.1,0.0
903,1680903,Celorico da Beira,22.8,1.0,0.2,0.5,0.0
904,1680904,Figueira de Castelo Rodrigo,15.9,0.8,0.1,1.1,0.1
907,1680907,Guarda,26.7,1.2,0.3,0.4,0.2
908,1680908,Manteigas,40.3,1.7,0.3,0.7,0.3
909,1680909,Mêda,10.5,1.9,0.2,1.7,3.5
910,1680910,Pinhel,21.8,1.4,0.2,1.1,0.1
911,1680911,Sabugal,30.5,0.8,0.2,0.1,0.1
913,1680913,Trancoso,23.6,1.9,0.3,1.0,0.1
502,1690502,Castelo Branco,18.5,0.3,0.1,0.0,0.1
505,1690505,Idanha-a-Nova,23.9,0.9,0.2,0.4,0.4
507,1690507,Penamacor,23.7,1.5,0.3,1.1,0.1
511,1690511,Vila Velha de Ródão,19.4,1.0,0.0,1.9,0.0
501,16A0501,Belmonte,24.1,2.9,0.7,1.3,0.0
503,16A0503,Covilhã,29.4,2.8,0.5,1.4,0.0
504,16A0504,Fundão,21.6,2.0,0.3,1.4,0.0
1001,16B1001,Alcobaça,33.9,14.8,1.3,10.5,5.1
1101,16B1101,Alenquer,11.5,9.3,1.1,2.0,2.4
1102,16B1102,Arruda dos Vinhos,20.8,7.4,0.9,1.4,2.8
1005,16B1005,Bombarral,11.4,9.8,0.2,0.8,11.8
1104,16B1104,Cadaval,15.1,6.1,0.1,3.1,2.3
1006,16B1006,Caldas da Rainha,17.0,11.8,1.1,3.7,7.7
1108,16B1108,Lourinhã,37.6,31.2,1.8,2.0,15.9
1011,16B1011,Nazaré,83.8,27.6,1.1,3.2,3.4
1012,16B1012,Óbidos,7.4,17.3,0.7,1.9,11.4
1014,16B1014,Peniche,17.0,46.8,2.1,0.4,2.7
1112,16B1112,Sobral de Monte Agraço,64.5,12.4,1.7,2.9,2.7
1113,16B1113,Torres Vedras,31.1,15.5,1.4,0.7,10.0
1401,16C1401,Abrantes,16.4,8.4,1.7,1.7,1.3
1402,16C1402,Alcanena,34.5,4.3,0.3,2.5,2.1
1408,16C1408,Constância,3.9,56.8,15.2,1.2,0.1
1410,16C1410,Entroncamento,12.4,21.9,5.1,0.3,0.5
1411,16C1411,Ferreira do Zêzere,17.1,5.1,0.4,2.6,67.1
1421,16C1421,Ourém,26.9,13.5,2.8,2.4,11.4
1417,16C1417,Sardoal,15.3,4.6,0.2,3.1,0.0
1418,16C1418,Tomar,19.0,14.0,3.0,2.0,4.5
1419,16C1419,Torres Novas,10.8,15.0,3.2,1.7,0.3
1420,16C1420,Vila Nova da Barquinha,10.9,21.3,3.1,1.8,0.0
1115,1711115,Amadora,26.2,1.1,0.0,1.3,2.0
1105,1711105,Cascais,22.6,6.9,0.2,1.6,1.2
1106,1711106,Lisboa,5.4,35.8,0.1,0.2,0.4
1107,1711107,Loures,54.6,18.6,0.8,0.4,6.4
1109,1711109,Mafra,57.8,15.8,1.6,0.6,12.6
1116,1711116,Odivelas,40.5,1.3,0.1,0.2,3.4
1110,1711110,Oeiras,3.3,3.7,0.0,3.3,0.1
1111,1711111,Sintra,34.8,19.0,2.1,0.2,3.4
1114,1711114,Vila Franca de Xira,23.9,34.2,5.9,1.5,0.7
1502,1721502,Alcochete,27.1,15.2,0.8,0.3,0.8
1503,1721503,Almada,53.3,43.8,1.4,0.2,3.3
1504,1721504,Barreiro,91.3,9.9,1.0,0.8,1.5
1506,1721506,Moita,240.9,8.8,0.5,1.0,3.3
1507,1721507,Montijo,27.4,10.3,1.9,0.3,1.4
1508,1721508,Palmela,36.2,7.4,1.0,0.6,2.3
1510,1721510,Seixal,15.1,1.1,0.0,1.0,0.1
1511,1721511,Sesimbra,13.6,5.1,0.1,1.6,0.2
1512,1721512,Setúbal,25.0,4.6,0.2,0.9,0.9
1501,1811501,Alcácer do Sal,20.4,5.0,0.9,0.5,0.6
1505,1811505,Grândola,16.7,2.1,0.4,0.3,0.3
211,1810211,Odemira,28.5,4.8,0.8,0.1,0.2
1509,1811509,Santiago do Cacém,24.4,4.9,1.1,0.3,0.5
1513,1811513,Sines,23.2,2.5,0.5,0.1,0.3
1201,1821201,Alter do Chão,29.7,0.8,0.1,0.4,0.4
1202,1821202,Arronches,32.6,1.7,0.4,0.4,0.6
1203,1821203,Avis,21.3,2.4,0.4,0.7,0.5
1204,1821204,Campo Maior,27.6,8.4,1.4,1.1,0.0
1205,1821205,Castelo de Vide,24.3,1.2,0.0,1.7,0.0
1206,1821206,Crato,32.6,0.4,0.0,0.5,0.5
1207,1821207,Elvas,31.0,4.7,0.8,0.5,0.8
1208,1821208,Fronteira,24.6,5.4,1.2,0.7,0.1
1209,1821209,Gavião,11.4,0.4,0.1,0.2,0.0
1210,1821210,Marvão,21.7,0.9,0.0,0.8,0.1
1211,1821211,Monforte,38.3,1.6,0.3,0.2,3.1
707,1820707,Mora,20.1,2.2,0.5,0.4,0.5
1212,1821212,Nisa,21.0,0.5,0.0,0.6,0.2
1213,1821213,Ponte de Sor,13.5,1.9,0.3,0.2,0.3
1214,1821214,Portalegre,31.7,0.9,0.1,0.7,0.1
701,1830701,Alandroal,26.2,3.1,0.7,0.3,0.8
702,1830702,Arraiolos,27.0,2.2,0.4,0.1,0.5
703,1830703,Borba,25.7,4.0,0.7,1.4,1.4
704,1830704,Estremoz,21.8,3.2,0.5,0.6,0.3
705,1830705,Évora,27.1,3.2,0.6,0.2,0.8
706,1830706,Montemor-o-Novo,31.0,1.2,0.2,0.2,0.9
708,1830708,Mourão,25.9,0.7,0.1,0.0,0.7
709,1830709,Portel,25.5,2.0,0.3,0.5,0.7
710,1830710,Redondo,27.5,3.1,0.5,0.5,0.2
711,1830711,Reguengos de Monsaraz,19.7,3.1,0.6,0.6,0.2
1215,1831215,Sousel,22.7,3.7,0.5,1.2,0.0
712,1830712,Vendas Novas,19.1,1.8,0.2,0.5,1.7
713,1830713,Viana do Alentejo,27.1,2.5,0.6,0.2,0.4
714,1830714,Vila Viçosa,31.6,1.8,0.4,0.5,1.9
201,1840201,Aljustrel,17.6,8.4,1.4,0.4,0.4
202,1840202,Almodôvar,15.3,1.9,0.4,0.1,0.2
203,1840203,Alvito,31.3,1.6,0.3,0.3,0.0
204,1840204,Barrancos,28.4,0.1,0.0,0.2,0.0
205,1840205,Beja,13.2,8.0,1.2,0.5,0.3
206,1840206,Castro Verde,18.3,3.6,0.9,0.1,0.2
207,1840207,Cuba,21.9,4.9,0.7,0.5,0.8
208,1840208,Ferreira do Alentejo,15.2,6.8,1.0,0.9,0.4
209,1840209,Mértola,14.0,2.1,0.5,0.1,0.1
210,1840210,Moura,19.8,3.2,0.4,1.2,0.2
212,1840212,Ourique,19.8,3.2,0.7,0.1,0.3
213,1840213,Serpa,18.1,4.2,0.5,1.3,0.4
214,1840214,Vidigueira,14.2,4.4,0.5,1.2,0.3
1403,1851403,Almeirim,3.1,25.8,3.8,1.0,0.2
1404,1851404,Alpiarça,6.7,36.4,6.6,0.7,0.1
1103,1851103,Azambuja,21.9,18.0,2.3,0.6,2.1
1405,1851405,Benavente,43.0,16.6,2.9,0.7,2.1
1406,1851406,Cartaxo,15.3,28.5,3.4,0.6,3.1
1407,1851407,Chamusca,17.0,13.1,3.1,0.3,0.3
1409,1851409,Coruche,19.8,9.6,2.1,0.3,0.7
1412,1851412,Golegã,3.2,85.4,21.9,1.0,0.1
1414,1851414,Rio Maior,20.0,8.7,1.5,0.6,6.6
1415,1851415,Salvaterra de Magos,24.0,35.3,6.6,0.5,3.7
1416,1851416,Santarém,26.3,19.0,3.8,1.3,2.1
801,1500801,Albufeira,10.2,3.8,0.1,3.1,0.7
802,1500802,Alcoutim,7.1,0.5,0.0,1.1,0.3
803,1500803,Aljezur,30.6,5.0,0.9,0.1,0.4
804,1500804,Castro Marim,11.4,1.1,0.0,1.6,1.3
805,1500805,Faro,6.0,11.1,0.0,3.6,0.6
806,1500806,Lagoa,11.2,5.2,0.0,3.2,0.1
807,1500807,Lagos,22.7,3.1,0.3,0.7,0.6
808,1500808,Loulé,6.8,2.1,0.0,2.3,0.2
809,1500809,Monchique,13.5,5.4,0.5,0.9,0.4
810,1500810,Olhão,3.7,8.0,0.0,4.8,0.3
811,1500811,Portimão,25.0,4.7,0.1,1.6,0.3
812,1500812,São Brás de Alportel,1.4,1.3,0.1,1.5,0.2
813,1500813,Silves,11.7,7.7,0.2,3.7,0.4
814,1500814,Tavira,3.4,3.7,0.0,2.8,0.1
815,1500815,Vila do Bispo,21.7,2.1,0.3,0.0,1.1
816,1500816,Vila Real de Santo António,6.8,2.5,0.1,1.3,0.7
