"","GW_ID","codigo","nome","st_area_sh","st_length_","gw_data09_","gw_data0_1","GW_name","HU","GW_type","wsurplus_L","n_load_kgN","Nc_mgNL","Nc_mgNO3L"
"8",8,"PTO33","CALDAS DA RAINHA - NAZARÉ",0.0173780179515,1.08467418505,"29","Aq","CALDAS DA RAINHA - NAZARÉ","Western","Aq",7683003000,20.505518,2.66894572343653,11.8094943514891
"9",9,"PTO10_C2","LEIROSA - MONTE REAL",0.0235286979122,0.829400043301,"24.8","Aq","LEIROSA - MONTE REAL","Western","Aq",7261708000,13.479733,1.85627582381445,8.21360983988696
"10",10,"PTA12","LUSO",0.00162068379482,0.326843170749,"29","Aq","LUSO","Massif","Aq",31024000,0.040092,1.29228984012378,5.71809663771582
"13",13,"PTT6","BACIA DE ALVALADE",0.0719125755003,1.25736561297,"30","Aq","BACIA DE ALVALADE","Tagus-Sado","Aq",11014857000,201.196128,18.2658865203606,80.8225067272595
"15",15,"PTO12","VIEIRA DE LEIRIA - MARINHA GRANDE",0.033685683589,0.867736788054,"31.0237849","Aq","VIEIRA DE LEIRIA - MARINHA GRANDE","Western","Aq",4339701000,15.80812,3.64267492161326,16.1180306266074
"17",17,"PTO30","VISO - QUERIDAS",0.0197100820233,0.558853377242,"19.348659","Aq","VISO - QUERIDAS","Western","Aq",41530397000,31.890051,0.767872529607651,3.39766606021084
"18",18,"PTO31_C2","CONDEIXA - ALFARELOS",0.0196725358123,0.620967439385,"14.6","Aq","CONDEIXA - ALFARELOS","Western","Aq",34680331000,72.970408,2.10408626146042,9.31011620115231
"19",19,"PTO8","VERRIDE",0.00160865100564,0.198593892861,"44.55958549","Aq","VERRIDE","Western","Aq",1744146000,8.327292,4.77442370076817,21.1257685874698
"20",20,"PTO29","LOURIÇAL",0.0619921332665,1.36141429462,"13.8","Aq","LOURIÇAL","Western","Aq",69447856000,100.643797,1.44919948284653,6.41238709224127
"21",21,"PTO2","CRETÁCICO DE AVEIRO",0.0950106722349,1.51476224439,"11.7","Aq","CRETÁCICO DE AVEIRO","Western","Aq",111934754000,60.510804,0.540589958325187,2.39199096604065
"23",23,"PTO6_C2","ALUVIÕES DO MONDEGO",0.0160194744731,1.56303194082,"38.3","Aq","ALUVIÕES DO MONDEGO","Western","Aq",79894555000,48.142227,0.602572065142612,2.66624807585227
"24",24,"PTO3","CÁRSICO DA BAIRRADA",0.0335524309636,1.27621901111,"11.24","Aq","CÁRSICO DA BAIRRADA","Western","Aq",66643809000,40.356596,0.605556564151368,2.67945382367862
"25",25,"PTO5","TENTÚGAL",0.0171571512531,0.873100214098,"13.94052045","Aq","TENTÚGAL","Western","Aq",33886831000,45.823662,1.35225574796298,5.98343251311052
"26",26,"PTO7","FIGUEIRA DA FOZ - GESTEIRA",0.00670808878042,0.779918462683,"22.5","Aq","FIGUEIRA DA FOZ - GESTEIRA","Western","Aq",11195128000,22.993592,2.05389272905142,9.0880209250063
"27",27,"PTO1_C2","QUATERNÁRIO DE AVEIRO",0.0989502743797,3.05844888739,"20.23411371","Aq","QUATERNÁRIO DE AVEIRO","Western","Aq",112978055000,41.764434,0.369668552003307,1.63570155753676
"28",28,"PTA2","ESCUSA",0.000805285183021,0.243015657182,"62","Aq","ESCUSA","Massif","Aq",230834000,3.590027,15.5524186211737,68.8160115981135
"29",29,"PTO20_C2","MACIÇO CALCÁRIO ESTREMENHO",0.082386112071,1.89140064865,"61","Aq","MACIÇO CALCÁRIO ESTREMENHO","Western","Aq",78511503000,170.037182,2.16576139167785,9.58301500742413
"30",30,"PTA3","MONFORTE - ALTER DO CHÃO",0.0101961777723,0.707893706222,"26","Aq","MONFORTE - ALTER DO CHÃO","Massif","Aq",512004000,17.526867,34.2318946726979,151.468560498663
"31",31,"PTO23","PAÇO",0.000666720015572,0.111043859247,"31","Aq","PAÇO","Western","Aq",710249000,3.025714,4.26007498778597,18.8498893264866
"32",32,"PTA4","ESTREMOZ - CANO",0.0209770287937,2.01035257309,"36","Aq","ESTREMOZ - CANO","Massif","Aq",1531076000,68.968291,45.0456352264682,199.31697002862
"35",35,"PTO11_C2","SICÓ - ALVAIÁZERE",0.034941876101,1.68599470123,"48","Aq","SICÓ - ALVAIÁZERE","Western","Aq",31685961000,83.994769,2.65085123976514,11.7294302644475
"36",36,"PTO18","MACEIRA",0.000531600816823,0.13296051081,"46","Aq","MACEIRA","Western","Aq",176926000,1.377174,7.78389835298373,34.4420281105475
"37",37,"PTO25","TORRES VEDRAS",0.00831475848394,0.635302060029,"25","Aq","TORRES VEDRAS","Western","Aq",3696145000,6.487454,1.75519466904031,7.76634809309872
"38",38,"PTO9_C2","PENELA - TOMAR",0.0259139281143,1.8172039139,"48","Aq","PENELA - TOMAR","Western","Aq",37049550000,65.649098,1.77192700046289,7.84038495780041
"44",44,"PTT1_C2","BACIA DO TEJO-SADO / MARGEM DIREITA",0.171721355906,2.37932360598,"18","Aq","BACIA DO TEJO-SADO / MARGEM DIREITA","Tagus-Sado","Aq",121139281000,590.651745,4.87580692343716,21.5743669178635
"45",45,"PTT3","BACIA DO TEJO-SADO / MARGEM ESQUERDA",0.713598362015,6.47531771016,"26","Aq","BACIA DO TEJO-SADO / MARGEM ESQUERDA","Tagus-Sado","Aq",170602878000,1219.772806,7.14977859869398,31.6361884897964
"46",46,"PTT7","ALUVIÕES DO TEJO",0.115873897631,2.74341204998,"33","Aq","ALUVIÕES DO TEJO","Tagus-Sado","Aq",82446603000,487.631062,5.91450762380107,26.1703877159339
"47",47,"PTM15","LUZ - TAVIRA",0.00280999782023,0.257118792806,"25","Aq","LUZ - TAVIRA","Meridional","Aq",298011000,11.979659,40.1987141414243,177.870416554975
"48",48,"PTA1","VEIGA DE CHAVES",0.00164356007356,0.207572322715,"50","Aq","VEIGA DE CHAVES","Massif","Aq",983600000,2.376894,2.41652501016673,10.6925885405608
"49",49,"PTM17","MONTE GORDO",0.000975707853808,0.167834382896,"45","Aq","MONTE GORDO","Meridional","Aq",0,0,NA,NA
"51",51,"PTO14","POUSOS - CARANGUEJEIRA",0.0107378270958,0.426645940255,"10.75268817","Aq","POUSOS - CARANGUEJEIRA","Western","Aq",8463798000,33.46851,3.9543134181605,17.4969620272588
"55",55,"PTA10","MOURA - FICALHO",0.0190701776537,1.11037764264,"38","Aq","MOURA - FICALHO","Massif","Aq",712994000,100.749729,141.30515684564,625.244056839113
"56",56,"PTA6","VIANA DO ALENTEJO - ALVITO",0.00189711211854,0.342002905997,"15.6","Aq","VIANA DO ALENTEJO - ALVITO","Massif","Aq",279303000,4.205527,15.0572210108735,66.6248717295287
"59",59,"PTA9","GABROS DE BEJA",0.0356369042014,1.51919849806,"20","Aq","GABROS DE BEJA","Massif","Aq",167472000,235.503428,1406.22568548772,6222.23754640585
"62",62,"PTM1","COVÕES",0.0022850163822,0.292725170786,"50","Aq","COVÕES","Meridional","Aq",497733000,1.14362,2.2976575794653,10.166626457811
"63",63,"PTO19","ALPEDRIZ",0.00970551047352,0.430068179858,"28","Aq","ALPEDRIZ","Western","Aq",5642562000,19.730502,3.49672755035744,15.4722457980418
"64",64,"PTA11","ELVAS - CAMPO MAIOR",0.0183024399648,0.937141177547,"10","Aq","ELVAS - CAMPO MAIOR","Massif","Aq",1694355000,64.54513,38.0942187440058,168.558490017725
"65",65,"PTM5","QUERENÇA - SILVES",0.0322590065574,1.65130335437,"45","Aq","QUERENÇA - SILVES","Meridional","Aq",10092968000,120.385928,11.927703327703,52.7774483526682
"66",66,"PTO34","SINES - ZONA NORTE",0.0188235172195,0.752942844393,"50","Aq","SINES - ZONA NORTE","Western","Aq",1557627000,14.122011,9.06636248601238,40.1166481681964
"67",67,"PTO35","SINES - ZONA SUL",0.00686245965045,0.334198143934,"50","Aq","SINES - ZONA SUL","Western","Aq",158656000,6.239936,39.3299717628076,174.026423729237
"68",68,"PTM13","PERAL - MONCARAPACHO",0.00446810198476,0.389235877798,"40","Aq","PERAL - MONCARAPACHO","Meridional","Aq",913731000,14.863464,16.2667831123164,71.9769164261789
"69",69,"PTM16","SÃO BARTOLOMEU",0.00107498852065,0.298368005222,"25","Aq","SÃO BARTOLOMEU","Meridional","Aq",504429000,3.390572,6.72160403148907,29.7416107588012
"70",70,"PTM10","SÃO JOÃO DA VENDA - QUELFES",0.0114810531138,0.86786649416,"20","Aq","SÃO JOÃO DA VENDA - QUELFES","Meridional","Aq",1607558000,56.55533,35.1808954949059,155.667679181
"71",71,"PTM11","CHÃO DE CEVADA - QUINTA JOÃO DE OURÉM",0.00054098348355,0.195213072177,"50","Aq","CHÃO DE CEVADA - QUINTA JOÃO DE OURÉM","Meridional","Aq",6919000,2.909055,420.444428385605,1860.37357692745
"72",72,"PTM8","SÃO BRÁS DE ALPORTEL",0.00349196565917,0.548508057702,"25","Aq","SÃO BRÁS DE ALPORTEL","Meridional","Aq",226387000,9.082083,40.1175111645103,177.511111347391
"74",74,"PTO15","OURÉM",0.0331497689259,0.879412911455,"19","Aq","OURÉM","Western","Aq",30028257000,55.995968,1.86477583430833,8.25122050578908
"75",75,"PTM2","ALMÁDENA - ODEÁXERE",0.00643695477864,0.416333284729,"48.6","Aq","ALMÁDENA - ODEÁXERE","Meridional","Aq",4116756000,13.370978,3.24794036858148,14.371417560095
"76",76,"PTM9","ALMANSIL - MEDRONHAL",0.00236651225816,0.315429963189,"50","Aq","ALMANSIL - MEDRONHAL","Meridional","Aq",144779000,12.937568,89.3608050891359,395.401792429805
