"","GW_ID","codigo","nome","st_area_sh","st_length_","gw_data09_","gw_data0_1","drainage","N.loads.mg.N.","Nc.mg.N.L.","Nc.mg.NO3.L."
"8",8,"PTO33","CALDAS DA RAINHA - NAZARÉ",0.0173780179515,1.08467418505,"29","Aq",2198716878.184,29.022991,13.1999673482159,58.4069351690969
"9",9,"PTO10_C2","LEIROSA - MONTE REAL",0.0235286979122,0.829400043301,"24.8","Aq",3014205345.307,16.89304,5.60447549676793,24.7985641449908
"10",10,"PTA12","LUSO",0.00162068379482,0.326843170749,"29","Aq",7747866.829,0.140593,18.1460269133389,80.2921544838006
"13",13,"PTT6","BACIA DE ALVALADE",0.0719125755003,1.25736561297,"30","Aq",89626810098.55,254.014228,2.83413219460445,12.5404079407277
"15",15,"PTO12","VIEIRA DE LEIRIA - MARINHA GRANDE",0.033685683589,0.867736788054,"31.0237849","Aq",3196547852.576,21.336218,6.67476883939209,29.5343753955402
"17",17,"PTO30","VISO - QUERIDAS",0.0197100820233,0.558853377242,"19.348659","Aq",10124452717.4,23.736735,2.34449561497836,10.3738744025591
"18",18,"PTO31_C2","CONDEIXA - ALFARELOS",0.0196725358123,0.620967439385,"14.6","Aq",6140893985.575,61.887332,10.0779026873569,44.5924897670658
"19",19,"PTO8","VERRIDE",0.00160865100564,0.198593892861,"44.55958549","Aq",2163841133.133,9.982872,4.61349580943862,20.4136982718523
"20",20,"PTO29","LOURIÇAL",0.0619921332665,1.36141429462,"13.8","Aq",12283437626.073,138.795147,11.2993732882554,49.997226939183
"21",21,"PTO2","CRETÁCICO DE AVEIRO",0.0950106722349,1.51476224439,"11.7","Aq",23427432035.069,51.136567,2.18276450118189,9.6582500052296
"23",23,"PTO6_C2","ALUVIÕES DO MONDEGO",0.0160194744731,1.56303194082,"38.3","Aq",19194755024.134,30.899933,1.60981127194115,7.12305872540333
"24",24,"PTO3","CÁRSICO DA BAIRRADA",0.0335524309636,1.27621901111,"11.24","Aq",9320732768.36,51.928527,5.5712923318943,24.6517359818332
"25",25,"PTO5","TENTÚGAL",0.0171571512531,0.873100214098,"13.94052045","Aq",4264591423.3,29.096009,6.82269556727784,30.1889184392825
