nuts2_ID,nuts2_name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
11,Norte,749043,794114,829376,784486,785255,806287,785274,747184,752717,753551,730824,758041,783958,731077,727066,707071
16,Centro,405166,401661,384672,367079,347000,355086,331904,301036,283090,276087,252536,253436,257505,232786,224256,215134
17,AML,83917,91237,91262,88866,81108,91078,85109,80251,79873,78958,69699,83130,81765,74749,77891,80909
18,Alentejo,204352,216109,239304,220535,231263,235966,237992,236011,236636,244570,243394,249317,259732,259907,259397,281703
15,Algarve,13,8,10,55,41,203,334,348,317,300,276,277,316,469,384,458
