"Muni_ID","ID","Muni","barley","maize","oat","rice","rye","triticale","wheat","lemon","orange","other_citrus","tangerine","almonds","chestnut","locust","nuuts","other_dried_nuts","apple","cherry","other_fresh_fruits","peach","pear","horticulture_extensive","horticulture_intensive","other_industry","sunflower","olive_grove","potato","bean","chickpea","other_pulses","vineyard","total"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,76,83.14
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48
1604,"1111604","Monção",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,196
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,7.14
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,40,47.14
1607,"1111607","Ponte de Lima",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.06,0,7.82,3.53,0,0,92.82,0,0,0,0,0,0,0,44,187.23
1608,"1111608","Valença",0,0,0,0,0,0,0,31.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28,0,0,0,0,0,0,0,52,98.26
1609,"1111609","Viana do Castelo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.39,92.82,0,0,0,0,0,0,0,24,138.21
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34,0,7.82,0,0,0,7.14,0,0,0,0,0,0,0,4,23.3
301,"1120301","Amares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.36,0,0,0,0,0,49.98,0,0,0,0,0,0,0,100,167.34
302,"1120302","Barcelos",0,0,0,0,0,0,0,32,11.29,0,0,0,3.45,0,0,0,8.68,0,0,7.06,1.84,99.96,178.5,0,0,40.6,0,0,0,0,236,619.38
303,"1120303","Braga",0,0,0,0,0,0,0,0,0,0,0,0,6.92,0,27.93,0,26.04,0,0,17.65,0,0,35.7,0,0,0,0,0,0,0,172,286.24
306,"1120306","Esposende",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.7,299.88,0,0,0,0,0,0,0,4,339.58
310,"1120310","Terras de Bouro",0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,10.85,0,0,0,0,0,0,0,0,0,0,0,0,0,32,54.14
313,"1120313","Vila Verde",0,0,0,0,0,0,0,0,0,0,0,0,27.6,0,55.86,0,2.17,0,0,0,0,0,14.28,0,0,0,0,0,0,0,212,311.91
307,"1130307","Fafe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28,0,0,0,0,0,0,0,264,278.28
308,"1130308","Guimarães",0,0,0,0,0,0,0,32,11.29,0,0,0,6.92,0,83.79,0,10.85,0,0,3.53,0,21.42,185.64,0,0,0,0,0,0,0,352,707.44
309,"1130309","Póvoa de Lanhoso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.51,0,0,0,0,0,0,0,0,0,0,0,0,0,120,126.51
1314,"1131314","Santo Tirso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.38,0,0,0,0,0,0,0,120,241.38
