Livestock_class,Livestock_subclass,Manure_type,Housing,Yard,Storage,Spreading,Grazing
Bovine,Dairy,slurry,0.2,0.3,0.2,0.55,0.1
Bovine,Dairy,solid,0.19,0.3,0.27,0.79,0.1
Bovine,Beef,slurry,0.2,0.53,0.2,0.55,0.06
Bovine,Beef,solid,0.19,0.53,0.27,0.79,0.06
Swine,Sows,slurry,0.22,0,0.14,0.29,0.25
Swine,Sows,solid,0.25,0,0.45,0.81,0.25
Swine,Other swine,slurry,0.28,0.53,0.14,0.4,0.25
Swine,Other swine,solid,0.27,0.53,0.45,0.81,0.25
Goats,Goats,solid,0.22,0.75,0.28,0.9,0.09
Sheep,Sheep,solid,0.22,0.75,0.28,0.9,0.09
Equides,Horses,solid,0.22,0,0.35,0.9,0.35
Poultry,Hens,solid,0.41,0,0.14,0.69,0.09
Poultry,Broilers,solid,0.28,0,0.17,0.66,0.09
Poultry,Turkeys,solid,0.35,0,0.24,0.54,0.09
Poultry,Other poultry,solid,0.57,0,0.16,0.45,0.09
Rabbits,Rabbits,solid,0.28,0,0.17,0.66,0.09
