"","Muni_ID","ID","Muni","2009"
"1",1601,"1111601","Arcos de Valdevez",19
"2",1602,"1111602","Caminha",0
"3",1603,"1111603","Melgaço",0
"4",1604,"1111604","Monção",2
"5",1605,"1111605","Paredes de Coura",3
"6",1606,"1111606","Ponte da Barca",10
"7",1607,"1111607","Ponte de Lima",120
"8",1608,"1111608","Valença",1
"9",1609,"1111609","Viana do Castelo",12
"10",1610,"1111610","Vila Nova de Cerveira",1
"11",301,"1120301","Amares",8
"12",302,"1120302","Barcelos",14
"13",303,"1120303","Braga",8
"14",306,"1120306","Esposende",1
"15",310,"1120310","Terras de Bouro",1
"16",313,"1120313","Vila Verde",24
"17",307,"1130307","Fafe",1
"18",308,"1130308","Guimarães",6
"19",309,"1130309","Póvoa de Lanhoso",3
"20",1314,"1131314","Santo Tirso",12
"21",1318,"1131318","Trofa",1
"22",311,"1130311","Vieira do Minho",4
"23",312,"1130312","Vila Nova de Famalicão",3
"24",314,"1130314","Vizela",3
"25",107,"1140107","Espinho",0
"26",1304,"1141304","Gondomar",12
"27",1306,"1141306","Maia",1
"28",1308,"1141308","Matosinhos",0
"29",1312,"1141312","Porto",0
"30",1313,"1141313","Póvoa de Varzim",0
"31",1315,"1141315","Valongo",1
"32",1316,"1141316","Vila do Conde",0
"33",1317,"1141317","Vila Nova de Gaia",6
"34",1301,"1151301","Amarante",42
"35",1302,"1151302","Baião",48
"36",304,"1150304","Cabeceiras de Basto",4
"37",106,"1150106","Castelo de Paiva",9
"38",305,"1150305","Celorico de Basto",13
"39",1804,"1151804","Cinfães",40
"40",1303,"1151303","Felgueiras",3
"41",1305,"1151305","Lousada",5
"42",1307,"1151307","Marco de Canaveses",13
"43",1705,"1151705","Mondim de Basto",4
"44",1309,"1151309","Paços de Ferreira",0
"45",1310,"1151310","Paredes",3
"46",1311,"1151311","Penafiel",15
"47",1813,"1151813","Resende",211
"48",1709,"1151709","Ribeira de Pena",21
"49",104,"1160104","Arouca",19
"50",113,"1160113","Oliveira de Azeméis",1
"51",109,"1160109","Santa Maria da Feira",2
"52",116,"1160116","São João da Madeira",0
"53",119,"1160119","Vale de Cambra",2
"54",1701,"1171701","Alijó",111
"55",1801,"1171801","Armamar",149
"56",403,"1170403","Carrazeda de Ansiães",122
"57",404,"1170404","Freixo de Espada à Cinta",50
"58",1805,"1171805","Lamego",91
"59",1704,"1171704","Mesão Frio",2
"60",1807,"1171807","Moimenta da Beira",259
"61",1812,"1171812","Penedono",1449
"62",1708,"1171708","Peso da Régua",45
"63",1710,"1171710","Sabrosa",45
"64",1711,"1171711","Santa Marta de Penaguião",57
"65",1815,"1171815","São João da Pesqueira",361
"66",1818,"1171818","Sernancelhe",926
"67",1819,"1171819","Tabuaço",200
"68",1820,"1171820","Tarouca",177
"69",409,"1170409","Torre de Moncorvo",180
"70",410,"1170410","Vila Flor",120
"71",914,"1170914","Vila Nova de Foz Côa",11
