Muni_ID,ID,Muni,slurry,solid,total
1601,1111601,Arcos de Valdevez,5946,130110,136055
1602,1111602,Caminha,6608,75997,82605
1603,1111603,Melgaço,2344,41269,43613
1604,1111604,Monção,4601,83060,87661
1605,1111605,Paredes de Coura,29229,117458,146687
1606,1111606,Ponte da Barca,7914,111088,119002
1607,1111607,Ponte de Lima,119952,337027,456980
1608,1111608,Valença,16146,47430,63576
1609,1111609,Viana do Castelo,89459,226464,315923
1610,1111610,Vila Nova de Cerveira,17538,29967,47505
301,1120301,Amares,62857,169467,232325
302,1120302,Barcelos,1387519,1418531,2806050
303,1120303,Braga,132600,221346,353946
306,1120306,Esposende,180050,209754,389804
310,1120310,Terras de Bouro,2390,61663,64053
313,1120313,Vila Verde,72214,193005,265219
307,1130307,Fafe,13953,298334,312288
308,1130308,Guimarães,104599,270081,374680
309,1130309,Póvoa de Lanhoso,30258,65877,96135
1314,1131314,Santo Tirso,91664,104443,196107
1318,1131318,Trofa,194555,263714,458268
311,1130311,Vieira do Minho,8522,61206,69728
312,1130312,Vila Nova de Famalicão,556631,496677,1053308
314,1130314,Vizela,6483,10668,17150
107,1140107,Espinho,8288,8405,16694
1304,1141304,Gondomar,8789,37598,46386
1306,1141306,Maia,157032,168587,325620
1308,1141308,Matosinhos,131733,123449,255182
1312,1141312,Porto,60,876,936
1313,1141313,Póvoa de Varzim,602873,510892,1113765
1315,1141315,Valongo,33242,394753,427994
1316,1141316,Vila do Conde,1199667,1025389,2225056
1317,1141317,Vila Nova de Gaia,9150,25141,34291
1301,1151301,Amarante,18758,78364,97122
1302,1151302,Baião,5469,48149,53618
304,1150304,Cabeceiras de Basto,8572,104856,113428
106,1150106,Castelo de Paiva,4899,35322,40222
305,1150305,Celorico de Basto,20820,76521,97341
1804,1151804,Cinfães,4961,52821,57782
1303,1151303,Felgueiras,78849,104975,183825
1305,1151305,Lousada,29740,67470,97210
1307,1151307,Marco de Canaveses,5848,40352,46200
1705,1151705,Mondim de Basto,3402,30874,34277
1309,1151309,Paços de Ferreira,35833,54194,90028
1310,1151310,Paredes,25142,74091,99233
1311,1151311,Penafiel,44442,77691,122134
1813,1151813,Resende,7329,27117,34446
1709,1151709,Ribeira de Pena,15502,55441,70943
104,1160104,Arouca,113286,140849,254135
113,1160113,Oliveira de Azeméis,219101,216964,436065
109,1160109,Santa Maria da Feira,67316,72734,140050
116,1160116,São João da Madeira,0,577,577
119,1160119,Vale de Cambra,23577,65017,88594
1701,1171701,Alijó,2360,24698,27059
1801,1171801,Armamar,1240,8230,9470
403,1170403,Carrazeda de Ansiães,4041,24499,28539
404,1170404,Freixo de Espada à Cinta,763,14184,14947
1805,1171805,Lamego,2364,19268,21632
1704,1171704,Mesão Frio,137,1425,1561
1807,1171807,Moimenta da Beira,72330,111965,184295
1812,1171812,Penedono,10087,26464,36551
1708,1171708,Peso da Régua,435,7800,8235
1710,1171710,Sabrosa,10502,174002,184503
1711,1171711,Santa Marta de Penaguião,270,5825,6096
1815,1171815,São João da Pesqueira,792,11005,11797
1818,1171818,Sernancelhe,17911,118040,135950
1819,1171819,Tabuaço,637,10120,10757
1820,1171820,Tarouca,15421,73224,88645
409,1170409,Torre de Moncorvo,1183,108325,109508
410,1170410,Vila Flor,1521,21952,23473
914,1170914,Vila Nova de Foz Côa,234,11384,11618
1714,1171714,Vila Real,28444,180428,208872
401,1180401,Alfândega da Fé,2888,27068,29956
1702,1181702,Boticas,12892,144017,156909
402,1180402,Bragança,29871,163959,193829
1703,1181703,Chaves,146032,455708,601740
405,1180405,Macedo de Cavaleiros,17797,206992,224789
406,1180406,Miranda do Douro,47105,138507,185612
407,1180407,Mirandela,20744,224255,244998
408,1180408,Mogadouro,203111,283487,486599
1706,1181706,Montalegre,38568,191907,230474
1707,1181707,Murça,6393,24216,30609
1712,1181712,Valpaços,26057,123844,149901
1713,1181713,Vila Pouca de Aguiar,78648,191110,269757
411,1180411,Vimioso,11236,73348,84584
412,1180412,Vinhais,27899,108548,136447
101,1610101,Águeda,56517,185598,242115
102,1610102,Albergaria-a-Velha,67006,308884,375889
103,1610103,Anadia,32226,129891,162117
105,1610105,Aveiro,41703,59283,100985
