"","Muni_ID","ID","Muni","n2o_kgN","n2o_kgNha"
"65",1815,"1171815","São João da Pesqueira",0,0
"66",1818,"1171818","Sernancelhe",0,0
"67",1819,"1171819","Tabuaço",13,0
"68",1820,"1171820","Tarouca",0,0
"69",409,"1170409","Torre de Moncorvo",0,0
"70",410,"1170410","Vila Flor",0,0
"71",914,"1170914","Vila Nova de Foz Côa",0,0
"72",1714,"1171714","Vila Real",0,0
"73",401,"1180401","Alfândega da Fé",24,0
"74",1702,"1181702","Boticas",116,0.01
"75",402,"1180402","Bragança",867,0.02
"76",1703,"1181703","Chaves",0,0
"77",405,"1180405","Macedo de Cavaleiros",0,0
"78",406,"1180406","Miranda do Douro",0,0
"79",407,"1180407","Mirandela",38,0
"80",408,"1180408","Mogadouro",21,0
"81",1706,"1181706","Montalegre",0,0
"82",1707,"1181707","Murça",37,0.01
"83",1712,"1181712","Valpaços",54,0
"84",1713,"1181713","Vila Pouca de Aguiar",0,0
"85",411,"1180411","Vimioso",0,0
"86",412,"1180412","Vinhais",0,0
"87",101,"1610101","Águeda",1013,0.53
"88",102,"1610102","Albergaria-a-Velha",334,0.16
"89",103,"1610103","Anadia",61,0.02
"90",105,"1610105","Aveiro",622,0.26
"91",108,"1610108","Estarreja",7170,2.26
"92",110,"1610110","Ílhavo",217,0.26
"93",111,"1610111","Mealhada",186,0.11
"94",112,"1610112","Murtosa",937,0.65
"95",114,"1610114","Oliveira do Bairro",1096,0.62
"96",115,"1610115","Ovar",1139,0.68
"97",117,"1610117","Sever do Vouga",457,0.71
"98",118,"1610118","Vagos",604,0.24
"99",602,"1620602","Cantanhede",1200,0.21
"100",603,"1620603","Coimbra",2339,0.45
"101",604,"1620604","Condeixa-a-Nova",526,0.28
"102",605,"1620605","Figueira da Foz",4794,0.87
"103",608,"1620608","Mira",449,0.42
"104",610,"1620610","Montemor-o-Velho",412,0.05
"105",613,"1620613","Penacova",61,0.08
"106",615,"1620615","Soure",8806,1.8
"107",1004,"1631004","Batalha",215,0.22
"108",1009,"1631009","Leiria",116,0.02
"109",1010,"1631010","Marinha Grande",10,0.06
"110",1015,"1631015","Pombal",1272,0.31
"111",1016,"1631016","Porto de Mós",32,0.01
"112",1002,"1641002","Alvaiázere",8,0.01
"113",1003,"1641003","Ansião",75,0.03
"114",601,"1640601","Arganil",554,0.4
"115",1007,"1641007","Castanheira de Pêra",6,0.07
"116",1008,"1641008","Figueiró dos Vinhos",36,0.09
"117",606,"1640606","Góis",6,0.04
"118",607,"1640607","Lousã",26,0.06
"119",609,"1640609","Miranda do Corvo",213,0.31
"120",611,"1640611","Oliveira do Hospital",285,0.1
"121",612,"1640612","Pampilhosa da Serra",4,0.01
"122",1013,"1641013","Pedrógão Grande",12,0.02
"123",614,"1640614","Penela",103,0.09
"124",616,"1640616","Tábua",137,0.06
"125",617,"1640617","Vila Nova de Poiares",6,0.02
"126",901,"1650901","Aguiar da Beira",476,0.16
"127",1802,"1651802","Carregal do Sal",50,0.04
"128",1803,"1651803","Castro Daire",55,0.02
"129",1806,"1651806","Mangualde",79,0.02
"130",1808,"1651808","Mortágua",0,0
"131",1809,"1651809","Nelas",61,0.02
"132",1810,"1651810","Oliveira de Frades",40,0.03
"133",1811,"1651811","Penalva do Castelo",31,0.01
"134",1814,"1651814","Santa Comba Dão",66,0.05
"135",1816,"1651816","São Pedro do Sul",218,0.06
"136",1817,"1651817","Sátão",37,0.01
"137",1821,"1651821","Tondela",719,0.17
"138",1822,"1651822","Vila Nova de Paiva",170,0.11
"139",1823,"1651823","Viseu",91,0.02
"140",1824,"1651824","Vouzela",211,0.1
"141",1413,"1661413","Mação",0,0
"142",506,"1660506","Oleiros",77,0.06
"143",508,"1660508","Proença-a-Nova",0,0
"144",509,"1660509","Sertã",19,0.01
"145",510,"1660510","Vila de Rei",4,0.01
"146",905,"1670905","Fornos de Algodres",57,0.02
"147",906,"1670906","Gouveia",607,0.09
"148",912,"1670912","Seia",511,0.09
"149",902,"1680902","Almeida",122,0.01
"150",903,"1680903","Celorico da Beira",0,0
"151",904,"1680904","Figueira de Castelo Rodrigo",132,0.01
"152",907,"1680907","Guarda",485,0.03
"153",908,"1680908","Manteigas",14,0.05
"154",909,"1680909","Mêda",22,0
"155",910,"1680910","Pinhel",60,0
"156",911,"1680911","Sabugal",88,0
"157",913,"1680913","Trancoso",0,0
"158",502,"1690502","Castelo Branco",0,0
"159",505,"1690505","Idanha-a-Nova",0,0
"160",507,"1690507","Penamacor",81,0.01
"161",511,"1690511","Vila Velha de Ródão",30,0.01
"162",501,"16A0501","Belmonte",138,0.03
"163",503,"16A0503","Covilhã",0,0
"164",504,"16A0504","Fundão",323,0.01
"165",1001,"16B1001","Alcobaça",793,0.11
"166",1101,"16B1101","Alenquer",39,0
"167",1102,"16B1102","Arruda dos Vinhos",1,0
"168",1005,"16B1005","Bombarral",73,0.02
"169",1104,"16B1104","Cadaval",0,0
"170",1006,"16B1006","Caldas da Rainha",1283,0.28
"171",1108,"16B1108","Lourinhã",672,0.12
"172",1011,"16B1011","Nazaré",44,0.05
"173",1012,"16B1012","Óbidos",69,0.02
"174",1014,"16B1014","Peniche",139,0.06
"175",1112,"16B1112","Sobral de Monte Agraço",8,0
"176",1113,"16B1113","Torres Vedras",267,0.02
"177",1401,"16C1401","Abrantes",131,0.01
"178",1402,"16C1402","Alcanena",10,0
"179",1408,"16C1408","Constância",0,0
"180",1410,"16C1410","Entroncamento",340,0.67
"181",1411,"16C1411","Ferreira do Zêzere",131,0.06
"182",1421,"16C1421","Ourém",0,0
"183",1417,"16C1417","Sardoal",0,0
"184",1418,"16C1418","Tomar",154,0.02
"185",1419,"16C1419","Torres Novas",0,0
"186",1420,"16C1420","Vila Nova da Barquinha",0,0
"187",1115,"1711115","Amadora",0,0
"188",1105,"1711105","Cascais",0,0
"189",1106,"1711106","Lisboa",2,0.03
"190",1107,"1711107","Loures",195,0.05
"191",1109,"1711109","Mafra",3452,0.37
"192",1116,"1711116","Odivelas",0,0
"193",1110,"1711110","Oeiras",0,0
"194",1111,"1711111","Sintra",27,0.01
"195",1114,"1711114","Vila Franca de Xira",1186,0.09
"196",1502,"1721502","Alcochete",147,0.04
"197",1503,"1721503","Almada",17,0.04
"198",1504,"1721504","Barreiro",7,0.04
"199",1506,"1721506","Moita",126,0.14
"200",1507,"1721507","Montijo",125,0.01
"201",1508,"1721508","Palmela",481,0.02
"202",1510,"1721510","Seixal",50,0.07
"203",1511,"1721511","Sesimbra",115,0.06
"204",1512,"1721512","Setúbal",379,0.13
"205",1501,"1811501","Alcácer do Sal",9305,0.1
"206",1505,"1811505","Grândola",426,0.01
"207",211,"1810211","Odemira",0,0
"208",1509,"1811509","Santiago do Cacém",4311,0.07
"209",1513,"1811513","Sines",224,0.03
"210",1201,"1821201","Alter do Chão",226,0.01
"211",1202,"1821202","Arronches",75,0
"212",1203,"1821203","Avis",4519,0.1
"213",1204,"1821204","Campo Maior",291,0.02
"214",1205,"1821205","Castelo de Vide",21,0
"215",1206,"1821206","Crato",0,0
"216",1207,"1821207","Elvas",975,0.02
"217",1208,"1821208","Fronteira",1929,0.09
"218",1209,"1821209","Gavião",267,0.02
"219",1210,"1821210","Marvão",143,0.02
"220",1211,"1821211","Monforte",1130,0.03
"221",707,"1820707","Mora",670,0.02
"222",1212,"1821212","Nisa",124,0
"223",1213,"1821213","Ponte de Sor",466,0.01
"224",1214,"1821214","Portalegre",87,0
"225",701,"1830701","Alandroal",0,0
"226",702,"1830702","Arraiolos",3013,0.05
"227",703,"1830703","Borba",250,0.03
"228",704,"1830704","Estremoz",2173,0.06
"229",705,"1830705","Évora",4463,0.04
"230",706,"1830706","Montemor-o-Novo",0,0
"231",708,"1830708","Mourão",32,0
"232",709,"1830709","Portel",458,0.01
"233",710,"1830710","Redondo",0,0
"234",711,"1830711","Reguengos de Monsaraz",3563,0.12
"235",1215,"1831215","Sousel",674,0.03
"236",712,"1830712","Vendas Novas",0,0
"237",713,"1830713","Viana do Alentejo",3101,0.08
"238",714,"1830714","Vila Viçosa",35,0
"239",201,"1840201","Aljustrel",2637,0.07
"240",202,"1840202","Almodôvar",11,0
"241",203,"1840203","Alvito",308,0.01
"242",204,"1840204","Barrancos",2,0
"243",205,"1840205","Beja",1133,0.01
"244",206,"1840206","Castro Verde",542,0.01
"245",207,"1840207","Cuba",3112,0.21
"246",208,"1840208","Ferreira do Alentejo",7100,0.13
"247",209,"1840209","Mértola",8,0
"248",210,"1840210","Moura",547,0.01
"249",212,"1840212","Ourique",481,0.01
"250",213,"1840213","Serpa",10283,0.12
"251",214,"1840214","Vidigueira",461,0.02
"252",1403,"1851403","Almeirim",1103,0.11
"253",1404,"1851404","Alpiarça",1004,0.2
"254",1103,"1851103","Azambuja",0,0
"255",1405,"1851405","Benavente",1498,0.05
"256",1406,"1851406","Cartaxo",347,0.05
"257",1407,"1851407","Chamusca",2656,0.08
"258",1409,"1851409","Coruche",112940,2.02
"259",1412,"1851412","Golegã",2856,0.49
"260",1414,"1851414","Rio Maior",187,0.02
"261",1415,"1851415","Salvaterra de Magos",10614,1.29
"262",1416,"1851416","Santarém",2937,0.13
"263",801,"1500801","Albufeira",24,0.01
"264",802,"1500802","Alcoutim",0,0
"265",803,"1500803","Aljezur",0,0
"266",804,"1500804","Castro Marim",2519,0.35
"267",805,"1500805","Faro",0,0
"268",806,"1500806","Lagoa",143,0.1
"269",807,"1500807","Lagos",163,0.07
"270",808,"1500808","Loulé",213,0.02
"271",809,"1500809","Monchique",0,0
"272",810,"1500810","Olhão",0,0
"273",811,"1500811","Portimão",28,0.01
"274",812,"1500812","São Brás de Alportel",2,0
"275",813,"1500813","Silves",0,0
"276",814,"1500814","Tavira",451,0.04
"277",815,"1500815","Vila do Bispo",0,0
"278",816,"1500816","Vila Real de Santo António",60,0.05
