agrarian_region_id,agrarian_region,other_industry,sunflower
Entre Douro e Minho,1,2.5,2.5
Trás-os-Montes,2,2.5,2.5
Beira Litoral,3,2.5,2.5
Beira Interior,4,2.5,2.5
Ribatejo e Oeste,5,2.5,2.5
Alentejo,6,2.5,2.5
Algarve,7,2.5,2.5
