agrarian_region_id,agrarian_region,pear,apple,peach,cherry,other_fresh_fruits
Entre Douro e Minho,1,1.5,1.5,2,3,3.166666667
Trás-os-Montes,2,1.5,1.5,2,3,3.166666667
Beira Litoral,3,1.5,1.5,2,3,3.166666667
Beira Interior,4,1.5,1.5,2,3,3.166666667
Ribatejo e Oeste,5,1.5,1.5,2,3,3.166666667
Alentejo,6,1.5,1.5,2,3,3.166666667
Algarve,7,1.5,1.5,2,3,3.166666667
