"","Muni_ID","ID","Muni","2009"
"1",1601,"1111601","Arcos de Valdevez",158.4
"2",1602,"1111602","Caminha",52.2
"3",1603,"1111603","Melgaço",8.2
"4",1604,"1111604","Monção",68
"5",1605,"1111605","Paredes de Coura",81.4
"6",1606,"1111606","Ponte da Barca",69.6
"7",1607,"1111607","Ponte de Lima",474.2
"8",1608,"1111608","Valença",53
"9",1609,"1111609","Viana do Castelo",292
"10",1610,"1111610","Vila Nova de Cerveira",38.8
"11",301,"1120301","Amares",68
"12",302,"1120302","Barcelos",1511.4
"13",303,"1120303","Braga",428
"14",306,"1120306","Esposende",259.4
"15",310,"1120310","Terras de Bouro",33.8
"16",313,"1120313","Vila Verde",240.6
"17",307,"1130307","Fafe",233.6
"18",308,"1130308","Guimarães",344
"19",309,"1130309","Póvoa de Lanhoso",149.8
"20",1314,"1131314","Santo Tirso",139
"21",1318,"1131318","Trofa",248
"22",311,"1130311","Vieira do Minho",68.2
"23",312,"1130312","Vila Nova de Famalicão",597.8
"24",314,"1130314","Vizela",35.2
"25",107,"1140107","Espinho",0.6
"26",1304,"1141304","Gondomar",47.2
"27",1306,"1141306","Maia",181.2
"28",1308,"1141308","Matosinhos",131.2
"29",1312,"1141312","Porto",2.6
"30",1313,"1141313","Póvoa de Varzim",451.6
"31",1315,"1141315","Valongo",49.2
"32",1316,"1141316","Vila do Conde",844.6
"33",1317,"1141317","Vila Nova de Gaia",43.4
"34",1301,"1151301","Amarante",156.6
"35",1302,"1151302","Baião",112.4
"36",304,"1150304","Cabeceiras de Basto",44.2
"37",106,"1150106","Castelo de Paiva",47
"38",305,"1150305","Celorico de Basto",282.2
"39",1804,"1151804","Cinfães",134
"40",1303,"1151303","Felgueiras",157.2
"41",1305,"1151305","Lousada",103.2
"42",1307,"1151307","Marco de Canaveses",115
"43",1705,"1151705","Mondim de Basto",58.4
"44",1309,"1151309","Paços de Ferreira",83
"45",1310,"1151310","Paredes",139.2
"46",1311,"1151311","Penafiel",122.8
"47",1813,"1151813","Resende",30.6
"48",1709,"1151709","Ribeira de Pena",70.6
"49",104,"1160104","Arouca",160.6
"50",113,"1160113","Oliveira de Azeméis",177.4
"51",109,"1160109","Santa Maria da Feira",90.4
"52",116,"1160116","São João da Madeira",0
"53",119,"1160119","Vale de Cambra",65
"54",1701,"1171701","Alijó",8.2
"55",1801,"1171801","Armamar",0.8
"56",403,"1170403","Carrazeda de Ansiães",56.2
"57",404,"1170404","Freixo de Espada à Cinta",21.4
"58",1805,"1171805","Lamego",13
"59",1704,"1171704","Mesão Frio",0
"60",1807,"1171807","Moimenta da Beira",161.8
"61",1812,"1171812","Penedono",33.4
"62",1708,"1171708","Peso da Régua",0.4
"63",1710,"1171710","Sabrosa",2.8
"64",1711,"1171711","Santa Marta de Penaguião",0.2
"65",1815,"1171815","São João da Pesqueira",62
"66",1818,"1171818","Sernancelhe",137
"67",1819,"1171819","Tabuaço",5.2
"68",1820,"1171820","Tarouca",12.2
"69",409,"1170409","Torre de Moncorvo",16.4
"70",410,"1170410","Vila Flor",16.6
"71",914,"1170914","Vila Nova de Foz Côa",9.4
"72",1714,"1171714","Vila Real",74
"73",401,"1180401","Alfândega da Fé",5
"74",1702,"1181702","Boticas",99.2
"75",402,"1180402","Bragança",330
"76",1703,"1181703","Chaves",268.6
"77",405,"1180405","Macedo de Cavaleiros",129.6
"78",406,"1180406","Miranda do Douro",105
"79",407,"1180407","Mirandela",80.8
"80",408,"1180408","Mogadouro",258.4
"81",1706,"1181706","Montalegre",396.6
"82",1707,"1181707","Murça",36.4
"83",1712,"1181712","Valpaços",198.4
"84",1713,"1181713","Vila Pouca de Aguiar",276.8
"85",411,"1180411","Vimioso",115.6
"86",412,"1180412","Vinhais",187.4
"87",101,"1610101","Águeda",107.2
"88",102,"1610102","Albergaria-a-Velha",170.6
"89",103,"1610103","Anadia",17.4
"90",105,"1610105","Aveiro",51.8
"91",108,"1610108","Estarreja",268.2
"92",110,"1610110","Ílhavo",11.6
"93",111,"1610111","Mealhada",21.6
"94",112,"1610112","Murtosa",145.2
"95",114,"1610114","Oliveira do Bairro",41
"96",115,"1610115","Ovar",138.2
"97",117,"1610117","Sever do Vouga",38.2
"98",118,"1610118","Vagos",103
"99",602,"1620602","Cantanhede",75.6
"100",603,"1620603","Coimbra",12.6
"101",604,"1620604","Condeixa-a-Nova",14.6
