Muni_ID,ID,Muni,grazing,fertiliser,sludge,manure,leaching_large,leaching_small,leaching_gw,SUM,nha
1601,1111601,Arcos de Valdevez,532.274,114.195,0,143.518,16.869,0.412,140.521,947.789,0.0512928347223726
1602,1111602,Caminha,16.469,0,5.163,44.066,24.755,1.458,269.103,361.014,0.109664034021871
1603,1111603,Melgaço,110.545,3.563,2.576,48.974,3.47,0,166.667,335.795,0.0212394054395952
1604,1111604,Monção,148.605,77.79,3.718,68.325,5.376,0,167.914,471.728,0.0693615644758124
1605,1111605,Paredes de Coura,138.091,30.33,2.132,116.385,0,0.476,142.343,429.757,0.108826791592808
1606,1111606,Ponte da Barca,129.682,2.466,3.332,129.953,5.327,2.401,92.604,365.765,0.0955
1607,1111607,Ponte de Lima,151.831,321.876,2.985,270.687,32.5,6.206,983.625,1769.71,0.200148156525673
1608,1111608,Valença,32.684,49.772,2.384,30.493,8.722,0,135.328,259.383,0.0940134106560348
1609,1111609,Viana do Castelo,39.771,81.078,6.316,72.084,36.039,32.042,911.173,1178.503,0.166619963240492
1610,1111610,Vila Nova de Cerveira,18.104,31.653,5.41,26.819,4.097,9.224,103.597,198.904,0.14486817188638
301,1120301,Amares,57.105,3.926,0,143.283,14.283,4.936,175.217,398.75,0.206820539419087
302,1120302,Barcelos,167.695,422.93,11.194,623.213,8.561,3.535,496.122,1733.25,0.157783340919436
303,1120303,Braga,102.057,253.161,11.809,143.389,19.766,0.288,740.162,1270.632,0.344438059094606
306,1120306,Esposende,11.689,49.54,2.076,52.347,22.733,23.344,359.216,520.945,0.247362298195632
310,1120310,Terras de Bouro,115.353,24.156,1.03,81.286,7.024,0.088,86.3,315.237,0.0464540229885057
313,1120313,Vila Verde,165.125,297.546,0.417,161.691,13.183,15.248,617.33,1270.54,0.248930250783699
307,1130307,Fafe,136.413,18.577,4.586,291.175,0,2.971,430.832,884.554,0.292414545454545
308,1130308,Guimarães,108.718,311.966,29.277,202.855,0,34.939,697.521,1385.276,0.322307119590507
309,1130309,Póvoa de Lanhoso,86.284,161.074,0.307,69.366,4.476,5.29,253.753,580.55,0.285563207083128
1314,1131314,Santo Tirso,35.66,108.306,50.871,90.276,0,17.39,271.822,574.325,0.264178932842686
1318,1131318,Trofa,20.572,48.188,0,98.003,5.268,1.002,100.546,273.579,0.170880074953154
311,1130311,Vieira do Minho,215.584,91.298,0.086,81.072,5.829,0,79.357,473.226,0.0799638391348429
312,1130312,Vila Nova de Famalicão,87.268,235.233,42.729,316.783,6.45,7.95,408.297,1104.71,0.207379388023278
314,1130314,Vizela,7.205,54.14,0,12.559,0,5.863,76.389,156.156,0.369163120567376
107,1140107,Espinho,0.162,0.035,0.522,0.637,0.023,0.093,3.734,5.206,0.0743714285714286
1304,1141304,Gondomar,22.776,81.545,13.637,33.558,8.753,0,152.5,312.769,0.25784748557296
1306,1141306,Maia,11.087,31.384,5.113,36.664,0,0,127.839,212.087,0.123378126817917
1308,1141308,Matosinhos,11.614,36.583,4.122,45.77,0,0,14.793,112.882,0.0984149956408021
1312,1141312,Porto,0.907,4.058,0,0.669,0,0,0.731,6.365,0.155243902439024
1313,1141313,Póvoa de Varzim,18.537,45.043,0,98.926,0,0,0,162.506,0.0488592904389657
1315,1141315,Valongo,8.011,1.185,18.878,121.072,0,0,884.279,1033.425,1.57294520547945
1316,1141316,Vila do Conde,52.118,125.536,0.038,265.503,0,0,0,443.195,0.0727264522481129
1317,1141317,Vila Nova de Gaia,8.99,12.495,49.771,13.044,6.594,0,223.287,314.181,0.333171792152704
1301,1151301,Amarante,89.231,531.539,6.757,106.049,23.188,1.239,629.333,1387.336,0.158588934613626
1302,1151302,Baião,94.238,229.118,0,72.431,7.948,0,243.621,647.356,0.133475463917526
304,1150304,Cabeceiras de Basto,234.216,142.22,0,133.408,1.981,1.619,240.831,754.275,0.134740085744909
106,1150106,Castelo de Paiva,57.395,193.016,0,52.434,18.486,2.014,191.474,514.819,0.382480683506686
305,1150305,Celorico de Basto,123.641,348.578,1.592,95.153,5.299,0,464.744,1039.007,0.321574435159393
1804,1151804,Cinfães,232.455,278.76,0,76.988,8.976,0.201,237.278,834.658,0.187353086419753
1303,1151303,Felgueiras,56.512,175.58,2.585,130.235,0,6.903,339.755,711.57,0.244190116678106
1305,1151305,Lousada,29.503,178.199,0.792,46.357,0,0,453.115,707.966,0.295972408026756
1307,1151307,Marco de Canaveses,75.098,278.316,12.943,53.216,18.432,0,273.227,711.232,0.221223017107309
1705,1151705,Mondim de Basto,99.238,162.737,0,40.064,4.796,0.656,220.343,527.834,0.0987713323353293
1309,1151309,Paços de Ferreira,14.007,40.766,3.384,25.09,0,0.232,154.032,237.511,0.230817298347911
1310,1151310,Paredes,30.344,122.242,0,48.242,0,4.183,329.654,534.665,0.268002506265664
1311,1151311,Penafiel,44.945,260.818,11.518,83.548,10.822,5.116,362.251,779.018,0.23728845568078
1813,1151813,Resende,57.319,166.118,1.536,45.391,6.711,0.999,133.498,411.572,0.120801878485471
1709,1151709,Ribeira de Pena,182.906,196.566,0.032,79.193,4.98,10.306,224.089,698.072,0.0951700068166326
104,1160104,Arouca,174.589,250.229,0,224.355,0,0.653,150.77,800.596,0.179626654700471
113,1160113,Oliveira de Azeméis,45.782,103.434,1.543,197.637,0,0,0,348.396,0.217339987523394
109,1160109,Santa Maria da Feira,21.977,85.533,0.01,55.006,0,2.182,279.984,444.692,0.358622580645161
116,1160116,São João da Madeira,0,0,0,0,0,0,0,0,
119,1160119,Vale de Cambra,57.739,73.633,0,81.327,0,0.934,104.026,317.659,0.169689636752137
1701,1171701,Alijó,32.175,158.031,0.911,28.464,8.4,0.076,178.453,406.51,0.0471152063050533
1801,1171801,Armamar,4.738,106.82,0.86,9.356,3.12,0.042,179.551,304.487,0.0670971793741737
403,1170403,Carrazeda de Ansiães,40.386,171.996,0.075,28.888,7.041,2.93,194.926,446.242,0.0656721118469463
404,1170404,Freixo de Espada à Cinta,40.785,181.513,0,15.813,16.166,0.188,219.147,473.612,0.0658617716590182
1805,1171805,Lamego,29.238,95.292,3.395,23.974,2.634,1.475,112.282,268.29,0.0497293790546803
1704,1171704,Mesão Frio,0.241,0.883,0,0.92,0,0,0,2.044,0.00190316573556797
1807,1171807,Moimenta da Beira,16.546,9.547,0.986,47.516,0.037,0.023,4.855,79.51,0.0188100307546723
1812,1171812,Penedono,17.365,146.657,0,21.349,0,1.964,360.915,548.25,0.158591264101822
1708,1171708,Peso da Régua,6.152,88.294,9.693,8.566,1.609,0,126.618,240.932,0.05740576602335
1710,1171710,Sabrosa,16.235,1.572,0.429,184.189,4.735,3.844,325.613,536.617,0.105570922683455
1711,1171711,Santa Marta de Penaguião,5.371,91.03,0,7.601,0,0,111.834,215.836,0.0602557230597432
1815,1171815,São João da Pesqueira,25.066,438.407,1.96,14.843,7.108,4.371,609.838,1101.593,0.0840589851201831
1818,1171818,Sernancelhe,15.682,46.999,0,53.618,4.4,3.135,298.344,422.178,0.0831550128028363
