Muni_ID,ID,Muni,grazing,fertiliser,sludge,manure,SUM
1601,1111601,Arcos de Valdevez,532.274,114.195,0,143.518,789.987
1602,1111602,Caminha,16.469,0,5.163,44.066,65.698
1603,1111603,Melgaço,110.545,3.563,2.576,48.974,165.658
1604,1111604,Monção,148.605,77.79,3.718,68.325,298.438
1605,1111605,Paredes de Coura,138.091,30.33,2.132,116.385,286.938
1606,1111606,Ponte da Barca,129.682,2.466,3.332,129.953,265.433
1607,1111607,Ponte de Lima,151.831,321.876,2.985,270.687,747.379
1608,1111608,Valença,32.684,49.772,2.384,30.493,115.333
1609,1111609,Viana do Castelo,39.771,81.078,6.316,72.084,199.249
1610,1111610,Vila Nova de Cerveira,18.104,31.653,5.41,26.819,81.986
301,1120301,Amares,57.105,3.926,0,143.283,204.314
302,1120302,Barcelos,167.695,422.93,11.194,623.213,1225.032
303,1120303,Braga,102.057,253.161,11.809,143.389,510.416
306,1120306,Esposende,11.689,49.54,2.076,52.347,115.652
310,1120310,Terras de Bouro,115.353,24.156,1.03,81.286,221.825
313,1120313,Vila Verde,165.125,297.546,0.417,161.691,624.779
307,1130307,Fafe,136.413,18.577,4.586,291.175,450.751
308,1130308,Guimarães,108.718,311.966,29.277,202.855,652.816
309,1130309,Póvoa de Lanhoso,86.284,161.074,0.307,69.366,317.031
1314,1131314,Santo Tirso,35.66,108.306,50.871,90.276,285.113
1318,1131318,Trofa,20.572,48.188,0,98.003,166.763
311,1130311,Vieira do Minho,215.584,91.298,0.086,81.072,388.04
312,1130312,Vila Nova de Famalicão,87.268,235.233,42.729,316.783,682.013
314,1130314,Vizela,7.205,54.14,0,12.559,73.904
107,1140107,Espinho,0.162,0.035,0.522,0.637,1.356
1304,1141304,Gondomar,22.776,81.545,13.637,33.558,151.516
1306,1141306,Maia,11.087,31.384,5.113,36.664,84.248
1308,1141308,Matosinhos,11.614,36.583,4.122,45.77,98.089
1312,1141312,Porto,0.907,4.058,0,0.669,5.634
1313,1141313,Póvoa de Varzim,18.537,45.043,0,98.926,162.506
1315,1141315,Valongo,8.011,1.185,18.878,121.072,149.146
1316,1141316,Vila do Conde,52.118,125.536,0.038,265.503,443.195
1317,1141317,Vila Nova de Gaia,8.99,12.495,49.771,13.044,84.3
1301,1151301,Amarante,89.231,531.539,6.757,106.049,733.576
1302,1151302,Baião,94.238,229.118,0,72.431,395.787
304,1150304,Cabeceiras de Basto,234.216,142.22,0,133.408,509.844
106,1150106,Castelo de Paiva,57.395,193.016,0,52.434,302.845
305,1150305,Celorico de Basto,123.641,348.578,1.592,95.153,568.964
1804,1151804,Cinfães,232.455,278.76,0,76.988,588.203
1303,1151303,Felgueiras,56.512,175.58,2.585,130.235,364.912
1305,1151305,Lousada,29.503,178.199,0.792,46.357,254.851
1307,1151307,Marco de Canaveses,75.098,278.316,12.943,53.216,419.573
1705,1151705,Mondim de Basto,99.238,162.737,0,40.064,302.039
1309,1151309,Paços de Ferreira,14.007,40.766,3.384,25.09,83.247
1310,1151310,Paredes,30.344,122.242,0,48.242,200.828
1311,1151311,Penafiel,44.945,260.818,11.518,83.548,400.829
1813,1151813,Resende,57.319,166.118,1.536,45.391,270.364
1709,1151709,Ribeira de Pena,182.906,196.566,0.032,79.193,458.697
104,1160104,Arouca,174.589,250.229,0,224.355,649.173
113,1160113,Oliveira de Azeméis,45.782,103.434,1.543,197.637,348.396
109,1160109,Santa Maria da Feira,21.977,85.533,0.01,55.006,162.526
116,1160116,São João da Madeira,0,0,0,0,0
119,1160119,Vale de Cambra,57.739,73.633,0,81.327,212.699
