Muni_ID,ID,Muni,grazing,fertiliser,sludge,manure,SUM
601,1640601,Arganil,10.443,22.12,0,12.996,45.559
1007,1641007,Castanheira de Pêra,0.972,1.221,0,0.96,3.153
1008,1641008,Figueiró dos Vinhos,1.956,7.242,0,3.519,12.717
606,1640606,Góis,2.727,0.073,0,8.536,11.336
607,1640607,Lousã,1.905,0.436,0.04,11.117,13.498
609,1640609,Miranda do Corvo,2.186,7.867,0,3.003,13.056
611,1640611,Oliveira do Hospital,16.838,0.157,0.379,158.188,175.562
612,1640612,Pampilhosa da Serra,2.547,10.506,0,5.378,18.431
1013,1641013,Pedrógão Grande,1.37,6.858,0,1.767,9.995
614,1640614,Penela,5.548,12.497,0,4.148,22.193
616,1640616,Tábua,10.047,21.027,0,7.535,38.609
617,1640617,Vila Nova de Poiares,0.731,2.838,0,1.251,4.82
901,1650901,Aguiar da Beira,13.685,6.61,0,32.748,53.043
1802,1651802,Carregal do Sal,4.366,0.167,0,11.681,16.214
1803,1651803,Castro Daire,32.471,16.044,0,54.6,103.115
1806,1651806,Mangualde,14.736,41.388,0,17.468,73.592
1808,1651808,Mortágua,10.838,0.435,0,61.745,73.018
1809,1651809,Nelas,4.776,4.209,0,11.914,20.899
1810,1651810,Oliveira de Frades,29.779,0.291,0,165.752,195.822
1811,1651811,Penalva do Castelo,7.485,35.771,0,9.746,53.002
1814,1651814,Santa Comba Dão,7.397,0.506,0.013,38.685,46.601
1816,1651816,São Pedro do Sul,54.417,2.583,1.401,129.572,187.973
1817,1651817,Sátão,9.091,0.406,0,36.723,46.22
1821,1651821,Tondela,33.316,2.457,0.164,123.662,159.599
1822,1651822,Vila Nova de Paiva,7.698,0.113,0,31.662,39.473
1823,1651823,Viseu,18.17,47.044,0.035,36.043,101.292
1824,1651824,Vouzela,24.413,0.437,0,102.234,127.084
1413,1661413,Mação,8.497,14.426,0,8.636,31.559
506,1660506,Oleiros,6.784,0,0,35.924,42.708
508,1660508,Proença-a-Nova,19.159,54.939,0,17.662,91.76
509,1660509,Sertã,13.54,8.867,0,32.965,55.372
510,1660510,Vila de Rei,0.79,0.355,0,2.406,3.551
905,1670905,Fornos de Algodres,10.07,30.298,0,8.93,49.298
906,1670906,Gouveia,22.866,20.791,0,15.97,59.627
