Muni_ID,ID,Muni,grazing,fertiliser,sludge,manure,leaching_large,leaching_small,leaching_gw,SUM,nha
1601,1111601,Arcos de Valdevez,212.91,45.678,0,57.407,5.848,0.143,56.208,378.194,0.0204672583612945
1602,1111602,Caminha,6.588,0,2.065,17.626,8.582,0.506,107.641,143.008,0.0434410692588092
1603,1111603,Melgaço,44.218,1.425,1.031,19.59,1.203,0,66.667,134.134,0.00848412397216952
1604,1111604,Monção,59.442,31.116,1.487,27.33,1.864,0,67.166,188.405,0.0277025437435671
1605,1111605,Paredes de Coura,55.236,12.132,0.853,46.554,0,0.165,56.937,171.877,0.0435241833375538
1606,1111606,Ponte da Barca,51.873,0.986,1.333,51.981,1.847,0.832,37.042,145.894,0.0380924281984334
1607,1111607,Ponte de Lima,60.733,128.75,1.194,108.275,11.267,2.151,393.45,705.82,0.0798258312598959
1608,1111608,Valença,13.073,19.909,0.954,12.197,3.024,0,54.131,103.288,0.0374367524465386
1609,1111609,Viana do Castelo,15.908,32.431,2.526,28.834,12.494,11.108,364.469,467.77,0.0661345963523257
1610,1111610,Vila Nova de Cerveira,7.241,12.661,2.164,10.727,1.42,3.198,41.439,78.85,0.057428987618354
301,1120301,Amares,22.842,1.57,0,57.313,4.951,1.711,70.087,158.474,0.0821960580912863
302,1120302,Barcelos,67.078,169.172,4.478,249.285,2.968,1.225,198.449,692.655,0.0630546199362768
303,1120303,Braga,40.823,101.265,4.724,57.356,6.852,0.1,296.065,507.185,0.137485768500949
306,1120306,Esposende,4.676,19.816,0.831,20.939,7.881,8.093,143.687,205.923,0.0977792022792023
310,1120310,Terras de Bouro,46.141,9.662,0.412,32.514,2.435,0.031,34.52,125.715,0.018525641025641
313,1120313,Vila Verde,66.05,119.019,0.167,64.677,4.57,5.286,246.932,506.701,0.0992752742946709
307,1130307,Fafe,54.565,7.431,1.834,116.47,0,1.03,172.333,353.663,0.116913388429752
308,1130308,Guimarães,43.487,124.786,11.711,81.142,0,12.112,279.009,552.247,0.128489297347604
309,1130309,Póvoa de Lanhoso,34.514,64.429,0.123,27.746,1.552,1.834,101.501,231.699,0.11396901131333
1314,1131314,Santo Tirso,14.264,43.322,20.348,36.11,0,6.029,108.729,228.802,0.105244710211592
1318,1131318,Trofa,8.229,19.275,0,39.201,1.826,0.347,40.218,109.096,0.0681424109931293
