Muni_ID,ID,Muni,fert09_N,fert09_nha
1601,1111601,Arcos de Valdevez,8005,0.4
1602,1111602,Caminha,0,0
1603,1111603,Melgaço,1035,0.1
1604,1111604,Monção,6723,1
1605,1111605,Paredes de Coura,4637,1.2
1606,1111606,Ponte da Barca,1656,0.4
1607,1111607,Ponte de Lima,32693,3.7
1608,1111608,Valença,5675,2.1
1609,1111609,Viana do Castelo,21185,3
1610,1111610,Vila Nova de Cerveira,3211,2.3
301,1120301,Amares,4515,2.3
302,1120302,Barcelos,115406,10.5
303,1120303,Braga,32304,8.8
306,1120306,Esposende,21159,10
310,1120310,Terras de Bouro,2490,0.4
313,1120313,Vila Verde,26800,5.3
307,1130307,Fafe,9103,3
308,1130308,Guimarães,30928,7.2
309,1130309,Póvoa de Lanhoso,11485,5.6
1314,1131314,Santo Tirso,14416,6.6
1318,1131318,Trofa,18533,11.6
311,1130311,Vieira do Minho,5257,0.9
312,1130312,Vila Nova de Famalicão,48168,9
314,1130314,Vizela,3661,8.7
107,1140107,Espinho,42,0.6
1304,1141304,Gondomar,7525,6.2
1306,1141306,Maia,16928,9.8
1308,1141308,Matosinhos,12378,10.8
1312,1141312,Porto,312,7.6
1313,1141313,Póvoa de Varzim,33878,10.2
1315,1141315,Valongo,199,0.3
1316,1141316,Vila do Conde,67090,11
1317,1141317,Vila Nova de Gaia,3639,3.9
1301,1151301,Amarante,26383,3
1302,1151302,Baião,10151,2.1
304,1150304,Cabeceiras de Basto,8457,1.5
106,1150106,Castelo de Paiva,8613,6.4
305,1150305,Celorico de Basto,18725,5.8
1804,1151804,Cinfães,11977,2.7
1303,1151303,Felgueiras,16898,5.8
1305,1151305,Lousada,18580,7.8
1307,1151307,Marco de Canaveses,13290,4.1
1705,1151705,Mondim de Basto,7868,1.5
1309,1151309,Paços de Ferreira,7622,7.4
1310,1151310,Paredes,12978,6.5
1311,1151311,Penafiel,18843,5.7
1813,1151813,Resende,7349,2.2
1709,1151709,Ribeira de Pena,9467,1.3
104,1160104,Arouca,14608,3.3
113,1160113,Oliveira de Azeméis,14831,9.3
109,1160109,Santa Maria da Feira,11383,9.2
116,1160116,São João da Madeira,0,0
119,1160119,Vale de Cambra,4283,2.3
1701,1171701,Alijó,8535,1
1801,1171801,Armamar,5719,1.3
403,1170403,Carrazeda de Ansiães,9335,1.4
404,1170404,Freixo de Espada à Cinta,9446,1.3
1805,1171805,Lamego,4616,0.9
1704,1171704,Mesão Frio,54,0.1
1807,1171807,Moimenta da Beira,3117,0.7
1812,1171812,Penedono,12330,3.6
1708,1171708,Peso da Régua,3715,0.9
1710,1171710,Sabrosa,1844,0.4
1711,1171711,Santa Marta de Penaguião,3022,0.8
1815,1171815,São João da Pesqueira,18435,1.4
1818,1171818,Sernancelhe,8384,1.7
1819,1171819,Tabuaço,7040,1.7
1820,1171820,Tarouca,1842,1
409,1170409,Torre de Moncorvo,16029,1.1
410,1170410,Vila Flor,16935,1.8
914,1170914,Vila Nova de Foz Côa,14998,1.2
1714,1171714,Vila Real,4032,0.4
401,1180401,Alfândega da Fé,21650,1.8
1702,1181702,Boticas,7342,0.5
402,1180402,Bragança,75555,2.1
1703,1181703,Chaves,31509,1.6
405,1180405,Macedo de Cavaleiros,42140,1.9
406,1180406,Miranda do Douro,16602,0.8
407,1180407,Mirandela,43073,1.7
408,1180408,Mogadouro,40522,1.2
1706,1181706,Montalegre,17846,0.3
1707,1181707,Murça,3554,0.7
1712,1181712,Valpaços,60050,2.7
1713,1181713,Vila Pouca de Aguiar,7633,0.7
411,1180411,Vimioso,20943,1.4
412,1180412,Vinhais,49072,2.8
101,1610101,Águeda,7753,4.1
102,1610102,Albergaria-a-Velha,7906,3.8
103,1610103,Anadia,6063,1.8
105,1610105,Aveiro,16795,6.9
108,1610108,Estarreja,14065,4.4
110,1610110,Ílhavo,3266,4
111,1610111,Mealhada,1663,1
112,1610112,Murtosa,7653,5.3
114,1610114,Oliveira do Bairro,7062,4
115,1610115,Ovar,5141,3.1
117,1610117,Sever do Vouga,358,0.6
118,1610118,Vagos,12505,5
602,1620602,Cantanhede,14780,2.6
603,1620603,Coimbra,35297,6.8
604,1620604,Condeixa-a-Nova,8113,4.3
605,1620605,Figueira da Foz,27889,5.1
608,1620608,Mira,2758,2.6
610,1620610,Montemor-o-Velho,55943,6.6
613,1620613,Penacova,3980,5
615,1620615,Soure,16542,3.4
1004,1631004,Batalha,1075,1.1
1009,1631009,Leiria,2569,0.5
1010,1631010,Marinha Grande,839,5.4
1015,1631015,Pombal,10712,2.6
1016,1631016,Porto de Mós,2764,0.8
1002,1641002,Alvaiázere,3421,2.4
1003,1641003,Ansião,5547,2.3
601,1640601,Arganil,3787,2.7
1007,1641007,Castanheira de Pêra,226,2.5
1008,1641008,Figueiró dos Vinhos,1177,3.1
606,1640606,Góis,609,3.6
607,1640607,Lousã,383,0.9
609,1640609,Miranda do Corvo,1848,2.7
611,1640611,Oliveira do Hospital,3685,1.2
612,1640612,Pampilhosa da Serra,1094,2.5
1013,1641013,Pedrógão Grande,1681,3.4
614,1640614,Penela,2975,2.6
616,1640616,Tábua,5794,2.7
617,1640617,Vila Nova de Poiares,880,3.4
901,1650901,Aguiar da Beira,7026,2.3
1802,1651802,Carregal do Sal,1519,1.1
1803,1651803,Castro Daire,6519,2.1
1806,1651806,Mangualde,10279,2.7
1808,1651808,Mortágua,637,0.7
1809,1651809,Nelas,3297,1.2
1810,1651810,Oliveira de Frades,1098,0.7
1811,1651811,Penalva do Castelo,7152,2.8
1814,1651814,Santa Comba Dão,620,0.5
1816,1651816,São Pedro do Sul,5952,1.6
1817,1651817,Sátão,4802,1.7
1821,1651821,Tondela,3241,0.8
1822,1651822,Vila Nova de Paiva,0,0
1823,1651823,Viseu,15593,2.7
1824,1651824,Vouzela,1498,0.7
1413,1661413,Mação,3262,2
506,1660506,Oleiros,0,0
508,1660508,Proença-a-Nova,8458,2.1
509,1660509,Sertã,4883,2
510,1660510,Vila de Rei,623,1.8
905,1670905,Fornos de Algodres,7053,2.5
906,1670906,Gouveia,6323,1
912,1670912,Seia,8094,1.5
902,1680902,Almeida,7198,0.4
903,1680903,Celorico da Beira,8040,1
