EMEP50_i,EMEP50_j,LON,LAT,Unit,1990,1999,2009
50,11,-9.011282,41.3196487,mg N/m2,194,152,140.9
50,12,-8.8014107,41.6882591,mg N/m2,332,331.7,288.6
50,13,-8.587883,42.0573502,mg N/m2,373,430.4,338.2
51,6,-9.5367889,39.335537,mg N/m2,91,149.2,135.7
51,8,-9.1412392,40.064476,mg N/m2,98,150.4,132.3
51,9,-8.9384804,40.4297714,mg N/m2,62,204.1,201.9
51,10,-8.7322922,40.7955894,mg N/m2,273,307.3,232.9
51,11,-8.5225983,41.1619034,mg N/m2,462,471.9,448.9
51,12,-8.3093109,41.5286942,mg N/m2,371,414.7,354.4
51,13,-8.0923386,41.8959465,mg N/m2,276,364.1,225.6
52,4,-9.4569378,38.460434,mg N/m2,92,163.7,132.8
52,5,-9.2639961,38.8217697,mg N/m2,86,411.5,369.6
52,6,-9.0679016,39.1836853,mg N/m2,93,386.7,250.6
52,7,-8.868578,39.5461655,mg N/m2,51,443.8,316.1
52,8,-8.6659603,39.9091797,mg N/m2,93,459.6,368.8
52,9,-8.4599628,40.2727089,mg N/m2,81,436.8,353.7
52,10,-8.2505054,40.6367455,mg N/m2,344,439.9,331
52,11,-8.0375118,41.0012474,mg N/m2,298,383.6,278.3
52,12,-7.8208942,41.3661957,mg N/m2,261,338.7,237.9
52,13,-7.600565,41.7315712,mg N/m2,207,315.5,182.7
52,14,-7.3764343,42.0973549,mg N/m2,264,337.4,228.1
53,4,-8.9974022,38.3092117,mg N/m2,20,186.6,175.1
53,5,-8.8014088,38.6688652,mg N/m2,54,519.5,317.4
53,6,-8.6022377,39.0290756,mg N/m2,91,392.4,239.2
53,7,-8.3998089,39.3898239,mg N/m2,83,448.1,252.1
53,8,-8.1940575,39.7510796,mg N/m2,14,393.5,285.5
53,9,-7.9848976,40.1128273,mg N/m2,89,381.8,263.9
53,10,-7.772253,40.4750481,mg N/m2,268,345.9,231.8
53,11,-7.5560436,40.8377151,mg N/m2,224,332.1,187.4
53,12,-7.3361855,41.2008018,mg N/m2,208,284.6,167.9
53,13,-7.112587,41.5642967,mg N/m2,220,267.1,176.9
53,14,-6.8851662,41.9281578,mg N/m2,243,297.6,180.9
54,1,-9.1193619,37.0848541,mg N/m2,9,0,89.8
54,2,-8.9295864,37.4410934,mg N/m2,79,222.3,194.5
54,3,-8.7368145,37.7979202,mg N/m2,77,459.7,307.8
54,4,-8.5409737,38.155323,mg N/m2,20,478.8,285.6
54,5,-8.3420029,38.5132675,mg N/m2,88,412.3,238.2
54,6,-8.1398258,38.8717461,mg N/m2,69,372.3,216.8
54,7,-7.9343662,39.2307434,mg N/m2,67,344.4,230.9
54,8,-7.7255573,39.5902176,mg N/m2,54,312.3,208.1
54,9,-7.5133171,39.950161,mg N/m2,36,297.6,196.5
54,10,-7.2975674,40.3105583,mg N/m2,218,262.2,176.2
54,11,-7.078228,40.6713676,mg N/m2,188,233.3,148.2
54,12,-6.8552132,41.0325699,mg N/m2,202,252.4,163.1
54,13,-6.628437,41.3941574,mg N/m2,218,219.2,161.6
54,14,-6.39781,41.7560806,mg N/m2,240,263.4,164.1
55,1,-8.6746502,36.9333572,mg N/m2,93,0,84.4
55,2,-8.4820404,37.287941,mg N/m2,24,459.3,244.9
55,3,-8.2864056,37.6430893,mg N/m2,72,373.4,214
55,4,-8.0876827,37.9987946,mg N/m2,86,217.8,150.8
55,5,-7.8858013,38.3550148,mg N/m2,20,268.8,171.1
55,6,-7.6806927,38.7117462,mg N/m2,24,292.1,175.3
55,7,-7.4722786,39.0689621,mg N/m2,3,233.2,166.4
55,8,-7.2604923,39.4266472,mg N/m2,27,261.7,177.3
55,9,-7.0452518,39.7847633,mg N/m2,23,255.8,171.5
55,10,-6.8264751,40.1433067,mg N/m2,227,257.9,184
55,11,-6.6040897,40.502243,mg N/m2,218,238.6,171.6
55,13,-6.1481361,41.2212029,mg N/m2,203,213.6,149.8
55,14,-5.9144001,41.5811691,mg N/m2,216,220.2,143.7
56,2,-8.0375099,37.1322327,mg N/m2,99,318.7,208.1
56,3,-7.8390846,37.4856834,mg N/m2,41,298.3,165.9
56,4,-7.6375465,37.8396683,mg N/m2,97,205.1,148.2
56,5,-7.4328289,38.1941452,mg N/m2,98,271.2,149.2
56,6,-7.2248592,38.5491066,mg N/m2,95,192.2,150.5
56,7,-7.013567,38.9045372,mg N/m2,79,209.1,132.7
57,2,-7.5960274,36.9740105,mg N/m2,8,133,112.4
57,3,-7.3948765,37.3257484,mg N/m2,33,259.9,163.1
57,4,-7.1905899,37.67799,mg N/m2,24,276.4,179.6
57,5,-6.9831047,38.0307083,mg N/m2,29,283.4,192.2
