CAA_ID,Muni_ID,full_ID,Muni,uaa99,poly_sum,poly_corr,prec99
1,101,1610101,Águeda,2918,8500,21,1113.024723
2,101,1610101,Águeda,2918,8500,13,1103.935348
3,101,1610101,Águeda,2918,8500,18,1099.210857
4,101,1610101,Águeda,2918,8500,14,1085.201782
5,101,1610101,Águeda,2918,8500,16,1083.417352
6,101,1610101,Águeda,2918,8500,1,1052.209515
7,101,1610101,Águeda,2918,8500,19,1052.209515
8,101,1610101,Águeda,2918,8500,12,1075.001138
9,101,1610101,Águeda,2918,8500,11,1079.697442
10,101,1610101,Águeda,2918,8500,13,1058.578247
11,101,1610101,Águeda,2918,8500,88,1062.69472
12,101,1610101,Águeda,2918,8500,33,1052.227769
13,101,1610101,Águeda,2918,8500,15,1051.344614
14,101,1610101,Águeda,2918,8500,13,1043.924059
15,101,1610101,Águeda,2918,8500,33,1031.461923
16,101,1610101,Águeda,2918,8500,15,1016.969819
17,101,1610101,Águeda,2918,8500,41,1034.834347
18,101,1610101,Águeda,2918,8500,10,1040.75107
19,101,1610101,Águeda,2918,8500,32,998.3936955
20,101,1610101,Águeda,2918,8500,28,1037.066567
21,101,1610101,Águeda,2918,8500,27,1042.702594
22,101,1610101,Águeda,2918,8500,20,1042.465909
23,101,1610101,Águeda,2918,8500,35,1033.157886
24,101,1610101,Águeda,2918,8500,54,1033.157886
25,101,1610101,Águeda,2918,8500,37,1027.259008
26,101,1610101,Águeda,2918,8500,14,1020.06003
27,101,1610101,Águeda,2918,8500,12,1024.448446
28,101,1610101,Águeda,2918,8500,16,1017.647263
29,101,1610101,Águeda,2918,8500,28,1022.402657
30,101,1610101,Águeda,2918,8500,64,1022.402657
31,101,1610101,Águeda,2918,8500,12,1020.828032
32,101,1610101,Águeda,2918,8500,55,1020.828032
33,101,1610101,Águeda,2918,8500,12,1019.507485
34,101,1610101,Águeda,2918,8500,16,1019.507485
35,101,1610101,Águeda,2918,8500,18,1011.878262
36,101,1610101,Águeda,2918,8500,32,1011.878262
