CAA_ID,Muni_ID,Full_ID,Muni,uaa09,poly_sum,poly_corr,prec09
1,505,1690505,IDANHA-A-NOVA,80156,92545,1163,533.9868188
2,505,1690505,IDANHA-A-NOVA,80156,92545,36,502.7021475
3,505,1690505,IDANHA-A-NOVA,80156,92545,2713,424.206985
4,505,1690505,IDANHA-A-NOVA,80156,92545,0,393.5076599
5,505,1690505,IDANHA-A-NOVA,80156,92545,8923,511.8426017
6,505,1690505,IDANHA-A-NOVA,80156,92545,16,395.0099814
7,505,1690505,IDANHA-A-NOVA,80156,92545,152,568.9225892
8,505,1690505,IDANHA-A-NOVA,80156,92545,0,469.8300655
9,505,1690505,IDANHA-A-NOVA,80156,92545,62,405.662829
10,505,1690505,IDANHA-A-NOVA,80156,92545,945,514.7963076
11,505,1690505,IDANHA-A-NOVA,80156,92545,88,586.1251596
12,505,1690505,IDANHA-A-NOVA,80156,92545,43,534.6360942
13,505,1690505,IDANHA-A-NOVA,80156,92545,3,451.4491348
14,505,1690505,IDANHA-A-NOVA,80156,92545,1043,461.1051773
15,505,1690505,IDANHA-A-NOVA,80156,92545,238,519.4254504
16,505,1690505,IDANHA-A-NOVA,80156,92545,114,453.1241048
17,505,1690505,IDANHA-A-NOVA,80156,92545,2567,571.0611064
18,505,1690505,IDANHA-A-NOVA,80156,92545,55,562.7608765
19,505,1690505,IDANHA-A-NOVA,80156,92545,77,502.9300435
20,505,1690505,IDANHA-A-NOVA,80156,92545,46,538.6475631
21,505,1690505,IDANHA-A-NOVA,80156,92545,50,511.981483
22,505,1690505,IDANHA-A-NOVA,80156,92545,3,486.7471771
23,505,1690505,IDANHA-A-NOVA,80156,92545,18,486.9506141
24,505,1690505,IDANHA-A-NOVA,80156,92545,149,574.3184958
25,505,1690505,IDANHA-A-NOVA,80156,92545,57433,472.0044181
26,505,1690505,IDANHA-A-NOVA,80156,92545,666,495.1831978
27,505,1690505,IDANHA-A-NOVA,80156,92545,107,536.9588478
28,505,1690505,IDANHA-A-NOVA,80156,92545,93,462.6613492
29,505,1690505,IDANHA-A-NOVA,80156,92545,173,472.5564588
30,505,1690505,IDANHA-A-NOVA,80156,92545,29,575.1779053
31,505,1690505,IDANHA-A-NOVA,80156,92545,62,572.0613831
32,505,1690505,IDANHA-A-NOVA,80156,92545,0,570.5164795
33,505,1690505,IDANHA-A-NOVA,80156,92545,29,553.1688363
34,505,1690505,IDANHA-A-NOVA,80156,92545,93,516.0425516
35,505,1690505,IDANHA-A-NOVA,80156,92545,68,566.1796609
36,505,1690505,IDANHA-A-NOVA,80156,92545,51,565.8842837
37,505,1690505,IDANHA-A-NOVA,80156,92545,30,474.8859794
