Month,LATITUDE (ºN),LONGITUDE (ºW),COORD_X (M),COORD_Y (M),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Annual
16F/04C,39.52,-8.59,160616,283591,133.1,78.3,25.1,59.4,28.1,66.4,10,3.4,4.6,95.6,156.6,262.6,923.2
16G/01UG,39.61,-8.39,177746.48,293148.43,119.2,52.2,11.2,33,17.2,35.3,3.5,1.6,4.5,77.1,61,33.7,449.5
16I/04UG,39.54,-8.16,197688.49,285529.85,140.9,64.7,16.9,0,0,5.2,5.6,2.9,2.8,69.2,90.7,62.2,461.1
16K/01G,39.65,-7.67,239610,298295,124.7,61.9,6.5,58.5,18.1,0,0,0,0,0,49.4,316.6,635.7
16L/03UG,39.52,-7.67,239942,283185,103.8,63,3.1,0,0,0,0,0,18.8,41.9,0.7,0,231.3
16L/04UG,39.51,-7.52,253066,282844,107.3,60.4,9.7,0,4.9,12.3,0,0,0,0,0,2.3,196.9
17C/05UG,39.44,-9.1,116567.01,275291.32,77.4,55,2.8,0,0,65.6,16.1,13.8,27,113,221,164,755.7
17C/06G,39.38,-9.04,122244.6,268615.91,0,0,0,12.1,25.8,18.9,4.6,6,7.8,38,9.5,5.1,127.8
17C/07C,39.36,-9.16,111810,266020,100.8,76.2,16.4,51.6,23.5,0,0,0,0,0,0,125.1,393.6
17D/01UG,39.46,-8.98,127293.99,276810.4,176.3,83.6,34.8,0,0.8,53.3,19.9,7.8,16.4,93.1,201.6,19.8,707.4
17D/03UG,39.49,-8.88,136021.37,280738.59,258.9,123.8,88.7,0,0,10.4,19.8,0,20.6,127.3,374.6,240.5,1264.6
17D/04G,39.36,-8.85,138252.51,266511.29,134,61.6,16.9,0,0,0,0,0,0,0,0,0,212.5
17E/03UG,39.35,-8.74,147380.12,264929.21,113.9,54,11.9,0,0,0,0,0,0,0,0,0,179.8
17F/01UG,39.39,-8.66,154325.79,269299.22,109.7,48.6,0.4,53.1,26.7,50,2.7,2.6,16.7,79.9,88.2,36.3,514.9
17G/02G,39.36,-8.49,169523,265977,76.6,56.5,8.4,36.3,8.7,1.4,0.2,0.7,0.1,20.4,41.9,154.3,405.5
17G/04UG,39.48,-8.34,182246.17,278641.37,82.4,1.4,8,51.3,17.1,0.4,0.3,1.1,0.5,9.6,72.2,23.5,267.8
17H/01C,39.45,-8.1,202682,276218,85.1,64.1,8.7,28,24.5,34.8,4.6,1.2,1.9,36.8,68.3,167.6,525.6
17I/02UG,39.35,-8.14,199334.61,264527.07,47.1,16.9,0.2,0,0,0,0,0,0,0,0,0,64.2
17J/02UG,39.38,-7.9,219945,268456,77.2,26.2,0,0.3,17.7,35.7,2.7,3.6,4.6,67.1,61.4,197,493.5
17L/02UG,39.35,-7.65,241838.62,264300.42,128.6,78,21,36.8,8.8,18.7,0.8,10.9,3.3,52.1,53.5,126.9,539.4
17L/03UG,39.41,-7.61,244813.84,271595.61,65.4,0.5,14.5,4.4,8,2.4,0.2,0.2,0,0,0,0,95.6
17M/01G,39.41,-7.45,258617.61,271718.39,122.2,78.9,11.5,44.8,14.4,24.7,2.1,3.2,26.2,66.5,46.7,199.6,640.8
17M/03UG,39.45,-7.37,265570.78,275629.41,81.8,82.3,4.5,39.8,7.9,13.9,0.9,5.6,0,0,0,0,236.7
18B/01UG,39.28,-9.26,103105.35,257846.63,159.5,75.1,21.6,3.5,0,34,11.9,15.8,29.3,131.1,192.1,165.7,839.6
18B/03UG,39.2,-9.23,105154.94,248244.98,89.1,49,7.8,45.4,38.2,43.9,3.8,9,15.6,27.1,42.2,29.3,400.4
18B/04UG,39.18,-9.31,97968.49,246347.59,117.7,76.8,15.4,35,25.4,49.1,6.1,9.1,13.5,83,154.4,191.4,776.9
18C/01G,39.2,-9.06,119572.95,248285.96,118.1,82.4,41,66.8,71.3,67.4,6.6,12.8,17.1,86.9,172.5,222.5,965.4
18C/03UG,39.27,-9.1,116436.91,256191.05,102.9,71.8,0,0,0,0,0,0,0,0,0,0,174.7
18D/02UG,39.28,-8.86,137368,257158,118.3,72.1,20.1,0,0,0,0,0,0,0,0,0,210.5
18E/01C,39.25,-8.7,150886,253931,126.4,90.5,16.1,46.4,20.7,39.6,3.7,5.1,5.1,60.5,81.7,151.3,647.1
18F/01UG,39.21,-8.62,158139,249438,72.2,44.2,16.4,0,0,0,0,0,0,0,0,0,132.8
18G/01G,39.27,-8.35,181204,256219,93.9,5.4,14.9,39.4,45.4,44.8,2.4,3.3,3.6,76.1,76,161.7,566.9
18G/02UG,39.31,-8.43,174188,260637,81.8,58.4,9,47.7,5.1,0,0,0,0,0,0,0,202
18G/03UC,39.18,-8.48,170407,246011,81.6,50.8,8.8,41.6,23.1,0,0,0,0,0,0,0,205.9
18H/02UG,39.22,-8.22,192664.17,249727.35,3,0.1,0,36.4,39,38.6,2,73.2,29.6,0.1,1.6,0,223.6
18H/04UG,39.28,-8.24,191088.86,256822.1,75.5,0.3,0,41.8,37.9,50.4,2.4,2.6,5.5,11.1,0.1,0.5,228.1
18I/01C,39.26,-8.01,210764,254572,108.2,48.6,11.6,32.8,20.9,25.8,0.6,2.8,9.5,50.4,55.9,156.9,524
18K/01C,39.26,-7.82,227018,254211,97.7,65,17.8,10.5,0,0,0,0,0,0.2,58.5,141.1,390.8
18K/02UG,39.3,-7.72,235273,259609,104.3,63.9,15.8,0,0,0,0.2,1.3,11.1,36,5.5,162.7,400.8
18L/01UG,39.22,-7.68,238748.05,250128.52,115.1,77.2,13.7,48,7.5,0,0,0.1,11.7,47.7,14.2,204.3,539.5
18N/01UG,39.31,-7.31,271305,260774,168.3,101.7,16.7,0,0,0,5.9,0.4,4,95.6,53.6,292.2,738.4
18N/02G,39.24,-7.32,270037,252583,3.4,1.8,0,0,0,0,1.9,0.6,2.8,21.5,0,185.6,217.6
19B/03UG,39.14,-9.18,109508.56,241548.43,212.6,133.4,40,62.5,50.4,41.4,7.6,9.3,12.6,57.4,0,0,627.2
19B/05C,39.06,-9.24,104492,233056,0,0,0,46.9,41.4,29.9,5.6,5.2,12.5,101.2,179.1,207.3,629.1
19C/03G,39.14,-9.01,124089.55,241953.12,80.1,52.7,15.9,0,0,0,0,0,0,0,0,0,148.7
19C/07G,39.09,-9.11,115316.06,236579.55,116.6,57.1,16.3,44.3,47.3,62.3,3.7,4.9,11.4,67.5,0,0,431.4
19C/08C,39.09,-9.03,122470,236023,99.4,60,9.5,34.4,31.1,24.7,0.2,0,0.1,0.3,0,0,259.7
19E/03UG,39.16,-8.83,139383.98,244067.59,97.9,50.3,9.9,38.6,25,41.2,3,4.5,3.5,61.9,89.4,167.9,593.1
19G/01UG,39.12,-8.35,181073,238706,8.6,0.6,4.7,2.2,0.4,3.4,0.3,2.1,0.5,0.1,0,103.5,126.4
19G/02UG,39.07,-8.46,171477,233292,76.5,1.6,0.3,0,0,0.7,0.4,0.6,3,59.3,60.2,113.6,316.2
19J/03UG,39.06,-7.9,220599,232305,85,60.8,14.5,43.9,4,0,0,0.2,6.9,37,49.9,151.5,453.7
19K/01UG,39.15,-7.78,230117.58,242380.56,61.2,0.8,0.2,41.3,29.2,18.9,1.4,0.5,20.6,34.9,46.6,0,255.6
19L/01UG,39.13,-7.59,247179.5,240367.56,112.3,57.9,19.3,0,0,0,1.5,0.1,3.9,8.4,0.2,67.4,271
19L/02UG,39.06,-7.65,242056,232353,72.1,4.3,0.7,0,0,0,2.1,0.2,8.9,44.7,35.9,152.7,321.6
19N/03UG,39.16,-7.2,281063.88,243698.03,95.9,62,15.2,20.8,6.3,11.4,1.2,0,9.5,67.7,35.9,172.2,498.1
19O/03UG,39.06,-7.12,287693.67,232758.19,65.2,33.6,7.6,26.9,2.5,11,1.7,0.1,5.5,37.4,5.5,4,201
20B/02UG,39,-9.33,96364,226305,242.3,119.3,26.3,106.6,97.1,26.5,7.2,9.7,2.9,13.6,133.7,210.1,995.3
20B/03C,38.89,-9.21,106852.38,213881.79,132.4,69.7,22.5,38.7,23.4,0,0,0,0,0,0,280.1,566.8
20B/04GC,38.89,-9.33,95795,214342,109.1,87.7,22.3,0.1,0,0,0,0,0,0,0,154.6,373.8
20B/06UG,38.95,-9.2,107301,220778,146.5,97.5,25.2,1.7,0,28.5,5.4,3.2,7.3,74.8,140.6,197.8,728.5
20C/01C,38.84,-9.12,114090,208796,139.9,82.3,14.9,48.9,48.1,53.3,1,0.5,1,116.1,89.7,228.6,824.3
20C/03G,38.95,-9.14,112953,220951,129.9,9.6,0,67.2,42,0,0,0,11.9,204,115.2,276.8,856.6
20C/04UG,38.93,-9.07,119174,218371,112.9,77.7,14.2,0.1,0,0,0,0,0,0,0,0,204.9
20D/01C,38.94,-8.95,129387,219895,34.9,2.1,1.3,38,25.8,0,0,0,0,0,0,1.6,103.7
20E/02UG,38.86,-8.75,146793.01,210459.81,61.9,3.4,0.2,5.9,6.4,4.4,0.5,0.3,1.4,2.1,0.1,185.9,272.5
20F/01UG,38.97,-8.52,166123,222023,74.1,60.5,6.5,32.9,9.7,8.2,0.6,0.9,5.8,35.8,71,24.1,330.1
20I/02UG,38.87,-8.16,197626,211645,72.3,74.8,16.1,28.2,0.6,0.4,1.3,0,1,0,0,79,273.7
20K/01UG,38.95,-7.67,239830,220292,90.4,84.7,13.6,0,0,5.9,1.6,0.1,6.2,3.5,0,43.1,249.1
20K/02UG,38.95,-7.8,228548,220361,123.7,57.8,21.1,37.9,10.9,36.2,2,0.1,3.5,41.5,44.6,27,406.3
20L/01G,38.84,-7.62,244901,208351,76.4,57.4,15.6,2.7,0,1.8,1.5,0.1,12.5,51.6,42.1,123.1,384.8
20M/01UG,38.92,-7.41,262291,217156,53,68.5,7.4,0,5.9,1.2,0.7,0,0.6,0.6,0,59.1,197
20O/02UG,38.89,-7.09,290521,213817,85.4,61.7,8.7,0,12.3,24.1,0.6,0,2.2,65.6,11.1,0,271.7
21A/11G,38.7,-9.43,87327,193650,131.2,76.8,14.7,0.6,0,0,0,0,0,0,0,0,223.3
21B/11UG,38.82,-9.22,105321.3,206775.21,0,0,0,0,0,0,0,0,0,0,0,0,0
21F/01UG,38.77,-8.63,157106.89,200405.72,93.5,32.8,0,0,0,0,0,0,0,0,0,0,126.3
21G/01UG,38.67,-8.47,170849.08,188717.88,110.4,74.1,12.5,35.9,1,0,1.3,0,13,48,65.7,133,494.9
21H/01UG,38.76,-8.2,194537,199645,42.9,6.2,0.6,0,0,0,0,0,0,0,0,0,49.7
21I/01UG,38.71,-8.1,202786,193553,0,0,0,0,5.8,24,3.1,0.1,1.8,0,0,0,34.8
21J/01UG,38.83,-7.84,225863,206906,108.8,1.6,0.4,37.5,3.7,17.3,3.4,0,2,12.4,3.1,8.5,198.7
21J/02UG,38.77,-8,211450,200508,56.4,55.1,3.2,0,0,0,0,0,0,0,0,0,114.7
21J/03C,38.7,-7.92,218516.38,192325.15,98.5,54.7,21.8,33.4,2.9,0,0,0,0,0,0,0,211.3
21K/01UG,38.7,-7.77,231177.1,192858.08,106.8,68.5,23.2,43.6,8.8,19.1,0.6,0.1,5.2,27.9,5.1,0,308.9
21K/02UG,38.77,-7.72,236242.08,200249.75,104.5,51.6,16.8,0,7.7,30.9,2.8,0.1,0.2,0.1,0,0,214.7
21K/03UG,38.74,-7.81,227756.54,196700.08,104.3,53.4,23.3,0,0,0,3.1,0,12.5,40.7,42.3,145.2,424.8
21L/01UG,38.77,-7.61,245842,200305,104.1,57.4,0.6,0,0,15.1,12.2,33.9,2.4,0,0,0,225.7
21M/01UG,38.79,-7.42,261914.93,202197.04,151.1,66.7,14.8,45.4,4.1,14.4,0.4,0,0.7,1.8,0,0.2,299.6
21N/01UG,38.74,-7.24,277508.76,197214.35,109,55.7,16.8,48.5,3.5,12.7,0,0,5.1,48.9,27.2,179.8,507.2
22B/01C,38.66,-9.2,106897,188713,0,0,0,36.8,11.9,34.6,0,3.9,0,68.5,115.9,157.3,428.9
22L/02UG,38.58,-7.66,241374.98,178781.01,77.1,47.4,13.1,28.9,13.3,12.7,0.4,0.1,8.9,1.7,0,0,203.6
22L/03UG,38.51,-7.6,246790.13,171749.12,39.6,12,12.1,31.1,9.9,10.4,0.1,0.4,0.4,0,0,12.1,128.1
22M/01UG,38.54,-7.48,256675.47,175205.06,98.1,53.3,0,0,0,0,0,0,9.7,48.2,36.2,188.4,433.9
22M/03UG,38.62,-7.35,268443.15,184055.24,97.1,53.9,9.6,0,0,0,0,0,11.9,29.8,28.7,195.6,426.6
22M/04UG,38.57,-7.36,267187.56,178000.14,108.9,73.8,9.7,45.2,3,14.9,0.3,0,2.4,10.9,0.8,5.9,275.8
23E/01C,38.38,-8.79,142615,157291,57.6,11,8.7,31.1,5.3,17.3,0.3,0.3,6.9,35.9,49.5,153.6,377.5
23I/01C,38.39,-8.15,198404.29,158137.55,111.4,56.9,25.9,23.8,18.9,15.1,1.9,0,3.5,28.6,39.6,208.4,534
23K/01UG,38.46,-7.75,233390,165986,51.9,25.8,3.5,27.1,5.2,9.7,0.3,0,1.2,42,32.9,172.7,372.3
23L/01G,38.42,-7.53,252936.21,161950.28,106.7,54.1,13.5,33.7,7.9,15.2,0.5,0,2.4,1.4,0,151.3,386.7
24H/01UG,38.29,-8.23,191597.64,147041.2,90.8,56.1,0,27.7,0.2,0.1,0.3,0,0,0,0,0,175.2
24I/01C,38.33,-8.01,211057.66,151268.86,117.7,60.7,20.4,1.7,9.5,33,1.8,0,6.6,45.3,39.9,183.7,520.3
24I/03C,38.18,-8.11,201815,135142,90.5,50.2,18.1,48.9,7.5,13.5,1,0,2.4,1.6,0,106.1,339.8
24J/02UG,38.26,-7.99,212558,143153,118.8,57.3,0,0,0,0,0,0,0,0,0,0,176.1
24J/03UG,38.17,-7.89,221518,133474,98.2,54.1,17.2,0,0.3,0.2,0.5,0,0.4,0,0,1.1,172
24K/01UG,38.31,-7.71,237180.15,148849.32,105.1,73.3,18.5,33.6,12.7,10.9,1.3,0,5.6,1.2,32.9,199.2,494.3
24K/02UG,38.21,-7.8,228889,137826,25.5,16.3,13,29.5,0.4,0.1,0,0,0,0,0,0.3,85.1
24L/03C,38.21,-7.5,255340,137772,93.2,40.5,15.7,18.3,11.9,3,0.4,0.3,39.8,43.4,20.5,1,288
24N/01UG,38.21,-7.23,279148.04,138512.3,46.9,9.2,0,0,0,0,0,0,0,0,0,0,56.1
25G/01UG,38.07,-8.41,175344.3,122748.65,68.9,64.6,10.2,39.8,27.6,9.2,0.5,0,7.4,32.3,27,60,347.5
25I/01UG,38.06,-8.11,201785.96,121259.94,87,53.7,18.3,6.2,2.2,0.7,0,0.2,4.5,0.1,0,96.4,269.3
25L/01UG,38.12,-7.65,242611.45,127877.36,18.5,0.4,0,0,0,0,0,0,65.3,69.8,18.4,171.1,343.5
25M/03C,38.06,-7.49,256515,122082,97.5,15.7,14.8,27.3,11,7.1,1.9,0,25.1,49.4,20.1,120.8,390.7
25N/01UG,38.02,-7.26,276624.16,117117.87,34.1,0.2,0,0,0,0,1.6,0,43.5,129.8,13.4,234.6,457.2
25O/01UG,38.06,-7.15,286352.69,122241.54,59.6,0,0,0,1.7,0.9,0.2,0.3,1.4,1.8,0.7,50.1,116.7
26F/01UG,37.93,-8.54,164104,107228,13,0,0,34.9,0.4,0,1,0,0.1,0.9,2.8,39.9,93
26F/02C,37.84,-8.62,156988,97220,96,4.2,0.8,47.4,0.7,0,0,0,0,0,0,0,149.1
26I/01UG,37.96,-8.02,209698,110863,75.1,2.7,3.3,37.5,10.4,8.4,0,0,21.6,4,0,21.2,184.2
26I/03UG,37.87,-8.17,197000.04,100108.98,78.4,41.9,17,14,3.4,11.1,0,0,5.3,7.1,0.8,1.1,180.1
26J/01UG,37.89,-7.89,221085,102222,20.8,47.6,17.2,30.6,0,0,0,0,0,42.9,20.1,143.2,322.4
26J/03UG,37.97,-7.87,222732,111086,107.4,49.1,20.4,30.9,3.8,1.2,0.2,0,0.4,0,0,0,213.4
26J/04UG,37.86,-7.96,215040.62,98919.84,89.9,45.9,1.1,0,2.6,8.4,0.3,0,4.7,8.9,3.8,76.2,241.8
26K/01UG,37.93,-7.79,230322,106797,107,51.7,13.7,0,0,6.5,0.5,0,18.5,40,25.1,165.3,428.3
26L/01UG,37.94,-7.6,246521.75,108565.59,46.5,52.7,28.9,22.6,16.5,3.1,1.7,0,26.9,7.9,0.1,67.8,274.7
26M/01C,37.95,-7.43,261583,109269,90.5,54.7,22.6,25.3,25.8,5.9,0.4,0,3,33.2,10.1,55.9,327.4
27E/01UG,37.8,-8.67,152606.01,92542.73,53.2,3.4,0,17.2,10,15.2,0.7,0,9.1,16,0.1,7.2,132.1
27G/01G,37.7,-8.48,169186.33,81890.06,52,0,0,50.1,5.1,20.6,0.5,0.1,0.1,1.3,0,0.5,130.3
27H/01CG,37.76,-8.31,184805.25,87851.25,67.7,0,0.4,44.1,16,14.2,0.5,0,12.1,56.6,25.8,198.9,436.3
27H/02C,37.73,-8.29,186312,84351,83.2,73.7,34.8,42.4,19.8,10.7,0,0,0,0,0,137.1,401.7
27I/01G,37.7,-8.09,203509.82,81240.14,88.6,52.8,28.5,37.3,5.6,9.5,0.6,0,3.4,32.9,17.4,187.4,464
27J/01UG,37.7,-7.94,217104.9,81966.29,111.4,41.4,12.9,0,7.9,2.2,21.8,0,26.7,2.9,0.9,99.9,328
27J/03C,37.81,-7.87,223183,93945,82.3,56.9,21.1,31.9,7.9,6.6,1.7,0,3.8,3.9,0.3,6.9,223.3
27K/02UG,37.68,-7.75,234190.66,79152.04,74.1,40.9,17.8,28.5,45.5,9.3,0,0,19.7,82.9,11.6,178.6,508.9
28F/01UG,37.59,-8.64,155059.86,69846.83,48.9,0,0,0,6.5,2.6,0.1,0,0,0.2,12.1,155.7,226.1
28H/01G,37.61,-8.25,189316.77,71143.19,88.6,0,0,0.3,3.5,13.4,1.6,0.1,3.8,60.4,27.4,120.1,319.2
28H/03UG,37.5,-8.3,185430.42,59496.12,69.9,1.5,0.4,0,0,13.1,0.6,0,35.1,49.1,29.4,246.4,445.5
28J/01G,37.56,-7.86,223936.29,66105.13,68.1,36.6,30.1,0,2.1,7.4,0.4,0,1.5,2,4.5,46.2,198.9
28J/03UG,37.64,-7.98,213393.92,74313.26,70.3,33,26.8,0,0,9.7,0.3,0,48.7,49.2,13.5,139.7,391.2
28K/01UG,37.61,-7.79,230183,71818,63,0,0,0,0,8.2,0.4,0,12.6,69.1,10.6,179.9,343.8
28K/02UG,37.58,-7.69,239364.37,68198.9,75.7,36.2,0,0,0,0,0,0,0,0,0,0,111.9
28L/01UG,37.64,-7.66,241589.6,74622.82,58.5,0,0,0,0.7,5.9,0.3,0,7.6,48.3,6.4,93,220.7
28L/02UG,37.54,-7.54,252534,64092,1.1,0.8,14,11.5,1.4,0.5,0,0,13.5,7.1,9.3,52.8,112
29F/02UG,37.36,-8.63,156460,44223,123.3,110.6,43.5,0,0,0.1,0,0,0,0,0,0,277.5
29F/03G,37.38,-8.56,162194,45804,15.8,7.9,13,59.2,1.4,0.1,0.3,0,4.1,18.4,4.1,98.5,222.8
29G/01UG,37.49,-8.49,168065.13,58231.66,68,42.8,25.5,0,0,0,0,0,0,0,0,0,136.3
29G/02G,37.37,-8.38,177726.95,44708.16,83.4,34.4,33.6,0,15.8,14,1.6,0.6,16.1,42.6,31.8,92.6,366.5
29J/03UG,37.44,-7.92,218900,52947,59.2,8.7,7.1,27.6,4.2,5.6,0,0,19,0,0,0,131.4
29K/02UG,37.47,-7.7,238565,56314,39.8,10.2,26.8,26.3,20.4,8.2,0,2.1,41.4,16.3,10.4,194.2,396.1
29K/03UG,37.37,-7.68,240053,45157,76.1,57.6,0,0,0.3,0.6,0.2,0.1,0.1,0.2,0.3,110.4,245.9
29K/05G,37.4,-7.8,229109,48660,2.2,0,0,0,0,0.7,0,0.2,0.4,0,3,102.4,108.9
29L/01UG,37.45,-7.59,247757,53698,82.1,39.9,24.7,30.2,13.1,5.2,0.1,4.5,12.2,15.2,12.2,176.4,415.8
29M/01UG,37.47,-7.47,258469.81,55670.29,93.2,49.9,28.7,23.7,0,0,0,0,12.7,21,7.9,196.5,433.6
29M/02UG,37.33,-7.47,258794,40421,0,0,0,0,0,0,0,0,0,0,0,0,0
30E/01UG,37.33,-8.8,140743,40142,50.8,0.6,1.4,50.5,6.8,13.9,1.2,1.1,2.8,1.2,0.3,51.2,181.8
30E/02UG,37.31,-8.67,152355,38449,0,0,1.7,77.6,23.6,21.9,0.3,0,2.8,48.8,50.4,30.1,257.2
30F/01C,37.32,-8.59,159096,39736,219.6,149.4,77.6,82.1,40.9,36.2,2.2,0.3,5.7,77.6,94.4,503.5,1289.5
30F/05C,37.21,-8.6,158404,26726,84.3,87.6,43.8,42.1,0,0,0,0,0,18.7,24,133.1,433.6
30G/01UG,37.33,-8.49,168318.3,40862.49,81.4,96.6,40.2,10.9,26.2,12.4,0.1,0,14.9,2.3,0,0,285
30G/03C,37.24,-8.38,178567,30254,97.2,90,36.5,38.7,0,0,0,0,13,72.7,21.9,277.2,647.2
30H/03UG,37.25,-8.28,187338,31084,94.9,91.2,33.6,7.8,4.1,2.1,0.6,0,10.4,0,0,0,244.7
30H/04UG,37.25,-8.19,194828,31246,37.6,0.4,0,0,1.1,7.7,0.2,0.2,31.9,1.5,0,0,80.6
30H/05UG,37.17,-8.21,193285,22374,90,73.1,60.4,34.1,5.2,7.1,0.6,0,6.6,0.1,14.7,170,461.9
30I/02UG,37.3,-8.06,206402.58,37084,131.6,114.7,15.9,0,0,0.1,1.3,0,94.5,70.5,29.6,141.2,599.4
30I/03UG,37.25,-8.05,207498,31032,47.1,0,0,5.9,7.5,10.2,1.7,0,24.9,0.9,0,2.8,101
30J/03G,37.28,-7.86,224064,34984,70.6,0,0,0,2.8,7.2,2.3,0.2,11,4,4.5,11.5,114.1
30K/01UG,37.28,-7.74,234917,34695,67.9,46.6,27,25.9,14.1,4.1,0.3,0,7.8,0.6,3.8,3.4,201.5
30L/01UG,37.31,-7.56,251076,38749,89,68.9,0,0,0,0,0.3,0,7.3,33.6,17.1,303.9,520.1
30L/03UG,37.23,-7.59,247829.41,29704.39,82.9,86.4,0,0,0,0,0.4,0,4.3,31.8,15.9,344.6,566.3
30L/04UG,37.19,-7.51,255156.24,25155.56,0,0.1,28.8,33.5,5.5,4.7,0,0,0,0,0,0,72.6
30M/03UG,37.22,-7.43,261992.76,27947.14,76.3,59,0,0,4.2,0.5,0.1,0,0.3,0,0,0,140.4
30M/06G,37.27,-7.51,254940.45,33717.08,99.4,77.9,0,0,0,0,0,0,6.3,21.8,14,300.4,519.8
31E/02UG,37.15,-8.74,146158,21058,97.6,86.3,33.3,0,0,0,0.1,0,1.9,43.8,29.6,236.7,529.3
31F/02UG,37.16,-8.61,157194,22049,85.9,80,33.7,0,0,0,0.1,0,3.1,30.3,23.1,271.7,527.9
31G/02UG,37.13,-8.39,176809,18498,115,59.8,3.1,0,0,0.2,0,0,6.6,0.2,0,72.4,257.3
31H/02C,37.14,-8.3,185336,19240,92.7,68.6,31.9,34.5,2.3,5.8,0.5,0,12.4,39.7,17,219.3,524.7
31I/01UG,37.15,-8.01,211375,20009,94.9,98.6,13.1,0.3,0,12.4,2.3,0,11.9,45.5,29,317.3,625.3
31J/04UG,37.09,-7.91,219768,13963,0.3,0.2,0,0,0,5.6,1.5,0,1.7,22,16.5,169.8,217.6
