agrarian_region_id,agrarian_region,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986
Entre Douro e Minho,1,39,47,51,54,59,65,103,40,40,40,53,57,48,49,50,54,80,70,109,120,259,273,272,279,316,320,321,385,268,418,374,406,396
Trás-os-Montes,2,2913,3394,3959,4157,5009,6046,5785,5780,6312,6667,6617,6025,6373,8266,9064,9852,10493,13017,14381,15723,22445,23189,25000,23212,21626,28370,28457,30277,20858,32694,29371,31709,30789
Beira Litoral,3,543,560,617,702,794,1116,986,945,1421,1424,954,966,966,1025,1048,1033,1215,664,1320,1320,1896,2536,2510,2599,2690,3000,2839,3446,2376,3723,3343,3612,3507
Beira Interior,4,863,890,925,992,1042,1211,1085,1462,1422,1500,1344,697,756,844,1141,1340,1835,2131,2340,2529,2798,4000,3955,4195,3964,4427,4182,5082,3500,5487,4929,5321,5166
Ribatejo e Oeste,5,3413,2778,3181,3520,4030,3485,4736,3274,2867,9229,10088,4520,6403,8057,7937,5153,13607,4111,13388,14224,4362,16500,7577,20606,15676,22409,23618,23215,16824,25713,22520,25416,24920
Alentejo,6,18631,20633,28774,29619,36184,39445,41315,30280,44930,53314,68262,41711,88884,103170,166306,154829,200562,160967,191749,183400,114830,224540,193113,203485,185448,185000,214711,224995,158573,245732,218255,240382,234454
Algarve,7,586,681,657,657,672,776,752,684,705,788,927,873,1187,1247,1831,1987,2832,2463,2897,2897,2016,5474,4309,4973,5278,6474,5872,7118,4909,7691,6905,7463,7249
