agrarian_region_id,agrarian_region,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991
Entre Douro e Minho,1,0,0,0,0,0,0,0,0,0,0,2,3,4,5,5,8,10,15,15,15,8,9,8,8,9,50,106,106
Trás-os-Montes,2,189,208,247,264,290,305,271,263,273,274,431,433,458,505,542,578,586,596,612,625,379,400,400,400,432,530,546,595
Beira Litoral,3,58,63,48,49,39,61,53,67,68,60,86,90,114,120,120,121,127,103,136,136,178,223,223,224,195,280,216,234
Beira Interior,4,67,81,95,75,78,116,146,107,160,156,89,94,108,283,145,114,122,146,161,181,172,185,185,200,217,569,1166,1031
Ribatejo e Oeste,5,1881,1829,1587,2257,1677,2780,2472,2175,1090,6244,6193,6358,5306,3315,1916,1970,1538,1583,2833,3339,5760,4802,5421,5843,5955,6700,6438,7209
Alentejo,6,17977,20699,18350,18231,14775,14768,15120,13750,18352,33806,35529,32777,36860,28980,11710,7438,7486,8160,16641,18979,18750,25000,37474,42111,44455,50000,54653,52044
Algarve,7,355,319,294,294,305,353,278,263,280,319,750,720,1305,1122,1453,1268,1328,1155,1358,1358,974,2160,1797,2101,2125,3514,3525,3826
