agrarian_region_id,agrarian_region,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986
Entre Douro e Minho,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Trás-os-Montes,2,378,121,84,84,80,79,16,16,24,23,24,44,17,39,54,64,75,94,94,95,67,100,95,144,169,80,0,0,0,0,0,0,0
Beira Litoral,3,86,87,88,60,62,59,47,40,38,38,10,10,17,17,17,17,20,43,47,48,17,17,21,21,0,30,0,0,0,0,0,0,0
Beira Interior,4,827,886,977,962,920,1000,952,1005,1219,1434,672,700,737,779,698,1197,1459,2357,1359,1361,964,2000,2500,900,288,700,810,400,660,365,270,0,0
Ribatejo e Oeste,5,246,314,407,351,519,358,450,301,420,731,350,217,311,385,382,592,937,623,1450,1421,862,2200,1500,1000,700,900,810,800,800,750,700,0,0
Alentejo,6,14752,15685,19389,21136,28491,28784,19220,19000,22660,21495,19100,14870,18020,19150,10620,11423,14410,15566,20721,23436,20874,38995,38000,41800,48630,50896,52380,38800,47213,36045,31366,22695,17794
Algarve,7,90,92,140,141,125,122,122,122,126,125,87,87,126,118,155,146,157,137,160,160,205,205,204,261,261,90,0,0,0,0,0,0,0
