"Muni_ID","ID","Muni","Rabbits","Other_rabbits"
1601,"1111601","Arcos de Valdevez",9597.723753024,22054.904481456
1602,"1111602","Caminha",21476.469890304,19123.387745616
1603,"1111603","Melgaço",4016.41815168,6887.160746928
1604,"1111604","Monção",10829.172714624,17874.63775944
1605,"1111605","Paredes de Coura",8506.47051936,37687.122296208
1606,"1111606","Ponte da Barca",8146.5085152,51099.763153824
1607,"1111607","Ponte de Lima",22616.981082432,109642.533085008
1608,"1111608","Valença",3864.85520256,7214.57690184
1609,"1111609","Viana do Castelo",8180.610178752,24030.822904704
1610,"1111610","Vila Nova de Cerveira",1295.863214976,3346.497676368
301,"1120301","Amares",4380.169229568,14254.024232448
302,"1120302","Barcelos",24579.721273536,99469.789295184
303,"1120303","Braga",12924.530486208,40241.72973744
306,"1120306","Esposende",6532.363107072,25519.424260176
310,"1120310","Terras de Bouro",3834.542612736,27613.364785776
313,"1120313","Vila Verde",13064.726214144,54807.941466432
307,"1130307","Fafe",22109.24520288,161557.02946152
308,"1130308","Guimarães",10685.18791296,30838.0331952
309,"1130309","Póvoa de Lanhoso",5096.30416416,16309.893112128
1314,"1131314","Santo Tirso",2822.85992736,9616.897759392
1318,"1131318","Trofa",1989.2637072,7389.706473072
311,"1130311","Vieira do Minho",4300.59868128,12571.257482784
312,"1130312","Vila Nova de Famalicão",7112.091387456,27803.723015376
314,"1130314","Vizela",1026.838980288,1511.444343024
107,"1140107","Espinho",90.937769472,517.774384512
1304,"1141304","Gondomar",2803.91455872,8151.139391472
1306,"1141306","Maia",1724.02854624,5927.755269744
1308,"1141308","Matosinhos",1254.183403968,3932.801023536
1312,"1141312","Porto",71.992400832,41.878810512
1313,"1141313","Póvoa de Varzim",4675.716980352,13241.318450976
1315,"1141315","Valongo",16550.674043904,217491.891647184
1316,"1141316","Vila do Conde",6020.838153792,11756.524260096
1317,"1141317","Vila Nova de Gaia",2049.888886848,4580.019004176
1301,"1151301","Amarante",7388.6937696,20901.33361008
1302,"1151302","Baião",5281.968776832,14943.1210236
304,"1150304","Cabeceiras de Basto",9897.060577536,32265.7199172
106,"1150106","Castelo de Paiva",3554.151156864,9982.385560224
