"Muni_ID","ID","Muni","Rabbits","Other_rabbits"
1601,"1111601","Arcos de Valdevez",14542.0056864,33416.5219416
1602,"1111602","Caminha",32540.1058944,28974.8299176
1603,"1111603","Melgaço",6085.482048,10435.0920408
1604,"1111604","Monção",16407.8374464,27082.784484
1605,"1111605","Paredes de Coura",12888.591696,57101.7004488
1606,"1111606","Ponte da Barca",12343.19472,77423.8835664
1607,"1111607","Ponte de Lima",34268.1531552,166125.0501288
1608,"1111608","Valença",5855.841216,10931.177124
1609,"1111609","Viana do Castelo",12394.8639072,36410.3377344
1610,"1111610","Vila Nova de Cerveira",1963.4291136,5070.4510248
301,"1120301","Amares",6636.6200448,21597.0064128
302,"1120302","Barcelos",37242.0019296,150711.8019624
303,"1120303","Braga",19582.6219488,60972.317784
306,"1120306","Esposende",9897.5198592,38665.7943336
310,"1120310","Terras de Bouro",5809.9130496,41838.4314936
313,"1120313","Vila Verde",19795.0397184,83042.3355552
307,"1130307","Fafe",33498.856368,244783.377972
308,"1130308","Guimarães",16189.678656,46724.29272
309,"1130309","Póvoa de Lanhoso",7721.672976,24711.9592608
1314,"1131314","Santo Tirso",4277.060496,14571.0572112
1318,"1131318","Trofa",3014.03592,11196.5249592
311,"1130311","Vieira do Minho",6516.058608,19047.3598224
312,"1130312","Vila Nova de Famalicão",10775.8960416,42126.8530536
314,"1130314","Vizela",1555.8166368,2290.0671864
107,"1140107","Espinho",137.7844992,784.5066432
1304,"1141304","Gondomar",4248.355392,12350.2111992
1306,"1141306","Maia",2612.164464,8981.4473784
1308,"1141308","Matosinhos",1900.2778848,5958.7894296
1312,"1141312","Porto",109.0793952,63.4527432
1313,"1141313","Póvoa de Varzim",7084.4196672,20062.6037136
1315,"1141315","Valongo",25076.7788544,329533.1691624
1316,"1141316","Vila do Conde",9122.4820512,17812.9155456
1317,"1141317","Vila Nova de Gaia",3105.8922528,6939.4227336
1301,"1151301","Amarante",11194.99056,31668.687288
1302,"1151302","Baião",8002.9829952,22641.09246
304,"1150304","Cabeceiras de Basto",14995.5463296,48887.45442
106,"1150106","Castelo de Paiva",5385.0775104,15124.8266064
305,"1150305","Celorico de Basto",9696.5841312,21066.3107424
1804,"1151804","Cinfães",7296.8374368,18643.5696384
1303,"1151303","Felgueiras",10994.054832,25346.4866928
1305,"1151305","Lousada",3869.4480192,13232.7811728
