"Muni_ID","ID","Muni","Pregnant_sows","Non_pregnant_sows","Boars","Pigs_20-50","Pigs_+50","Other_swine"
1601,"1111601","Arcos de Valdevez",362.02697137728,193.04566217244,124.134715108518,1181.67738416552,3706.44832197732,1205.96048931155
1602,"1111602","Caminha",114.32430675072,57.43507304304,48.7672095069178,528.015337481556,1691.75219172586,455.162272058121
1603,"1111603","Melgaço",288.98644206432,154.75561347708,75.3675056016002,704.519048027798,2860.57222611439,245.875439568374
1604,"1111604","Monção",206.4188871888,106.89305260788,124.134715108518,1220.56803225198,5018.96359506763,553.219739028842
1605,"1111605","Paredes de Coura",185.77699846992,106.89305260788,99.012213241318,830.165757230208,2986.49073425511,627.860497469241
1606,"1111606","Ponte da Barca",144.49322103216,76.58009739072,48.7672095069178,490.620483552267,1871.00089154971,381.985057900867
1607,"1111607","Ponte de Lima",2373.8172026712,1266.76244433816,422.649149059954,3923.46807426097,7448.45010507675,3199.30780295515
1608,"1111608","Valença",1435.40518475904,764.20555521156,347.281643458354,3195.01631971842,6187.78362945615,1906.99820093805
1609,"1111609","Viana do Castelo",309.6283307832,164.32812565092,273.391932084236,2388.78326900295,8798.00023350254,2190.92579186818
1610,"1111610","Vila Nova de Cerveira",92.09458043808,47.8625608692,25.1225018672001,276.721919076736,881.429556985016,147.817972597653
301,"1120301","Amares",4293.51285352704,2302.18917780852,1788.13101525365,16197.9549280107,71386.9057505057,848.855684224148
302,"1120302","Barcelos",309.6283307832,164.32812565092,298.514433951436,2640.07668740778,8725.41191704495,3395.42273689659
303,"1120303","Braga",433.47966309648,231.3357108678,199.502220710118,1872.73428477878,5144.88210320835,2313.86351165237
306,"1120306","Esposende",133.37835787584,67.00758521688,99.012213241318,804.737256558292,1672.4940669514,1661.12276136967
310,"1120310","Terras de Bouro",330.27021950208,173.90063782476,124.134715108518,1094.92132304957,1259.18508140717,1169.37188223292
313,"1120313","Vila Verde",3364.62786117744,1798.03686998628,447.771650927154,3999.75357627672,5091.5519115252,3199.30780295515
307,"1130307","Fafe",660.54043900416,347.80127564952,223.146928349836,1962.48193420906,6439.62064573758,1415.2473218013
308,"1130308","Guimarães",774.86474575488,416.40427956204,248.269430217036,2162.91835127005,4282.71067099778,3026.60957754404
309,"1130309","Póvoa de Lanhoso",1155.94576825728,619.02245390832,347.281643458354,3244.37752690509,6152.23016833408,4097.92399280623
1314,"1131314","Santo Tirso",743.10799387968,397.25925521436,323.636935818636,2954.1934604138,8581.7166783432,2953.43236338679
1318,"1131318","Trofa",9.52702556256,9.57251217384,48.7672095069178,528.015337481556,2285.79127130737,528.339486215375
311,"1130311","Vieira do Minho",339.79724506464,183.4731499986,172.901924615436,1495.79415717155,2968.71400369408,1672.83111563483
312,"1130312","Vila Nova de Famalicão",7575.57315982896,4061.93599909944,3478.72761149347,31766.1805158521,48377.8908276633,32644.3552355512
314,"1130314","Vizela",9.52702556256,9.57251217384,25.1225018672001,139.108856616954,468.120571440782,136.109618332493
107,"1140107","Espinho",0,0,0,37.3948539292886,198.506824598306,13.1718985483058
1304,"1141304","Gondomar",41.28377743776,19.14502434768,25.1225018672001,302.150419748652,1599.90575049381,147.817972597653
1306,"1141306","Maia",9.52702556256,9.57251217384,25.1225018672001,276.721919076736,1115.48984270541,197.578478224586
1308,"1141308","Matosinhos",174.6621353136,97.32054043404,25.1225018672001,288.688272334108,485.897302001824,245.875439568374
1312,"1141312","Porto",0,0,0,0,35.5534611220847,0
1313,"1141313","Póvoa de Varzim",3343.98597245856,1788.46435781244,1068.44522646974,9795.95593531646,26681.3911779112,9290.579109405
1315,"1141315","Valongo",0,0,0,49.361207186661,251.837016281433,36.5886070786271
1316,"1141316","Vila do Conde",41.28377743776,19.14502434768,75.3675056016002,641.695693426593,2770.20717909577,516.631131950215
1317,"1141317","Vila Nova de Gaia",527.16208112832,280.79369043264,75.3675056016002,641.695693426593,1908.03574688522,418.573664979494
1301,"1151301","Amarante",444.5945262528,242.50364173728,248.269430217036,2263.13655980056,8833.55369462463,1945.05035229982
1302,"1151302","Baião",92.09458043808,47.8625608692,172.901924615436,1509.25630458609,7519.55702732091,825.438975693827
304,"1150304","Cabeceiras de Basto",1073.37821338176,580.73240521296,248.269430217036,2225.74170587127,5829.28622980847,2460.21793996688
106,"1150106","Castelo de Paiva",103.2094435944,57.43507304304,99.012213241318,930.383965760701,3958.28533825875,825.438975693827
305,"1150305","Celorico de Basto",557.33099540976,299.93871478032,248.269430217036,2176.3804986846,6494.43223163414,2152.87364050641
1804,"1151804","Cinfães",114.32430675072,57.43507304304,149.257216975718,1332.75259403985,4534.54768727921,1931.87845375151
1303,"1151303","Felgueiras",5077.90462484448,2716.99803867492,1987.63323596377,18084.151360204,33697.2741726692,23195.7133435665
1305,"1151305","Lousada",257.22969018912,135.6105891294,124.134715108518,1220.56803225198,4713.79638710305,835.683785675843
1307,"1151307","Marco de Canaveses",103.2094435944,57.43507304304,124.134715108518,1094.92132304957,4696.01965654202,971.793404008335
1705,"1151705","Mondim de Basto",114.32430675072,57.43507304304,99.012213241318,993.207320361906,2285.79127130737,1920.17009948634
1309,"1151309","Paços de Ferreira",114.32430675072,57.43507304304,48.7672095069178,402.368628279146,1546.57555881068,405.401766431188
1310,"1151310","Paredes",339.79724506464,183.4731499986,172.901924615436,1572.07965918729,5847.0629603695,1033.26226390043
1311,"1151311","Penafiel",309.6283307832,164.32812565092,248.269430217036,2251.17020654318,9229.08594960782,1832.35744249764
