Muni_ID,ID,Muni,dairy,other_cattle,sheep,goat,poultry,pigs,horses,total
110,1610110,Ílhavo,15180,17260,602,99,548,224,246,18979
111,1610111,Mealhada,10877,9944,4656,3197,528,4058,1610,23993
112,1610112,Murtosa,74344,37666,1012,125,26,386,2314,41529
114,1610114,Oliveira do Bairro,19299,34804,3234,396,162,1152,634,40382
115,1610115,Ovar,127514,80417,1316,120,645,1410,757,84665
117,1610117,Sever do Vouga,23312,15628,3948,887,422,1462,70,22417
118,1610118,Vagos,107133,92521,1142,558,119,3017,748,98105
602,1620602,Cantanhede,176487,140902,5929,3411,360,4726,4893,160221
603,1620603,Coimbra,12751,17842,18351,4741,1240,1086,4726,47986
604,1620604,Condeixa-a-Nova,9557,17620,13000,7855,49,553,1769,40846
605,1620605,Figueira da Foz,128254,96876,8846,762,130,2802,7190,116606
608,1620608,Mira,47046,50463,652,469,72,2588,528,54772
610,1620610,Montemor-o-Velho,195364,164418,21672,2029,174,2283,9090,199666
613,1620613,Penacova,0,4921,25869,2999,122,460,211,34582
615,1620615,Soure,16184,37985,29575,9149,102,1056,4250,82117
1004,1631004,Batalha,10375,15905,8530,615,586,5387,1082,32105
1009,1631009,Leiria,38228,137364,44158,3432,4462,47636,5359,242411
1010,1631010,Marinha Grande,422,6073,1012,0,25,1197,862,9169
1015,1631015,Pombal,20751,132338,71361,7516,2009,10083,6398,229705
1016,1631016,Porto de Mós,66793,74169,34579,14527,375,9013,4162,136825
1002,1641002,Alvaiázere,264,3781,25229,14553,456,570,1188,45777
1003,1641003,Ansião,2508,10260,44772,12096,835,1884,757,70604
601,1640601,Arganil,0,3831,24019,4329,18,262,986,33445
1007,1641007,Castanheira de Pêra,0,113,689,1106,2,10,0,1920
1008,1641008,Figueiró dos Vinhos,79,1070,6593,4387,21,856,114,13041
606,1640606,Góis,0,2364,4035,3756,284,573,238,11250
607,1640607,Lousã,106,3299,2881,2024,16,216,431,8867
609,1640609,Miranda do Corvo,370,5705,6009,2389,21,318,264,14706
611,1640611,Oliveira do Hospital,581,2105,69561,4966,85,343,1998,79058
612,1640612,Pampilhosa da Serra,0,41,2868,3881,5,61,0,6856
1013,1641013,Pedrógão Grande,185,1370,4352,3975,13,76,774,10560
614,1640614,Penela,1874,3446,17165,5018,17,259,616,26521
616,1640616,Tábua,185,9848,40905,2869,148,232,1382,55384
617,1640617,Vila Nova de Poiares,660,1333,1440,735,11,112,264,3895
901,1650901,Aguiar da Beira,21437,21380,33889,3250,1370,1771,2112,63772
1802,1651802,Carregal do Sal,264,3014,22628,970,2414,525,1663,31214
1803,1651803,Castro Daire,17609,106840,29047,13520,2578,2071,2913,156969
1806,1651806,Mangualde,1690,5948,77737,4355,302,1399,2798,92539
1808,1651808,Mortágua,2666,10760,38614,1638,1404,602,343,53361
1809,1651809,Nelas,211,2503,29612,1466,673,436,3027,37717
1810,1651810,Oliveira de Frades,28169,43863,5910,2817,13721,1648,238,68197
1811,1651811,Penalva do Castelo,2402,13111,30723,2457,187,482,1707,48667
1814,1651814,Santa Comba Dão,818,9756,21536,902,3638,3656,607,40095
1816,1651816,São Pedro do Sul,22414,115364,22504,10708,5223,1463,862,156124
1817,1651817,Sátão,16289,25122,18239,2055,1486,1193,2490,50585
1821,1651821,Tondela,14362,46336,67760,4428,9772,1676,1610,131582
1822,1651822,Vila Nova de Paiva,17108,19435,14794,4261,1719,305,2288,42802
1823,1651823,Viseu,9108,42712,90792,2749,6087,1693,3590,147623
1824,1651824,Vouzela,17794,76585,13341,6974,7020,1247,194,105361
1413,1661413,Mação,264,5738,10492,21620,52,1588,4268,43758
506,1660506,Oleiros,158,1454,2955,27233,32,396,563,32633
508,1660508,Proença-a-Nova,185,6777,8101,44039,60,609,6072,65658
509,1660509,Sertã,7973,9129,16284,33648,80,3191,2675,65007
510,1660510,Vila de Rei,211,80,1496,5638,44,347,1030,8635
905,1670905,Fornos de Algodres,3590,2967,50744,6958,50,118,1100,61937
906,1670906,Gouveia,554,6061,79127,8825,279,397,2358,97047
912,1670912,Seia,1267,3377,103599,11381,581,476,3511,122925
902,1680902,Almeida,38703,131563,94927,9994,3,1705,11361,249553
903,1680903,Celorico da Beira,4409,4905,148855,6885,7,268,4206,165126
904,1680904,Figueira de Castelo Rodrigo,12065,37692,194006,1544,3,156,8536,241937
907,1680907,Guarda,68456,84677,124893,37305,10,2036,13790,262711
908,1680908,Manteigas,106,52,6127,6327,1,43,387,12937
909,1680909,Mêda,6125,8157,54301,4778,3,110,9398,76747
910,1680910,Pinhel,42082,57648,73000,9138,22,327,16685,156820
911,1680911,Sabugal,43719,225492,110341,31046,14,911,17565,385369
913,1680913,Trancoso,38466,24747,87762,15465,213,313,11510,140010
