Muni_ID,ID,Muni,furrow,other_grav,aspersion,cannon,pivot,drip,microaspersion,SUM
1601,1111601,Arcos de Valdevez,0.33,0.654,0.007,0,0,0.009,0,1
1602,1111602,Caminha,0.64,0.351,0.009,0,0,0,0,1
1603,1111603,Melga�o,0.149,0.828,0.01,0,0,0.013,0,1
1604,1111604,Mon��o,0.425,0.542,0,0,0,0.033,0,1
1605,1111605,Paredes de Coura,0.296,0.698,0.006,0,0,0.001,0,1
1606,1111606,Ponte da Barca,0.461,0.509,0.016,0,0,0.014,0,1
1607,1111607,Ponte de Lima,0.7,0.131,0.132,0.016,0.001,0.019,0,1
1608,1111608,Valen�a,0.624,0.32,0.002,0.024,0,0.029,0.002,1
1609,1111609,Viana do Castelo,0.691,0.037,0.203,0.042,0,0.026,0.001,1
1610,1111610,Vila Nova de Cerveira,0.53,0.142,0.306,0,0,0.021,0,1
301,1120301,Amares,0.477,0.22,0.242,0.005,0,0.042,0.014,1
302,1120302,Barcelos,0.168,0.012,0.578,0.206,0,0.036,0,1
303,1120303,Braga,0.44,0.068,0.43,0.035,0,0.025,0.001,1
306,1120306,Esposende,0.083,0.003,0.781,0.079,0,0.051,0.002,1
310,1120310,Terras de Bouro,0.317,0.658,0.007,0,0,0.017,0,1
313,1120313,Vila Verde,0.509,0.225,0.229,0.008,0,0.025,0.005,1
307,1130307,Fafe,0.495,0.452,0.016,0,0,0.034,0.001,1
308,1130308,Guimar�es,0.491,0.069,0.384,0.008,0,0.047,0.001,1
309,1130309,P�voa de Lanhoso,0.572,0.217,0.178,0,0,0.03,0.003,1
1314,1131314,Santo Tirso,0.446,0.041,0.341,0.116,0,0.041,0.014,1
1318,1131318,Trofa,0.042,0.006,0.634,0.299,0,0.016,0.002,1
311,1130311,Vieira do Minho,0.19,0.759,0.047,0,0,0.004,0,1
312,1130312,Vila Nova de Famalic�o,0.108,0.02,0.565,0.273,0,0.034,0.001,1
314,1130314,Vizela,0.625,0.117,0.213,0,0,0.045,0,1
107,1140107,Espinho,0.368,0,0.632,0,0,0,0,1
1304,1141304,Gondomar,0.607,0.039,0.315,0.018,0,0.022,0,1
1306,1141306,Maia,0.09,0.007,0.756,0.14,0,0.005,0.001,1
1308,1141308,Matosinhos,0.055,0.015,0.872,0.055,0,0.002,0.002,1
1312,1141312,Porto,0.214,0.214,0.571,0,0,0,0,1
1313,1141313,P�voa de Varzim,0.007,0,0.48,0.424,0,0.089,0.001,1
1315,1141315,Valongo,0.517,0.02,0.441,0,0,0.022,0,1
1316,1141316,Vila do Conde,0.002,0.001,0.443,0.517,0.006,0.03,0.001,1
1317,1141317,Vila Nova de Gaia,0.412,0.03,0.529,0.005,0,0.021,0.003,1
1301,1151301,Amarante,0.709,0.202,0.037,0.006,0,0.041,0.005,1
1302,1151302,Bai�o,0.49,0.36,0.099,0,0,0.033,0.018,1
304,1150304,Cabeceiras de Basto,0.251,0.686,0.029,0,0,0.034,0,1
106,1150106,Castelo de Paiva,0.535,0.193,0.217,0,0,0.054,0,1
305,1150305,Celorico de Basto,0.679,0.204,0.048,0.007,0,0.062,0,1
1804,1151804,Cinf�es,0.471,0.467,0.023,0,0,0.036,0.003,1
1303,1151303,Felgueiras,0.745,0.105,0.058,0.052,0,0.036,0.005,1
1305,1151305,Lousada,0.686,0.066,0.24,0,0,0.008,0,1
1307,1151307,Marco de Canaveses,0.635,0.183,0.071,0.007,0,0.103,0,1
1705,1151705,Mondim de Basto,0.427,0.544,0.013,0.012,0,0.004,0,1
1309,1151309,Pa�os de Ferreira,0.497,0.053,0.391,0.053,0,0.006,0,1
1310,1151310,Paredes,0.739,0.015,0.228,0.004,0,0.016,0,1
1311,1151311,Penafiel,0.753,0.061,0.139,0.017,0,0.029,0.001,1
1813,1151813,Resende,0.206,0.492,0.057,0,0,0.244,0.001,1
1709,1151709,Ribeira de Pena,0.325,0.618,0.055,0,0,0.002,0,1
104,1160104,Arouca,0.481,0.184,0.323,0.002,0,0.009,0.001,1
113,1160113,Oliveira de Azem�is,0.232,0.005,0.718,0.015,0,0.03,0,1
109,1160109,Santa Maria da Feira,0.561,0,0.425,0.012,0,0.001,0,1
116,1160116,S�o Jo�o da Madeira,,,,,,,,
119,1160119,Vale de Cambra,0.628,0.266,0.102,0,0,0.003,0,1
1701,1171701,Alij�,0.168,0.284,0.017,0,0,0.53,0,1
1801,1171801,Armamar,0.019,0.126,0.006,0,0,0.846,0.002,1
403,1170403,Carrazeda de Ansi�es,0.175,0.097,0.037,0,0,0.691,0,1
404,1170404,Freixo de Espada � Cinta,0.007,0.095,0,0,0,0.897,0,1
1805,1171805,Lamego,0.085,0.368,0.019,0,0,0.528,0,1
1704,1171704,Mes�o Frio,0,0.471,0.235,0,0,0.294,0,1
1807,1171807,Moimenta da Beira,0.161,0.181,0.146,0.001,0,0.508,0.004,1
1812,1171812,Penedono,0.148,0.549,0.154,0.008,0,0.138,0.003,1
1708,1171708,Peso da R�gua,0.079,0.105,0.421,0,0,0.237,0.158,1
1710,1171710,Sabrosa,0.476,0.163,0.078,0,0,0.283,0,1
1711,1171711,Santa Marta de Penagui�o,0.08,0.64,0.28,0,0,0,0,1
1815,1171815,S�o Jo�o da Pesqueira,0.048,0.293,0.046,0,0,0.527,0.087,1
1818,1171818,Sernancelhe,0.174,0.313,0.21,0.01,0,0.293,0,1
1819,1171819,Tabua�o,0.458,0.097,0.126,0.004,0,0.314,0,1
1820,1171820,Tarouca,0.149,0.194,0.089,0.015,0,0.554,0,1
409,1170409,Torre de Moncorvo,0.008,0.238,0.01,0,0,0.73,0.015,1
410,1170410,Vila Flor,0.037,0.18,0.052,0,0,0.731,0,1
914,1170914,Vila Nova de Foz C�a,0.041,0.115,0.002,0.007,0,0.835,0,1
1714,1171714,Vila Real,0.535,0.373,0.056,0.005,0,0.025,0.005,1
401,1180401,Alf�ndega da F�,0.003,0.089,0.078,0,0,0.83,0.001,1
1702,1181702,Boticas,0.151,0.849,0,0,0,0,0,1
402,1180402,Bragan�a,0.103,0.686,0.201,0,0.004,0.006,0,1
1703,1181703,Chaves,0.6,0.316,0.056,0.019,0,0.009,0,1
405,1180405,Macedo de Cavaleiros,0.053,0.358,0.283,0.003,0,0.303,0,1
406,1180406,Miranda do Douro,0.141,0.141,0.662,0,0,0.056,0,1
407,1180407,Mirandela,0.109,0.353,0.063,0.015,0,0.454,0.006,1
408,1180408,Mogadouro,0.175,0.209,0.152,0.028,0,0.436,0,1
1706,1181706,Montalegre,0.105,0.882,0.012,0.001,0,0,0,1
1707,1181707,Mur�a,0.363,0.269,0.01,0,0,0.358,0,1
1712,1181712,Valpa�os,0.498,0.294,0.071,0,0.005,0.133,0,1
1713,1181713,Vila Pouca de Aguiar,0.247,0.596,0.156,0,0,0.001,0,1
411,1180411,Vimioso,0.522,0.274,0.181,0,0,0.022,0,1
412,1180412,Vinhais,0.053,0.893,0.047,0,0,0.007,0,1
101,1610101,�gueda,0.309,0.144,0.426,0.107,0,0.014,0,1
102,1610102,Albergaria-a-Velha,0.171,0,0.705,0.12,0,0.004,0,1
103,1610103,Anadia,0.199,0.034,0.632,0.126,0,0.007,0.003,1
105,1610105,Aveiro,0.119,0.004,0.533,0.238,0,0.051,0.055,1
108,1610108,Estarreja,0.02,0.043,0.742,0.18,0,0.015,0,1
110,1610110,�lhavo,0.065,0.005,0.465,0.373,0,0.092,0,1
111,1610111,Mealhada,0.331,0.03,0.452,0.184,0,0.003,0,1
112,1610112,Murtosa,0.001,0,0.417,0.317,0,0.265,0,1
114,1610114,Oliveira do Bairro,0.155,0.166,0.48,0.012,0.006,0.18,0.001,1
115,1610115,Ovar,0.151,0.001,0.719,0.046,0,0.084,0,1
117,1610117,Sever do Vouga,0.681,0.171,0.129,0,0,0.014,0.005,1
118,1610118,Vagos,0.019,0.002,0.746,0.098,0,0.12,0.015,1
602,1620602,Cantanhede,0.07,0.018,0.796,0.026,0,0.078,0.012,1
603,1620603,Coimbra,0.61,0.183,0.096,0.034,0.049,0.027,0.002,1
604,1620604,Condeixa-a-Nova,0.544,0.129,0.187,0.012,0.119,0.01,0,1
605,1620605,Figueira da Foz,0.065,0.682,0.193,0.012,0.029,0.019,0,1
608,1620608,Mira,0.025,0.032,0.671,0.115,0.1,0.051,0.006,1
610,1620610,Montemor-o-Velho,0.411,0.262,0.254,0.024,0.034,0.015,0,1
613,1620613,Penacova,0.674,0.038,0.242,0,0,0.045,0,1
615,1620615,Soure,0.29,0.482,0.158,0.059,0,0.01,0,1
1004,1631004,Batalha,0.141,0.075,0.188,0.019,0,0.573,0.005,1
1009,1631009,Leiria,0.491,0.068,0.197,0.039,0.079,0.119,0.007,1
1010,1631010,Marinha Grande,0.475,0.05,0.325,0,0,0.15,0,1
1015,1631015,Pombal,0.339,0.177,0.386,0.036,0.017,0.039,0.007,1
1016,1631016,Porto de M�s,0.015,0.052,0.05,0,0,0.869,0.015,1
1002,1641002,Alvai�zere,0.16,0.106,0.521,0.011,0,0.202,0,1
1003,1641003,Ansi�o,0.135,0.095,0.716,0,0,0.054,0,1
601,1640601,Arganil,0.237,0.018,0.679,0.045,0,0.022,0,1
1007,1641007,Castanheira de P�ra,0.5,0,0.333,0,0,0.167,0,1
1008,1641008,Figueir� dos Vinhos,0.483,0.017,0.483,0.017,0,0,0,1
606,1640606,G�is,0.659,0.024,0.317,0,0,0,0,1
607,1640607,Lous�,0.438,0.014,0.438,0,0,0.11,0,1
609,1640609,Miranda do Corvo,0.34,0.058,0.35,0,0,0.252,0,1
611,1640611,Oliveira do Hospital,0.263,0.061,0.629,0.013,0,0.033,0,1
612,1640612,Pampilhosa da Serra,0.474,0.263,0.158,0,0,0.105,0,1
1013,1641013,Pedr�g�o Grande,0.447,0.026,0.5,0,0,0,0.026,1
614,1640614,Penela,0.238,0.049,0.541,0.164,0,0.008,0,1
616,1640616,T�bua,0.182,0.056,0.656,0.036,0,0.069,0,1
617,1640617,Vila Nova de Poiares,0.4,0.067,0.4,0,0,0.089,0.044,1
901,1650901,Aguiar da Beira,0.154,0.122,0.567,0,0,0.158,0,1
1802,1651802,Carregal do Sal,0.215,0.027,0.623,0,0,0.13,0.004,1
1803,1651803,Castro Daire,0.495,0.428,0.069,0,0,0.008,0.001,1
1806,1651806,Mangualde,0.172,0.14,0.606,0.001,0,0.081,0,1
1808,1651808,Mort�gua,0.647,0.049,0.304,0,0,0,0,1
1809,1651809,Nelas,0.176,0.088,0.481,0.025,0,0.229,0,1
1810,1651810,Oliveira de Frades,0.656,0.103,0.235,0.004,0,0.001,0,1
1811,1651811,Penalva do Castelo,0.49,0.074,0.221,0.01,0,0.205,0,1
1814,1651814,Santa Comba D�o,0.319,0.226,0.42,0.01,0,0.024,0,1
1816,1651816,S�o Pedro do Sul,0.59,0.219,0.148,0.011,0,0.027,0.004,1
1817,1651817,S�t�o,0.557,0.244,0.163,0.009,0,0.027,0,1
1821,1651821,Tondela,0.444,0.148,0.352,0.002,0,0.054,0,1
1822,1651822,Vila Nova de Paiva,0.336,0.598,0.066,0,0,0,0,1
1823,1651823,Viseu,0.544,0.124,0.207,0.013,0.001,0.097,0.015,1
1824,1651824,Vouzela,0.407,0.249,0.27,0.003,0,0.072,0,1
1413,1661413,Ma��o,0.107,0.247,0.227,0,0,0.42,0,1
506,1660506,Oleiros,0.529,0.078,0.304,0,0,0.088,0,1
508,1660508,Proen�a-a-Nova,0.241,0.161,0.156,0,0,0.442,0,1
509,1660509,Sert�,0.335,0.078,0.44,0.041,0,0.069,0.037,1
510,1660510,Vila de Rei,0.216,0.351,0.189,0,0,0.243,0,1
905,1670905,Fornos de Algodres,0.261,0.051,0.655,0.009,0,0.024,0,1
