Livestock_class,Livestock_subclass,Straw,N_bedding
Bovine,Dairy_cows,1596.9,6.39
Bovine,Non_dairy,486,1.94
Bovine,Female_calf<1,486,1.94
Bovine,Male_calf<1,486,1.94
Bovine,Male_calf_1-2,486,1.94
Bovine,Female_calf_1-2,486,1.94
Bovine,Male_calf_+2,486,1.94
Bovine,Heifer_beef_+2,486,1.94
Bovine,Heifer_rep_+2,486,1.94
Goats,Does,47.7,0.19
Goats,Other_caprine,47.7,0.19
Poultry,Broilers,0,0
Poultry,Laying_hens,0,0
Poultry,Rep_hens,0,0
Poultry,Turkeys,0,0
Poultry,Ducks,0,0
Poultry,Geese,0,0
Equides,Horses,608.3,2.43
Equides,Other_equidae,608.3,2.43
Rabbits,Rabbits,0,0
Rabbits,Other_rabbits,0,0
Swine,Pregnant_sows,566.64,2.27
Swine,Non_pregnant_sows,566.64,2.27
Swine,Boars,192.46,0.77
Swine,Pigs_20-50,192.46,0.77
Swine,Pigs_+50,192.46,0.77
Swine,Other_swine,192.46,0.77
Sheep,Ewes,47.7,0.19
Sheep,Other_ovine,47.7,0.19
