Livestock_class,Livestock_subclass,Nex
Bovine,Non_dairy,80
Bovine,Female_calf<1,25
Bovine,Male_calf<1,25
Bovine,Male_calf_1-2,40
Bovine,Female_calf_1-2,40
Bovine,Male_calf_+2,65
Bovine,Heifer_beef_+2,55
Bovine,Heifer_rep_+2,55
Goats,Does,6.52
Goats,Other_caprine,6.52
Poultry,Broilers,0.45
Poultry,Laying_hens,0.8
Poultry,Rep_hens,0.34
Poultry,Turkeys,1.4
Poultry,Ducks,0.45
Poultry,Geese,0.45
Equides,Horses,44
Equides,Other_equidae,22
Rabbits,Rabbits,9
Rabbits,Other_rabbits,9
Swine,Pregnant_sows,6.5
Swine,Non_pregnant_sows,6.5
Swine,Boars,18
Swine,Pigs_20-50,9
Swine,Pigs_+50,13
Swine,Other_swine,9
Sheep,Ewes,7.9
Sheep,Other_ovine,7.9
