Muni_ID,ID,Muni,barley,maize,oat,rice,rye,triticale,wheat,lemon,orange,other_citrus,tangerine,almonds,chestnut,locust,nuuts,other_dried_nuts,forage_maize,forage_mixture,forage_oat,forage_roots,forage_sorghum,apple,cherry,other_fresh_fruits,peach,pear,horticulture_extensive,horticulture_intensive,other_industry,sunflower,olive grove,perma_grassland,tempo_grassland,potato,bean,chickpea,other_pulses,vineyard,irrig_areas09
1601,1111601,Arcos de Valdevez,0,594,0,0,0,0,0,0,0,0,0,0,2,0,0,0,35,1,3,0,0,0,0,0,0,0,1,4,0,0,1,733,675,60,45,0,0,46,2200
1602,1111602,Caminha,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,36,38,6,3,0,0,3,225
1603,1111603,Melgaço,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,348,37,15,6,0,0,382,926
1604,1111604,Monção,0,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,15,0,0,0,0,0,0,0,0,0,0,0,0,0,161,82,32,27,0,0,589,1472
1605,1111605,Paredes de Coura,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,2,4,0,0,0,0,0,0,0,0,1,0,0,0,590,526,44,9,0,0,0,1598
1606,1111606,Ponte da Barca,0,280,0,0,0,0,0,0,1,0,0,0,6,0,5,0,18,0,0,0,0,1,0,0,1,0,0,10,0,0,2,269,74,41,28,0,0,52,788
1607,1111607,Ponte de Lima,0,1306,0,0,0,0,0,0,1,0,0,0,7,0,0,0,630,3,2,0,0,21,0,2,1,4,0,18,1,0,3,108,121,19,42,0,0,85,2374
1608,1111608,Valença,0,303,0,0,0,0,0,2,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,4,0,0,0,67,118,13,5,0,0,18,590
1609,1111609,Viana do Castelo,0,463,0,0,0,0,0,0,1,0,0,0,0,0,1,0,295,4,0,0,1,1,0,0,0,0,3,19,0,0,0,11,22,5,3,0,0,10,839
1610,1111610,Vila Nova de Cerveira,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,1,0,0,0,3,0,2,0,1,0,1,0,0,0,7,31,4,4,0,0,1,281
301,1120301,Amares,0,421,0,0,0,0,0,7,55,2,9,0,1,0,0,0,198,3,2,0,0,31,0,3,3,2,18,12,0,0,15,82,45,3,4,0,0,26,942
302,1120302,Barcelos,0,805,0,0,0,0,0,2,5,0,1,0,4,0,1,0,6540,8,0,0,2,11,0,1,4,4,31,57,0,0,7,25,26,35,10,0,0,114,7693
303,1120303,Braga,0,1123,0,0,2,0,0,0,4,0,1,0,5,0,6,0,1165,13,15,0,7,16,0,2,7,2,24,24,1,0,1,110,57,43,4,0,0,107,2739
306,1120306,Esposende,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,0,0,0,0,0,0,0,0,0,38,234,0,0,0,0,6,8,1,0,0,2,1010
310,1120310,Terras de Bouro,0,234,0,0,0,0,0,1,2,0,1,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,2,0,0,0,174,356,5,15,0,0,8,810
313,1120313,Vila Verde,0,1172,0,0,0,0,0,1,3,0,0,0,9,0,3,0,649,31,9,0,0,3,0,2,1,1,9,17,0,0,2,94,487,57,40,0,0,72,2662
307,1130307,Fafe,0,744,0,0,0,0,0,1,1,0,0,0,0,0,1,0,179,28,3,0,0,1,0,0,0,0,0,6,2,0,0,355,486,61,48,0,0,115,2031
308,1130308,Guimarães,0,1106,2,0,6,0,0,3,3,0,1,0,2,0,9,0,1062,9,10,0,3,8,0,3,4,2,24,138,0,0,1,77,44,43,12,0,0,198,2770
309,1130309,Póvoa de Lanhoso,0,475,0,0,1,0,0,0,2,0,1,0,1,0,0,0,282,18,8,0,2,5,0,1,1,0,0,1,0,0,0,113,99,12,14,0,0,61,1097
1314,1131314,Santo Tirso,0,409,0,0,1,0,0,0,3,0,1,0,0,0,0,0,462,10,2,0,0,3,0,0,0,0,1,48,0,0,0,27,44,68,8,0,0,48,1135
1318,1131318,Trofa,0,148,0,0,0,0,0,0,1,0,0,0,0,0,0,0,968,0,0,0,0,2,0,1,0,0,5,38,0,0,0,10,18,28,1,0,0,19,1239
311,1130311,Vieira do Minho,0,297,1,0,0,0,0,4,3,1,1,0,1,0,1,0,104,8,0,0,0,0,0,1,0,0,0,1,0,0,0,1300,169,25,27,0,0,5,1949
312,1130312,Vila Nova de Famalicão,0,664,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2667,4,1,0,3,4,0,3,1,1,18,55,0,0,0,38,40,24,1,0,0,118,3646
314,1130314,Vizela,0,155,0,0,0,0,0,1,1,0,1,0,0,0,1,0,69,0,11,0,0,2,1,2,1,1,2,8,0,0,0,10,0,1,0,0,0,24,291
107,1140107,Espinho,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,0,57
1304,1141304,Gondomar,0,316,3,0,0,0,0,2,2,0,1,0,0,0,0,0,125,4,6,0,0,2,0,1,0,1,6,165,0,0,0,20,7,103,7,0,0,7,778
1306,1141306,Maia,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1061,1,0,0,0,1,0,0,0,0,1,78,0,0,0,29,16,107,0,0,0,7,1497
1308,1141308,Matosinhos,0,77,0,0,0,0,0,1,1,0,1,0,0,0,0,0,803,2,0,0,0,1,0,0,0,1,1,47,0,0,0,21,37,31,0,0,0,0,1024
1312,1141312,Porto,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,28
1313,1141313,Póvoa de Varzim,0,74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2038,0,0,0,0,0,0,0,0,0,134,489,0,0,0,10,0,15,1,0,0,3,2765
1315,1141315,Valongo,0,257,0,0,1,0,0,0,0,0,0,0,0,0,0,0,114,4,1,0,0,1,0,1,0,0,0,17,0,0,0,1,2,51,1,0,0,9,460
1316,1141316,Vila do Conde,0,162,0,0,0,0,0,13,0,1,0,0,0,0,0,0,4853,3,0,0,1,0,0,0,0,0,9,62,0,0,0,10,0,40,0,0,0,12,5166
1317,1141317,Vila Nova de Gaia,0,321,0,0,1,0,0,0,1,0,1,0,0,0,1,0,93,1,5,0,0,1,0,0,1,0,1,128,2,0,0,27,8,23,10,0,0,6,631
1301,1151301,Amarante,0,1133,0,0,1,0,0,0,2,0,0,0,1,0,3,0,229,4,28,0,0,2,0,5,1,0,8,14,0,0,7,86,90,26,103,0,0,265,2008
1302,1151302,Baião,0,476,0,0,0,0,0,4,15,1,2,0,6,0,5,0,47,7,19,0,0,0,11,0,0,0,5,4,0,0,0,265,241,11,92,0,0,36,1247
304,1150304,Cabeceiras de Basto,0,480,0,0,1,0,0,0,0,0,0,0,0,0,0,0,165,8,2,0,0,0,0,0,0,0,0,0,0,0,6,1312,393,26,15,0,0,88,2496
106,1150106,Castelo de Paiva,0,311,10,0,0,0,0,0,1,0,1,0,1,0,0,0,126,2,6,0,0,1,0,0,0,1,0,2,0,0,9,27,13,6,35,0,0,115,667
305,1150305,Celorico de Basto,0,783,0,0,0,0,0,0,0,0,0,0,1,0,2,1,250,1,1,0,3,7,2,1,1,0,0,1,0,0,14,82,86,16,63,0,0,211,1526
1804,1151804,Cinfães,0,636,1,0,1,0,0,1,8,0,2,0,6,0,2,0,167,4,7,0,0,6,24,4,1,3,0,3,0,0,11,739,6,39,22,0,0,88,1781
1303,1151303,Felgueiras,0,814,4,0,0,0,0,0,3,0,0,0,2,0,3,0,396,1,16,0,0,3,0,6,0,1,15,10,0,0,0,20,9,38,17,0,0,150,1508
1305,1151305,Lousada,0,644,0,0,0,0,0,0,0,0,0,0,0,0,1,0,588,13,0,0,0,0,0,1,0,0,3,6,0,0,0,18,0,15,8,0,0,66,1363
1307,1151307,Marco de Canaveses,0,693,0,0,0,0,0,1,8,0,0,0,4,0,2,0,74,16,0,0,0,9,1,3,1,2,13,3,1,0,2,139,41,11,85,0,0,153,1262
1705,1151705,Mondim de Basto,0,327,0,0,0,0,0,0,0,0,0,0,0,0,2,0,90,0,1,0,0,0,0,0,0,0,0,1,0,0,7,296,44,1,31,0,0,198,998
