Muni_ID,ID,Muni,predominant_cat,predominant_soil
1601,1111601,Arcos de Valdevez,3,sandy
1602,1111602,Caminha,2,silt
1603,1111603,Melgaço,3,sandy
1604,1111604,Monção,3,sandy
1605,1111605,Paredes de Coura,3,sandy
1606,1111606,Ponte da Barca,3,sandy
1607,1111607,Ponte de Lima,3,sandy
1608,1111608,Valença,3,sandy
1609,1111609,Viana do Castelo,3,sandy
1610,1111610,Vila Nova de Cerveira,2,silt
301,1120301,Amares,3,sandy
302,1120302,Barcelos,3,sandy
303,1120303,Braga,3,sandy
306,1120306,Esposende,3,sandy
310,1120310,Terras de Bouro,3,sandy
313,1120313,Vila Verde,3,sandy
307,1130307,Fafe,3,sandy
308,1130308,Guimarães,3,sandy
309,1130309,Póvoa de Lanhoso,3,sandy
311,1130311,Vieira do Minho,3,sandy
312,1130312,Vila Nova de Famalicão,3,sandy
314,1130314,Vizela,3,sandy
1314,1131314,Santo Tirso,3,sandy
1318,1131318,Trofa,2,silt
107,1140107,Espinho,2,silt
1304,1141304,Gondomar,2,silt
1306,1141306,Maia,3,sandy
1308,1141308,Matosinhos,0,concrete
1312,1141312,Porto,0,concrete
1313,1141313,Póvoa de Varzim,3,sandy
1315,1141315,Valongo,2,silt
1316,1141316,Vila do Conde,3,sandy
1317,1141317,Vila Nova de Gaia,2,silt
106,1150106,Castelo de Paiva,2,silt
304,1150304,Cabeceiras de Basto,3,sandy
305,1150305,Celorico de Basto,3,sandy
1301,1151301,Amarante,3,sandy
1302,1151302,Baião,3,sandy
1303,1151303,Felgueiras,3,sandy
1305,1151305,Lousada,3,sandy
1307,1151307,Marco de Canaveses,3,sandy
1309,1151309,Paços de Ferreira,3,sandy
1310,1151310,Paredes,3,sandy
1311,1151311,Penafiel,3,sandy
1705,1151705,Mondim de Basto,2,silt
1709,1151709,Ribeira de Pena,3,sandy
1804,1151804,Cinfães,3,sandy
1813,1151813,Resende,3,sandy
104,1160104,Arouca,2,silt
109,1160109,Santa Maria da Feira,2,silt
113,1160113,Oliveira de Azeméis,2,silt
116,1160116,São João da Madeira,0,concrete
119,1160119,Vale de Cambra,3,sandy
403,1170403,Carrazeda de Ansiães,3,sandy
404,1170404,Freixo de Espada à Cinta,2,silt
409,1170409,Torre de Moncorvo,2,silt
410,1170410,Vila Flor,2,silt
914,1170914,Vila Nova de Foz Côa,2,silt
1701,1171701,Alijó,3,sandy
1704,1171704,Mesão Frio,2,silt
1708,1171708,Peso da Régua,2,silt
1710,1171710,Sabrosa,2,silt
1711,1171711,Santa Marta de Penaguião,2,silt
1714,1171714,Vila Real,3,sandy
1801,1171801,Armamar,2,silt
1805,1171805,Lamego,3,sandy
1807,1171807,Moimenta da Beira,3,sandy
1812,1171812,Penedono,3,sandy
1815,1171815,São João da Pesqueira,2,silt
1818,1171818,Sernancelhe,3,sandy
1819,1171819,Tabuaço,3,sandy
1820,1171820,Tarouca,3,sandy
401,1180401,Alfândega da Fé,2,silt
402,1180402,Bragança,2,silt
405,1180405,Macedo de Cavaleiros,2,silt
406,1180406,Miranda do Douro,2,silt
407,1180407,Mirandela,2,silt
408,1180408,Mogadouro,2,silt
411,1180411,Vimioso,2,silt
412,1180412,Vinhais,2,silt
1702,1181702,Boticas,3,sandy
1703,1181703,Chaves,3,sandy
1706,1181706,Montalegre,3,sandy
1707,1181707,Murça,2,silt
1712,1181712,Valpaços,2,silt
1713,1181713,Vila Pouca de Aguiar,3,sandy
801,1500801,Albufeira,2,silt
802,1500802,Alcoutim,2,silt
803,1500803,Aljezur,2,silt
804,1500804,Castro Marim,2,silt
805,1500805,Faro,1,clay
