Muni_ID,ID,Muni,housing09_N,housing09_nha
1601,1111601,Arcos de Valdevez,30026,1.62495625
1602,1111602,Caminha,21424,6.508006843
1603,1111603,Melgaço,9945,0.629027438
1604,1111604,Monção,21294,3.131028407
1605,1111605,Paredes de Coura,32523,8.235820858
1606,1111606,Ponte da Barca,30101,7.859360356
1607,1111607,Ponte de Lima,101687,11.50045809
1608,1111608,Valença,16384,5.938529443
1609,1111609,Viana do Castelo,72500,10.2502819
1610,1111610,Vila Nova de Cerveira,9074,6.608946108
301,1120301,Amares,91588,47.50389373
302,1120302,Barcelos,492249,44.81098271
303,1120303,Braga,69674,18.88683565
306,1120306,Esposende,71544,33.97131349
310,1120310,Terras de Bouro,16213,2.389196568
313,1120313,Vila Verde,58857,11.53154043
307,1130307,Fafe,82476,27.26464848
308,1130308,Guimarães,101295,23.56804066
309,1130309,Póvoa de Lanhoso,21510,10.58028478
1314,1131314,Santo Tirso,36656,16.8610755
1318,1131318,Trofa,92960,58.06354939
311,1130311,Vieira do Minho,15260,2.578561501
312,1130312,Vila Nova de Famalicão,189434,35.56115167
314,1130314,Vizela,3503,8.281330733
107,1140107,Espinho,2888,41.26170737
1304,1141304,Gondomar,10142,8.361073404
1306,1141306,Maia,57523,33.46334367
1308,1141308,Matosinhos,43561,37.97843577
1312,1141312,Porto,199,4.863866997
1313,1141313,Póvoa de Varzim,193687,58.23430839
1315,1141315,Valongo,113976,173.4796075
1316,1141316,Vila do Conde,375698,61.65048107
1317,1141317,Vila Nova de Gaia,7324,7.76705575
1301,1151301,Amarante,22639,2.587959852
1302,1151302,Baião,13365,2.755686464
304,1150304,Cabeceiras de Basto,29327,5.23877882
106,1150106,Castelo de Paiva,9605,7.136289011
305,1150305,Celorico de Basto,23148,7.164459393
1804,1151804,Cinfães,13104,2.941456354
1303,1151303,Felgueiras,45181,15.504909
1305,1151305,Lousada,19575,8.18352389
1307,1151307,Marco de Canaveses,10958,3.408333557
1705,1151705,Mondim de Basto,8147,1.524579143
1309,1151309,Paços de Ferreira,17510,17.01626348
1310,1151310,Paredes,20875,10.46365661
1311,1151311,Penafiel,24928,7.59298113
1813,1151813,Resende,8113,2.381391221
1709,1151709,Ribeira de Pena,15127,2.062314116
104,1160104,Arouca,47308,10.61423902
113,1160113,Oliveira de Azeméis,83111,51.84717713
109,1160109,Santa Maria da Feira,27733,22.36516766
116,1160116,São João da Madeira,157,0
119,1160119,Vale de Cambra,21650,11.56513419
1701,1171701,Alijó,5946,0.689142659
1801,1171801,Armamar,2589,0.57059499
403,1170403,Carrazeda de Ansiães,6048,0.890103198
404,1170404,Freixo de Espada à Cinta,2593,0.360648918
1805,1171805,Lamego,5411,1.002933438
1704,1171704,Mesão Frio,513,0.477645004
1807,1171807,Moimenta da Beira,40159,9.500631017
1812,1171812,Penedono,8392,2.427430621
1708,1171708,Peso da Régua,2290,0.545563371
1710,1171710,Sabrosa,48636,9.568372964
1711,1171711,Santa Marta de Penaguião,1742,0.486438159
1815,1171815,São João da Pesqueira,2592,0.197798247
1818,1171818,Sernancelhe,35372,6.967012259
1819,1171819,Tabuaço,2589,0.632942922
1820,1171820,Tarouca,21366,11.34674736
409,1170409,Torre de Moncorvo,26445,1.84778446
410,1170410,Vila Flor,4527,0.488489721
914,1170914,Vila Nova de Foz Côa,1815,0.143015017
1714,1171714,Vila Real,47419,4.483602809
401,1180401,Alfândega da Fé,5448,0.463234759
1702,1181702,Boticas,38138,2.754212067
402,1180402,Bragança,38823,1.077500644
1703,1181703,Chaves,136092,6.986260915
405,1180405,Macedo de Cavaleiros,50719,2.326240497
406,1180406,Miranda do Douro,40348,1.849734693
407,1180407,Mirandela,60408,2.432490883
408,1180408,Mogadouro,88207,2.689494679
1706,1181706,Montalegre,46938,0.852391165
1707,1181707,Murça,6577,1.383952268
1712,1181712,Valpaços,32657,1.486960287
1713,1181713,Vila Pouca de Aguiar,55280,4.791152933
411,1180411,Vimioso,16145,1.112938884
412,1180412,Vinhais,29347,1.675838681
101,1610101,Águeda,62645,32.91898782
102,1610102,Albergaria-a-Velha,120371,57.23773231
103,1610103,Anadia,47269,13.71693365
105,1610105,Aveiro,19278,7.952899044
108,1610108,Estarreja,66475,20.95023808
110,1610110,Ílhavo,33538,40.80031683
111,1610111,Mealhada,70721,41.40593809
112,1610112,Murtosa,37192,25.88135799
114,1610114,Oliveira do Bairro,17271,9.708153335
115,1610115,Ovar,88863,53.11567157
117,1610117,Sever do Vouga,77632,119.802322
118,1610118,Vagos,46343,18.45603977
602,1620602,Cantanhede,84426,14.61915339
603,1620603,Coimbra,24431,4.705497135
604,1620604,Condeixa-a-Nova,5487,2.881761908
605,1620605,Figueira da Foz,77592,14.08467303
608,1620608,Mira,41872,39.09610151
610,1620610,Montemor-o-Velho,82549,9.77263726
613,1620613,Penacova,6525,8.228812064
615,1620615,Soure,237196,48.4270484
1004,1631004,Batalha,43924,44.45795228
1009,1631009,Leiria,610779,125.4165309
1010,1631010,Marinha Grande,1136,7.376331775
1015,1631015,Pombal,167722,40.8280258
1016,1631016,Porto de Mós,178864,53.39236186
1002,1641002,Alvaiázere,16866,11.76954419
1003,1641003,Ansião,49410,20.67378733
601,1640601,Arganil,14389,10.30755218
1007,1641007,Castanheira de Pêra,684,7.598198065
1008,1641008,Figueiró dos Vinhos,2648,6.931072561
606,1640606,Góis,6389,37.58187167
607,1640607,Lousã,12392,30.22446283
609,1640609,Miranda do Corvo,3289,4.760198198
611,1640611,Oliveira do Hospital,160221,53.89195539
612,1640612,Pampilhosa da Serra,2669,6.037682051
1013,1641013,Pedrógão Grande,2140,4.385049371
614,1640614,Penela,3971,3.511331421
616,1640616,Tábua,8827,4.134255242
617,1640617,Vila Nova de Poiares,1764,6.757319533
901,1650901,Aguiar da Beira,71429,23.81763998
1802,1651802,Carregal do Sal,25786,18.30090973
1803,1651803,Castro Daire,49035,15.89964683
1806,1651806,Mangualde,21288,5.666161297
1808,1651808,Mortágua,67595,79.05855719
1809,1651809,Nelas,30868,11.14767892
1810,1651810,Oliveira de Frades,205755,138.1834953
1811,1651811,Penalva do Castelo,13285,5.149265539
1814,1651814,Santa Comba Dão,58142,47.19294316
1816,1651816,São Pedro do Sul,144262,38.10415826
1817,1651817,Sátão,80781,29.25791284
