"Muni_ID","ID","Muni","barley","maize","oat","rice","rye","triticale","wheat","total"
1601,"1111601","Arcos de Valdevez",0,175.65,0.08,0,1.95,0,0,177.68
1602,"1111602","Caminha",0,59.11,0.16,0,0.42,0,0,59.69
1603,"1111603","Melgaço",0,34.31,0,0,1.11,0,0,35.42
1604,"1111604","Monção",0,148.47,0.16,0,2.65,0,0,151.28
1605,"1111605","Paredes de Coura",0,68.63,0.31,0,0.28,0,0,69.22
1606,"1111606","Ponte da Barca",0,78.82,0,0,0.7,0,0,79.52
1607,"1111607","Ponte de Lima",0,476.32,1.02,0,3.06,0,0.1,480.5
1608,"1111608","Valença",0,117.89,0.78,0,0.56,0,0,119.23
1609,"1111609","Viana do Castelo",0,286.74,0.31,0,1.95,0,0,289
1610,"1111610","Vila Nova de Cerveira",0,43.49,0,0,0.14,0,0,43.63
301,"1120301","Amares",0,131.14,0.47,0,0.97,0,0,132.58
302,"1120302","Barcelos",0,264.32,0.16,0,1.11,0,0,265.59
303,"1120303","Braga",0,330.91,0,0,1.25,0,0,332.16
306,"1120306","Esposende",0,81.88,0,0,0.28,0,0,82.16
310,"1120310","Terras de Bouro",0,73.72,0,0,0.7,0,0,74.42
313,"1120313","Vila Verde",0,352.31,0.39,0,3.48,0,0,356.18
307,"1130307","Fafe",0,232.72,0.16,0,3.9,0,0,236.78
308,"1130308","Guimarães",0,339.4,0.39,0,5.01,0,0,344.8
309,"1130309","Póvoa de Lanhoso",0,145.41,0.08,0,2.09,0,0,147.58
1314,"1131314","Santo Tirso",0,134.88,0.16,0,0.97,0,0,136.01
1318,"1131318","Trofa",0,47.9,0,0,0.14,0,0,48.04
311,"1130311","Vieira do Minho",0,92.41,0.08,0,1.95,0,0,94.44
312,"1130312","Vila Nova de Famalicão",0,211.32,0.08,0,0.7,0,0,212.1
314,"1130314","Vizela",0,46.88,0,0,0,0,0,46.88
107,"1140107","Espinho",0,6.46,0,0,0,0,0,6.46
1304,"1141304","Gondomar",0,92.07,0.39,0,0.7,0,0,93.16
1306,"1141306","Maia",0,56.06,0,0,0,0,0,56.06
1308,"1141308","Matosinhos",0,23.44,0,0,0,0,0,23.44
1312,"1141312","Porto",0,1.7,0,0,0,0,0,1.7
1313,"1141313","Póvoa de Varzim",0,29.22,0,0,0,0,0,29.22
1315,"1141315","Valongo",0,69.99,0.08,0,0.14,0,0,70.21
1316,"1141316","Vila do Conde",0,55.04,0,0,0,0,0,55.04
1317,"1141317","Vila Nova de Gaia",0,90.03,0.16,0,0.14,0,0,90.33
1301,"1151301","Amarante",0,361.48,0.31,0,1.39,0,0,363.18
1302,"1151302","Baião",0,142.35,0.23,0,6.68,0,0.19,149.45
304,"1150304","Cabeceiras de Basto",0,149.83,0.55,0,7.8,0,0,158.18
106,"1150106","Castelo de Paiva",0,99.88,2.51,0,0.42,0,0,102.81
305,"1150305","Celorico de Basto",0,252.43,0,0,1.67,0,0,254.1
1804,"1151804","Cinfães",0,177.01,0.23,0,4.32,0,0.1,181.66
1303,"1151303","Felgueiras",0,235.78,0.31,0,0.42,0,0,236.51
1305,"1151305","Lousada",0,177.01,1.02,0,0.42,0,0,178.45
1307,"1151307","Marco de Canaveses",0,204.52,3.37,0,6.13,0,0,214.02
1705,"1151705","Mondim de Basto",0,110.76,0,0,1.25,0,0,112.01
1309,"1151309","Paços de Ferreira",0,77.12,0,0,0.14,0,0,77.26
1310,"1151310","Paredes",0,189.58,0.7,0,0.84,0,0,191.12
1311,"1151311","Penafiel",0,332.95,0.94,0,3.62,0,0.1,337.61
1813,"1151813","Resende",0,69.65,0.47,0,5.57,0,2.81,78.5
1709,"1151709","Ribeira de Pena",0,114.83,0.23,0,3.2,0,0,118.26
104,"1160104","Arouca",0,160.02,1.02,0,3.2,0,0.1,164.34
113,"1160113","Oliveira de Azeméis",0,81.54,0.16,0,0,0,0,81.7
109,"1160109","Santa Maria da Feira",0,143.37,2.43,0,0.14,0,0,145.94
116,"1160116","São João da Madeira",0,0,0,0,0,0,0,0
119,"1160119","Vale de Cambra",0,102.94,0.08,0,0.7,0,0,103.72
1701,"1171701","Alijó",0.05,4.99,0.22,0,3.42,0,0.3,8.98
1801,"1171801","Armamar",0,0.92,0,0,0.16,0,0,1.08
403,"1170403","Carrazeda de Ansiães",0.24,4.44,0.52,0,14.31,0,6.83,26.34
404,"1170404","Freixo de Espada à Cinta",0.05,0.55,3.7,0,3.09,0,7.33,14.72
1805,"1171805","Lamego",0,5.54,0,0,2.28,0,0,7.82
1704,"1171704","Mesão Frio",0,0,0,0,0,0,0,0
1807,"1171807","Moimenta da Beira",0,17.37,1.33,0,14.64,0,1.31,34.65
1812,"1171812","Penedono",0,4.25,3.7,0,14.64,0,2.01,24.6
1708,"1171708","Peso da Régua",0,0.55,0,0,0,0,0,0.55
1710,"1171710","Sabrosa",0,8.87,0.22,0,1.3,0,0,10.39
1711,"1171711","Santa Marta de Penaguião",0,0.37,0,0,0,0,0,0.37
1815,"1171815","São João da Pesqueira",0,4.25,0.67,0,4.55,0,2.21,11.68
1818,"1171818","Sernancelhe",0,15.16,0.59,0,22.12,0.19,2.31,40.37
1819,"1171819","Tabuaço",0,4.81,0.3,0,5.2,0,0.4,10.71
1820,"1171820","Tarouca",0.05,6.65,0.37,0,3.25,0,0.1,10.42
409,"1170409","Torre de Moncorvo",0.19,3.33,2.89,0,15.29,0,8.33,30.03
410,"1170410","Vila Flor",0.05,1.29,3.33,0,2.28,0,7.03,13.98
914,"1170914","Vila Nova de Foz Côa",0.1,0.74,1.04,0,0.81,0,3.21,5.9
1714,"1171714","Vila Real",0.05,52.12,1.11,0,4.55,0,0.2,58.03
