"Muni_ID","ID","Muni","cereals","citrus","dried_fruits","fresh_fruits","olive_grove","vineyard","total_municipality"
1601,"1111601","Arcos de Valdevez",177.68,14.45,70.33,14.16,4.22,943.49,1224.33
1602,"1111602","Caminha",59.69,3.56,10.55,4.09,1.58,98.28,177.75
1603,"1111603","Melgaço",35.42,0,0,0,0,1096.8,1132.22
1604,"1111604","Monção",151.28,0,7.03,0,0.53,2494.35,2653.19
1605,"1111605","Paredes de Coura",69.22,0,10.55,15.51,4.22,51.11,150.61
1606,"1111606","Ponte da Barca",79.52,39.13,52.74,7.94,6.33,605.4,791.06
1607,"1111607","Ponte de Lima",480.5,111.6,439.56,229.85,57.53,2168.06,3487.1
1608,"1111608","Valença",119.23,7.11,7.04,4.09,0,430.47,567.94
1609,"1111609","Viana do Castelo",289,43.14,52.75,36.52,21.64,756.76,1199.81
1610,"1111610","Vila Nova de Cerveira",43.63,0,3.52,16.53,0.53,58.97,123.18
301,"1120301","Amares",132.58,347.43,45.71,157.01,16.36,959.21,1658.3
302,"1120302","Barcelos",265.59,79.15,63.3,112.82,7.92,1582.31,2111.09
303,"1120303","Braga",332.16,57.36,87.91,170.99,4.75,896.31,1549.48
306,"1120306","Esposende",82.16,0,3.52,3.88,0.53,151.35,241.44
310,"1120310","Terras de Bouro",74.42,18.23,3.52,23.27,1.58,188.7,309.72
313,"1120313","Vila Verde",356.18,75.15,105.5,99.9,7.92,866.83,1511.48
307,"1130307","Fafe",236.78,7.12,10.55,16.51,0,780.34,1051.3
308,"1130308","Guimarães",344.8,42.91,94.95,81.98,2.11,1747.42,2314.17
309,"1130309","Póvoa de Lanhoso",147.58,28.68,38.68,34.36,2.64,627.03,878.97
1314,"1131314","Santo Tirso",136.01,64.7,80.88,72.03,0.53,780.34,1134.49
1318,"1131318","Trofa",48.04,10.67,3.52,10.31,0,127.76,200.3
311,"1130311","Vieira do Minho",94.44,35.87,24.62,6.43,8.97,320.39,490.72
312,"1130312","Vila Nova de Famalicão",212.1,32.24,24.62,56.65,0.53,1368.06,1694.2
314,"1130314","Vizela",46.88,14.45,17.59,18.04,0,212.28,309.24
107,"1140107","Espinho",6.46,0,0,0,1.06,5.9,13.42
1304,"1141304","Gondomar",93.16,18,63.3,15.9,3.69,292.87,486.92
1306,"1141306","Maia",56.06,7.11,7.04,10.31,0,108.11,188.63
1308,"1141308","Matosinhos",23.44,10.9,0,10.31,0.53,9.83,55.01
1312,"1141312","Porto",1.7,0,0,1.74,1.06,1.97,6.47
1313,"1141313","Póvoa de Varzim",29.22,3.56,0,3.88,0,76.66,113.32
1315,"1141315","Valongo",70.21,3.56,7.04,6.22,1.06,204.42,292.51
1316,"1141316","Vila do Conde",55.04,60.54,0,12.63,0,106.14,234.35
1317,"1141317","Vila Nova de Gaia",90.33,18.01,32.69,36.8,6.86,139.56,324.25
1301,"1151301","Amarante",363.18,32.46,196.92,52.37,50.14,3280.59,3975.66
1302,"1151302","Baião",149.45,114.58,246.16,103.47,22.7,2173.95,2810.31
304,"1150304","Cabeceiras de Basto",158.18,3.56,24.62,13.9,40.64,1185.26,1426.16
106,"1150106","Castelo de Paiva",102.81,10.89,45.71,21.91,19,817.69,1018.01
305,"1150305","Celorico de Basto",254.1,17.78,87.9,45.87,36.95,1999.02,2441.62
