Livestock_class,Livestock_subclass,Xstore_slurry,Xstore_solid
Bovine,Dairy_cows,0.44,0.56
Bovine,Non_dairy,0,1
Bovine,Female_calf<1,0,1
Bovine,Male_calf<1,0,1
Bovine,Male_calf_1-2,0,1
Bovine,Female_calf_1-2,0,1
Bovine,Male_calf_+2,0,1
Bovine,Heifer_beef_+2,0,1
Bovine,Heifer_rep_+2,0,1
Goats,Does,0,1
Goats,Other_caprine,0,1
Poultry,Broilers,0,1
Poultry,Laying_hens,0,1
Poultry,Rep_hens,0,1
Poultry,Turkeys,0,1
Poultry,Ducks,0,1
Poultry,Geese,0,1
Equides,Horses,0,1
Equides,Other_equidae,0,1
Rabbits,Rabbits,0,1
Rabbits,Other_rabbits,0,1
Swine,Pregnant_sows,1,0
Swine,Non_pregnant_sows,1,0
Swine,Boars,0.976920833,0.023079167
Swine,Pigs_20-50,0.976920833,0.023079167
Swine,Pigs_+50,0.976920833,0.023079167
Swine,Other_swine,0.976920833,0.023079167
Sheep,Ewes,0,1
Sheep,Other_ovine,0,1
